,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
0,Lionel Messi,"€ 1,365,385","€ 71,000,000","€ 71,000,000",F,33,Argentina,Barcelona
1,Antoine Griezmann,"€ 721,154","€ 37,500,000","€ 37,500,000",F,29,France,Barcelona
2,Eden Hazard,"€ 600,962","€ 31,250,000","€ 31,250,000",F,29,Belgium,Real Madrid
3,Frenkie de Jong,"€ 560,962","€ 29,170,000","€ 29,170,000",M,23,Netherlands,Barcelona
4,Gerard Piqué,"€ 480,769","€ 25,000,000","€ 25,000,000",D,33,Spain,Barcelona
5,Marcelo,"€ 468,846","€ 24,380,000","€ 24,380,000",D,32,Brazil,Real Madrid
6,Toni Kroos,"€ 468,846","€ 24,380,000","€ 24,380,000",M,30,Germany,Real Madrid
7,Sergio Ramos,"€ 468,846","€ 24,380,000","€ 24,380,000",D,34,Spain,Real Madrid
8,Sergio Busquets,"€ 423,077","€ 22,000,000","€ 22,000,000",M,32,Spain,Barcelona
9,Philippe Coutinho,"€ 420,769","€ 21,880,000","€ 21,880,000",F,28,Brazil,Barcelona
10,Luka Modric,"€ 420,769","€ 21,880,000","€ 21,880,000",M,35,Croatia,Real Madrid
11,Jordi Alba,"€ 400,577","€ 20,830,000","€ 20,830,000",D,31,Spain,Barcelona
12,Jan Oblak,"€ 400,000","€ 20,800,000","€ 20,800,000",K,27,Slovenia,Atletico Madrid
13,Ousmane Dembélé,"€ 384,615","€ 20,000,000","€ 20,000,000",F,23,France,Barcelona
14,Karim Benzema,"€ 348,654","€ 18,130,000","€ 18,130,000",F,32,France,Real Madrid
15,Raphaël Varane,"€ 328,462","€ 17,080,000","€ 17,080,000",D,27,France,Real Madrid
16,Koke,"€ 307,692","€ 16,000,000","€ 16,000,000",M,28,Spain,Atletico Madrid
17,Miralem Pjanic,"€ 300,385","€ 15,620,000","€ 15,620,000",M,30,Bosnia-Herzegovina,Barcelona
18,Luis Suárez,"€ 300,385","€ 15,620,000","€ 15,620,000",F,33,Uruguay,Atletico Madrid
19,Isco,"€ 280,385","€ 14,580,000","€ 14,580,000",F,28,Spain,Real Madrid
20,João Félix,"€ 280,385","€ 14,580,000","€ 14,580,000",F,20,Portugal,Atletico Madrid
21,Samuel Umtiti,"€ 269,231","€ 14,000,000","€ 14,000,000",D,26,France,Barcelona
22,Ivan Rakitic,"€ 253,846","€ 13,200,000","€ 13,200,000",M,32,Croatia,Sevilla
23,Thibaut Courtois,"€ 252,500","€ 13,130,000","€ 13,130,000",K,28,Belgium,Real Madrid
24,Luka Jovic,"€ 240,385","€ 12,500,000","€ 12,500,000",F,22,Serbia,Real Madrid
25,Saúl Ñíguez,"€ 230,769","€ 12,000,000","€ 12,000,000",M,25,Spain,Atletico Madrid
26,Clément Lenglet,"€ 230,769","€ 12,000,000","€ 12,000,000",D,25,France,Barcelona
27,Casemiro,"€ 210,385","€ 10,940,000","€ 10,940,000",M,28,Brazil,Real Madrid
28,Marco Asensio,"€ 210,000","€ 10,920,000","€ 10,920,000",F,24,Spain,Real Madrid
29,Dani Parejo,"€ 208,269","€ 10,830,000","€ 10,830,000",M,31,Spain,Villarreal
30,Éder Militão,"€ 200,385","€ 10,420,000","€ 10,420,000",D,22,Brazil,Real Madrid
31,Ferland Mendy,"€ 200,385","€ 10,420,000","€ 10,420,000",D,25,France,Real Madrid
32,Daniel Carvajal,"€ 196,346","€ 10,210,000","€ 10,210,000",D,28,Spain,Real Madrid
33,Lucas Vázquez,"€ 180,385","€ 9,380,000","€ 9,380,000",F,29,Spain,Real Madrid
34,Diego Costa,"€ 178,846","€ 9,300,000","€ 9,300,000",F,32,Spain,Atletico Madrid
35,Sergi Roberto,"€ 173,077","€ 9,000,000","€ 9,000,000",D,28,Spain,Barcelona
36,Marc-André ter Stegen,"€ 173,077","€ 9,000,000","€ 9,000,000",K,28,Germany,Barcelona
37,Kévin Gameiro,"€ 171,923","€ 8,940,000","€ 8,940,000",F,33,France,Valencia
38,Nacho Fernández,"€ 164,231","€ 8,540,000","€ 8,540,000",D,30,Spain,Real Madrid
39,Mariano Díaz,"€ 160,192","€ 8,330,000","€ 8,330,000",F,27,Spain,Real Madrid
40,Rodrygo,"€ 160,192","€ 8,330,000","€ 8,330,000",F,19,Brazil,Real Madrid
41,Raúl García,"€ 160,000","€ 8,320,000","€ 8,320,000",F,34,Spain,Athletic Club
42,Francis Coquelin,"€ 148,269","€ 7,710,000","€ 7,710,000",M,29,France,Villarreal
43,Yannick Carrasco,"€ 145,385","€ 7,560,000","€ 7,560,000",F,27,Belgium,Atletico Madrid
44,Felipe,"€ 145,385","€ 7,560,000","€ 7,560,000",D,31,Brazil,Atletico Madrid
45,Pau Torres,"€ 144,231","€ 7,500,000","€ 7,500,000",D,23,Spain,Villarreal
46,Óliver Torres,"€ 143,269","€ 7,450,000","€ 7,450,000",M,25,Spain,Sevilla
47,Sime Vrsaljko,"€ 140,962","€ 7,330,000","€ 7,330,000",D,28,Croatia,Atletico Madrid
48,Álvaro Odriozola,"€ 140,192","€ 7,290,000","€ 7,290,000",D,24,Spain,Real Madrid
49,Carlos Bacca,"€ 139,615","€ 7,260,000","€ 7,260,000",F,34,Colombia,Villarreal
50,Nabil Fekir,"€ 132,692","€ 6,900,000","€ 6,900,000",F,27,France,Real Betis
51,Geoffrey Kondogbia,"€ 132,692","€ 6,900,000","€ 6,900,000",M,27,Central African Republic,Valencia
52,Geoffrey Kondogbia,"€ 132,692","€ 6,900,000","€ 6,900,000",M,27,Central African Republic,Atletico Madrid
53,Vitolo,"€ 129,615","€ 6,740,000","€ 6,740,000",F,30,Spain,Atletico Madrid
54,Vinícius Júnior,"€ 128,269","€ 6,670,000","€ 6,670,000",F,20,Brazil,Real Madrid
55,Thomas Lemar,"€ 125,000","€ 6,500,000","€ 6,500,000",F,24,France,Atletico Madrid
56,Youssef En-Nesyri,"€ 123,462","€ 6,420,000","€ 6,420,000",F,23,Morocco,Sevilla
57,Suso,"€ 121,154","€ 6,300,000","€ 6,300,000",F,26,Spain,Sevilla
58,Papu Gómez,"€ 120,192","€ 6,250,000","€ 6,250,000",F,32,Argentina,Sevilla
59,Gonçalo Guedes,"€ 117,308","€ 6,100,000","€ 6,100,000",F,23,Portugal,Valencia
60,Martin Braithwaite,"€ 115,385","€ 6,000,000","€ 6,000,000",F,29,Denmark,Barcelona
61,Neto,"€ 115,385","€ 6,000,000","€ 6,000,000",K,31,Brazil,Barcelona
62,Sergiño Dest,"€ 115,385","€ 6,000,000","€ 6,000,000",D,19,United States,Barcelona
63,Héctor Herrera,"€ 115,385","€ 6,000,000","€ 6,000,000",M,30,Mexico,Atletico Madrid
64,Júnior Firpo,"€ 115,385","€ 6,000,000","€ 6,000,000",D,24,Spain,Barcelona
65,Iñaki Williams,"€ 114,808","€ 5,970,000","€ 5,970,000",F,26,Spain,Athletic Club
66,Gerard Moreno,"€ 103,654","€ 5,390,000","€ 5,390,000",F,28,Spain,Villarreal
67,Gabriel Paulista,"€ 102,500","€ 5,330,000","€ 5,330,000",D,29,Brazil,Valencia
68,Paco Alcácer,"€ 100,192","€ 5,210,000","€ 5,210,000",F,27,Spain,Villarreal
69,Vicente Iborra,"€ 99,231","€ 5,160,000","€ 5,160,000",M,32,Spain,Villarreal
70,Iñigo Martínez,"€ 96,154","€ 5,000,000","€ 5,000,000",D,29,Spain,Athletic Club
71,Moussa Wagué,"€ 96,154","€ 5,000,000","€ 5,000,000",D,22,Senegal,Barcelona
72,Munir El Haddadi,"€ 95,769","€ 4,980,000","€ 4,980,000",F,25,Morocco,Sevilla
73,Fernando Reges,"€ 93,654","€ 4,870,000","€ 4,870,000",M,33,Brazil,Sevilla
74,Joan Jordán,"€ 90,769","€ 4,720,000","€ 4,720,000",M,26,Spain,Sevilla
75,Denis Suárez,"€ 90,000","€ 4,680,000","€ 4,680,000",F,26,Spain,Celta Vigo
76,Juan Foyth,"€ 88,077","€ 4,580,000","€ 4,580,000",D,22,Argentina,Villarreal
77,Nolito,"€ 88,077","€ 4,580,000","€ 4,580,000",F,34,Spain,Celta Vigo
78,Stefan Savic,"€ 86,538","€ 4,500,000","€ 4,500,000",D,29,Montenegro,Atletico Madrid
79,Iker Muniain,"€ 84,615","€ 4,400,000","€ 4,400,000",F,27,Spain,Athletic Club
80,Asier Illarramendi,"€ 83,846","€ 4,360,000","€ 4,360,000",M,30,Spain,Real Sociedad
81,Unai Simón,"€ 83,654","€ 4,350,000","€ 4,350,000",K,23,Spain,Athletic Club
82,Yuri Berchiche,"€ 80,769","€ 4,200,000","€ 4,200,000",D,30,Spain,Athletic Club
83,Federico Valverde,"€ 80,192","€ 4,170,000","€ 4,170,000",M,22,Uruguay,Real Madrid
84,Martin Ödegaard,"€ 80,192","€ 4,170,000","€ 4,170,000",F,21,Norway,Real Madrid
85,Roque Mesa,"€ 80,000","€ 4,160,000","€ 4,160,000",M,31,Spain,Valladolid
86,Moussa Dembélé,"€ 78,846","€ 4,100,000","€ 4,100,000",F,24,France,Atletico Madrid
87,Riqui Puig,"€ 76,923","€ 4,000,000","€ 4,000,000",M,21,Spain,Barcelona
88,Adnan Januzaj,"€ 76,923","€ 4,000,000","€ 4,000,000",F,25,Belgium,Real Sociedad
89,José Giménez,"€ 76,923","€ 4,000,000","€ 4,000,000",D,25,Uruguay,Atletico Madrid
90,Jesús Navas,"€ 76,923","€ 4,000,000","€ 4,000,000",D,34,Spain,Sevilla
91,Pedri,"€ 76,923","€ 4,000,000","€ 4,000,000",F,17,Spain,Barcelona
92,Alfonso Pedraza,"€ 76,154","€ 3,960,000","€ 3,960,000",D,24,Spain,Villarreal
93,Lucas Torreira,"€ 75,962","€ 3,950,000","€ 3,950,000",M,24,Uruguay,Atletico Madrid
94,Mikel Merino,"€ 75,192","€ 3,910,000","€ 3,910,000",M,24,Spain,Real Sociedad
95,Trincão,"€ 75,000","€ 3,900,000","€ 3,900,000",F,21,Portugal,Barcelona
96,Franco Vázquez,"€ 73,077","€ 3,800,000","€ 3,800,000",F,31,Argentina,Sevilla
97,Renan Lodi,"€ 73,077","€ 3,800,000","€ 3,800,000",D,22,Brazil,Atletico Madrid
98,Jasper Cillessen,"€ 72,115","€ 3,750,000","€ 3,750,000",K,31,Netherlands,Valencia
99,Tomas Vaclík,"€ 71,538","€ 3,720,000","€ 3,720,000",K,31,Czech Republic,Sevilla
100,Maxime Gonalons,"€ 71,154","€ 3,700,000","€ 3,700,000",M,31,France,Granada
101,Patrick Cutrone,"€ 70,000","€ 3,640,000","€ 3,640,000",F,23,Italy,Valencia
102,Aleix Vidal,"€ 68,269","€ 3,550,000","€ 3,550,000",D,31,Spain,Sevilla
103,Mikel Oyarzabal,"€ 67,885","€ 3,530,000","€ 3,530,000",F,23,Spain,Real Sociedad
104,José Gayà,"€ 67,308","€ 3,500,000","€ 3,500,000",D,25,Spain,Valencia
105,Ángel Correa,"€ 67,308","€ 3,500,000","€ 3,500,000",F,25,Argentina,Atletico Madrid
106,William Carvalho,"€ 66,923","€ 3,480,000","€ 3,480,000",M,28,Portugal,Real Betis
107,Sergio Asenjo,"€ 66,538","€ 3,460,000","€ 3,460,000",K,31,Spain,Villarreal
108,Nacho Monreal,"€ 66,346","€ 3,450,000","€ 3,450,000",D,34,Spain,Real Sociedad
109,Daniel Wass,"€ 66,154","€ 3,440,000","€ 3,440,000",D,31,Denmark,Valencia
110,Igor Zubeldia,"€ 65,769","€ 3,420,000","€ 3,420,000",M,23,Spain,Real Sociedad
111,Mario Gaspar,"€ 64,038","€ 3,330,000","€ 3,330,000",D,29,Spain,Villarreal
112,Alberto Moreno,"€ 64,038","€ 3,330,000","€ 3,330,000",D,28,Spain,Villarreal
113,Diego Carlos,"€ 63,846","€ 3,320,000","€ 3,320,000",D,27,Brazil,Sevilla
114,Denis Cheryshev,"€ 61,346","€ 3,190,000","€ 3,190,000",F,29,Russia,Valencia
115,Iago Herrerín,"€ 61,154","€ 3,180,000","€ 3,180,000",K,32,Spain,Athletic Club
116,Willian José,"€ 58,654","€ 3,050,000","€ 3,050,000",F,28,Brazil,Real Sociedad
117,Raúl Albiol,"€ 57,885","€ 3,010,000","€ 3,010,000",D,35,Spain,Villarreal
118,Gero Rulli,"€ 56,923","€ 2,960,000","€ 2,960,000",K,28,Argentina,Villarreal
119,Étienne Capoue,"€ 56,154","€ 2,920,000","€ 2,920,000",M,32,France,Villarreal
120,David Silva,"€ 55,769","€ 2,900,000","€ 2,900,000",F,34,Spain,Real Sociedad
121,Jason,"€ 55,000","€ 2,860,000","€ 2,860,000",F,26,Spain,Valencia
122,Álex Berenguer,"€ 54,808","€ 2,850,000","€ 2,850,000",F,25,Spain,Athletic Club
123,Marcos Acuña,"€ 54,615","€ 2,840,000","€ 2,840,000",D,28,Argentina,Sevilla
124,Andriy Lunin,"€ 54,038","€ 2,810,000","€ 2,810,000",K,21,Ukraine,Real Madrid
125,Dani García,"€ 53,269","€ 2,770,000","€ 2,770,000",M,30,Spain,Athletic Club
126,Rodrigo Battaglia,"€ 52,885","€ 2,750,000","€ 2,750,000",M,29,Argentina,Alaves
127,Marc Bartra,"€ 51,923","€ 2,700,000","€ 2,700,000",D,29,Spain,Real Betis
128,Guido Rodríguez,"€ 51,538","€ 2,680,000","€ 2,680,000",M,26,Argentina,Real Betis
129,Iñigo Córdoba,"€ 51,154","€ 2,660,000","€ 2,660,000",F,23,Spain,Athletic Club
130,Iñigo Córdoba,"€ 51,154","€ 2,660,000","€ 2,660,000",F,23,Spain,Alaves
131,Samu Chukwueze,"€ 50,769","€ 2,640,000","€ 2,640,000",F,21,Nigeria,Villarreal
132,Nemanja Gudelj,"€ 50,769","€ 2,640,000","€ 2,640,000",M,28,Serbia,Sevilla
133,Eliaquim Mangala,"€ 50,577","€ 2,630,000","€ 2,630,000",D,29,France,Valencia
134,Manu Vallejo,"€ 50,577","€ 2,630,000","€ 2,630,000",F,23,Spain,Valencia
135,Iago Aspas,"€ 50,000","€ 2,600,000","€ 2,600,000",F,33,Spain,Celta Vigo
136,Hugo Mallo,"€ 49,808","€ 2,590,000","€ 2,590,000",D,29,Spain,Celta Vigo
137,Yeray Álvarez,"€ 49,231","€ 2,560,000","€ 2,560,000",D,25,Spain,Athletic Club
138,Ibai Gómez,"€ 48,846","€ 2,540,000","€ 2,540,000",F,30,Spain,Athletic Club
139,Manu Sánchez,"€ 48,654","€ 2,530,000","€ 2,530,000",D,20,Spain,Osasuna
140,Manu Sánchez,"€ 48,654","€ 2,530,000","€ 2,530,000",D,20,Spain,Atletico Madrid
141,Kenedy,"€ 48,654","€ 2,530,000","€ 2,530,000",F,24,Brazil,Granada
