,Player,Weekly Gross,Annual Gross,Adj. Gross,Pos. group,Age,Country,Club
0,Gareth Bale,"€ 653,846","€ 34,000,000","€ 34,000,000",F,32,Wales,Real Madrid
1,Eden Hazard,"€ 600,962","€ 31,250,000","€ 31,250,000",F,31,Belgium,Real Madrid
2,Frenkie de Jong,"€ 560,962","€ 29,170,000","€ 29,170,000",M,24,Netherlands,Barcelona
3,Karim Benzema,"€ 461,538","€ 24,000,000","€ 24,000,000",F,34,France,Real Madrid
4,David Alaba,"€ 432,692","€ 22,500,000","€ 22,500,000",D,29,Austria,Real Madrid
5,Sergio Busquets,"€ 423,077","€ 22,000,000","€ 22,000,000",M,33,Spain,Barcelona
6,Toni Kroos,"€ 421,923","€ 21,940,000","€ 21,940,000",M,32,Germany,Real Madrid
7,Marcelo,"€ 421,923","€ 21,940,000","€ 21,940,000",D,33,Brazil,Real Madrid
8,Philippe Coutinho,"€ 420,769","€ 21,880,000","€ 21,880,000",F,29,Brazil,Barcelona
9,Jordi Alba,"€ 400,577","€ 20,830,000","€ 20,830,000",D,32,Spain,Barcelona
10,Antoine Griezmann,"€ 400,577","€ 20,830,000","€ 20,830,000",F,30,France,Atletico Madrid
11,Jan Oblak,"€ 400,000","€ 20,800,000","€ 20,800,000",K,29,Slovenia,Atletico Madrid
12,Ousmane Dembélé,"€ 384,615","€ 20,000,000","€ 20,000,000",F,24,France,Barcelona
13,Luka Modric,"€ 378,654","€ 19,690,000","€ 19,690,000",M,36,Croatia,Real Madrid
14,Koke,"€ 307,692","€ 16,000,000","€ 16,000,000",M,30,Spain,Atletico Madrid
15,Luis Suárez,"€ 300,385","€ 15,620,000","€ 15,620,000",F,35,Uruguay,Atletico Madrid
16,João Félix,"€ 280,385","€ 14,580,000","€ 14,580,000",F,22,Portugal,Atletico Madrid
17,Ansu Fati,"€ 268,269","€ 13,950,000","€ 13,950,000",F,19,Spain,Barcelona
18,Ivan Rakitic,"€ 253,846","€ 13,200,000","€ 13,200,000",M,33,Croatia,Sevilla
19,Isco,"€ 252,308","€ 13,120,000","€ 13,120,000",F,29,Spain,Real Madrid
