,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
0,Eden Hazard,"€ 600,962","€ 31,250,000","Jun 30, 2024",2-yrs,"€ 62,500,000",,F,LW,31,Belgium,Real Madrid
1,Frenkie de Jong,"€ 560,962","€ 29,170,000","Jun 30, 2026",4-yrs,"€ 116,680,000",,M,CM,25,Netherlands,Barcelona
2,Karim Benzema,"€ 461,538","€ 24,000,000","Jun 30, 2023",1-yr,"€ 24,000,000",,F,CF,34,France,Real Madrid
3,David Alaba,"€ 432,692","€ 22,500,000","Jun 30, 2026",4-yrs,"€ 90,000,000",,D,CB,30,Austria,Real Madrid
4,Sergio Busquets,"€ 423,077","€ 22,000,000","Jun 30, 2023",1-yr,"€ 22,000,000",,M,DM,33,Spain,Barcelona
5,Toni Kroos,"€ 421,923","€ 21,940,000","Jun 30, 2023",1-yr,"€ 21,940,000",,M,CM,32,Germany,Real Madrid
6,Vinicius Junior,"€ 400,577","€ 20,830,000","Jun 30, 2027",5-yrs,"€ 104,150,000",,F,LW,21,Brazil,Real Madrid
7,Antoine Griezmann,"€ 400,577","€ 20,830,000","Jun 30, 2023",1-yr,"€ 20,830,000",,F,SS,31,France,Atletico Madrid
8,Jordi Alba,"€ 400,577","€ 20,830,000","Jun 30, 2024",2-yrs,"€ 41,660,000",,D,LB,33,Spain,Barcelona
9,Jan Oblak,"€ 400,577","€ 20,830,000","Jun 30, 2028",6-yrs,"€ 124,980,000",,K,GK,29,Slovenia,Atletico Madrid
10,Luka Modric,"€ 378,654","€ 19,690,000","Jun 30, 2023",1-yr,"€ 19,690,000",,M,CM,36,Croatia,Real Madrid
11,Antonio Rüdiger,"€ 360,577","€ 18,750,000","Jun 30, 2026",4-yrs,"€ 75,000,000",,D,CB,29,Germany,Real Madrid
12,Robert Lewandowski,"€ 360,577","€ 18,750,000","Jun 30, 2025",3-yrs,"€ 56,250,000",,F,CF,33,Poland,Barcelona
13,Koke,"€ 307,692","€ 16,000,000","Jun 30, 2024",2-yrs,"€ 32,000,000",,M,CM,30,Spain,Atletico Madrid
14,Miralem Pjanic,"€ 300,385","€ 15,620,000","Jun 30, 2024",2-yrs,"€ 31,240,000",,M,CM,32,Bosnia-Herzegovina,Barcelona
15,João Félix,"€ 280,385","€ 14,580,000","Jun 30, 2026",4-yrs,"€ 58,320,000",,F,SS,22,Portugal,Atletico Madrid
16,Ansu Fati,"€ 268,269","€ 13,950,000","Jun 30, 2027",5-yrs,"€ 69,750,000",,F,LW,19,Spain,Barcelona
17,Ousmane Dembélé,"€ 264,423","€ 13,750,000","Jun 30, 2024",2-yrs,"€ 27,500,000",,F,RW,25,France,Barcelona
18,Franck Kessié,"€ 260,385","€ 13,540,000","Jun 30, 2027",5-yrs,"€ 67,700,000",,M,CM,25,Cote d'Ivoire,Barcelona
19,Ivan Rakitic,"€ 253,846","€ 13,200,000","Jun 30, 2024",2-yrs,"€ 26,400,000",,M,CM,34,Croatia,Sevilla
20,Raphinha,"€ 240,385","€ 12,500,000","Jun 30, 2027",5-yrs,"€ 62,500,000",,F,RW,25,Brazil,Barcelona
21,Saúl Ñíguez,"€ 230,769","€ 12,000,000","Jun 30, 2026",4-yrs,"€ 48,000,000",,M,CM,27,Spain,Atletico Madrid
22,Thibaut Courtois,"€ 227,308","€ 11,820,000","Jun 30, 2026",4-yrs,"€ 47,280,000",,K,GK,30,Belgium,Real Madrid
23,Pierre-Emerick Aubameyang,"€ 220,385","€ 11,460,000","Jun 30, 2025",3-yrs,"€ 34,380,000",,F,CF,33,Gabon,Barcelona
24,Dani Parejo,"€ 208,269","€ 10,830,000","Jun 30, 2024",2-yrs,"€ 21,660,000",,M,CM,33,Spain,Villarreal
25,Gerard Piqué,"€ 200,385","€ 10,420,000","Jun 30, 2024",2-yrs,"€ 20,840,000",,D,CB,35,Spain,Barcelona
26,Andreas Christensen,"€ 200,385","€ 10,420,000","Jun 30, 2026",4-yrs,"€ 41,680,000",,D,CB,26,Denmark,Barcelona
27,Memphis Depay,"€ 200,385","€ 10,420,000","Jun 30, 2023",1-yr,"€ 10,420,000",,F,CF,28,Netherlands,Barcelona
