,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,7.9,186,242,76.9,2885,898,102,118,86.4,59,73,80.8,18,32,56.3,2,1.0,+1.0,13,15,4,1,25
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,1.3,22,30,73.3,343,25,9,12,75.0,7,10,70.0,2,4,50.0,0,0.0,0.0,1,0,0,0,0
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,4.2,251,335,74.9,5619,2581,86,97,88.7,104,134,77.6,56,96,58.3,0,0.6,-0.6,9,33,7,3,25
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,3.3,146,174,83.9,2439,566,76,85,89.4,52,57,91.2,15,25,60.0,0,0.0,0.0,0,17,4,0,16
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,2.6,29,58,50.0,367,143,23,31,74.2,4,14,28.6,2,4,50.0,0,0.2,-0.2,2,6,2,2,3
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7.0,166,239,69.5,4669,2707,40,41,97.6,69,70,98.6,57,128,44.5,0,0.1,-0.1,1,2,0,0,0
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,5.4,121,142,85.2,2427,631,40,49,81.6,61,64,95.3,19,23,82.6,0,0.3,-0.3,5,17,0,0,10
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,6.7,54,96,56.3,835,189,31,48,64.6,18,29,62.1,4,8,50.0,1,1.1,-0.1,6,2,3,0,6
8,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,5.6,229,278,82.4,4527,1155,90,97,92.8,98,109,89.9,37,60,61.7,1,0.8,+0.2,9,25,4,2,15
9,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,0.2,4,6,66.7,36,3,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
10,Anel Ahmedhodzic,ba  BIH,DF,se  Malmö,22,1999,4.6,188,229,82.1,3967,1585,66,77,85.7,90,100,90.0,31,43,72.1,0,0.1,-0.1,1,14,3,0,23
11,Manuel Akanji,ch  SUI,DF,de  Dortmund,26,1995,5.0,257,297,86.5,5755,2244,77,85,90.6,122,134,91.0,55,72,76.4,0,0.1,-0.1,2,17,1,0,15
12,Nathan Aké,nl  NED,DF,eng  Manchester City,26,1995,3.6,258,278,92.8,4952,1592,98,101,97.0,131,136,96.3,28,39,71.8,0,0.0,0.0,1,14,1,0,11
13,David Alaba,at  AUT,DF,es  Real Madrid,29,1992,11.5,601,670,89.7,11207,3226,221,231,95.7,319,337,94.7,50,87,57.5,0,0.4,-0.4,5,37,2,1,22
14,Jordi Alba,es  ESP,DF,es  Barcelona,32,1989,4.1,289,366,79.0,4687,1792,156,179,87.2,109,129,84.5,21,43,48.8,1,0.8,+0.2,5,23,14,5,37
15,Raúl Albiol,es  ESP,DF,es  Villarreal,35,1985,11.6,389,457,85.1,9221,2375,75,87,86.2,216,235,91.9,93,126,73.8,0,0.0,0.0,0,12,0,0,8
16,Paco Alcácer,es  ESP,FW,es  Villarreal,27,1993,0.8,7,8,87.5,76,12,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,1
17,Thiago Alcántara,es  ESP,MF,eng  Liverpool,30,1991,6.7,509,557,91.4,10296,2768,204,217,94.0,211,226,93.4,86,100,86.0,0,0.2,-0.2,4,59,7,1,56
18,Trent Alexander-Arnold,eng  ENG,DF,eng  Liverpool,22,1998,8.8,646,834,77.5,13296,5004,266,298,89.3,263,310,84.8,112,210,53.3,3,2.8,+0.2,23,76,18,8,66
19,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13.0,433,489,88.5,11915,6381,55,55,100.0,238,239,99.6,139,192,72.4,0,0.0,0.0,0,5,0,0,0
