,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Brenden Aaronson,us  USA,MF,at  RB Salzburg,20,2000,7.9,242,212,30,2,1,54,5,13,4,1,3,0,175,34,33,24,201,5,5,0,186,1,6,11,10
1,Malik Abubakari,gh  GHA,FW,se  Malmö,21,2000,1.3,30,28,2,0,0,8,0,1,0,0,0,0,21,5,4,3,24,0,0,0,22,0,0,4,0
2,Marcos Acuña,ar  ARG,DF,es  Sevilla,29,1991,4.2,335,270,65,13,2,37,24,17,5,0,5,0,176,54,105,251,30,6,47,0,251,1,3,14,3
3,Tyler Adams,us  USA,MF,de  RB Leipzig,22,1999,3.3,174,173,1,0,0,25,3,1,0,0,0,0,126,21,27,33,131,7,1,0,146,0,4,5,4
4,Chikwubuike Adamu,at  AUT,FW,at  RB Salzburg,20,2001,2.6,58,58,0,0,0,21,0,3,0,0,0,0,37,12,9,8,38,6,0,1,29,0,1,5,7
5,Antonio Adán,es  ESP,GK,pt  Sporting CP,34,1987,7.0,239,172,67,34,0,20,1,0,0,0,0,0,118,10,111,120,69,0,0,35,166,0,6,1,0
6,Edmund Addo,gh  GHA,MF,md  Sheriff Tiraspol,21,2000,5.4,142,139,3,3,0,25,3,0,0,0,0,0,114,15,13,23,112,6,0,0,121,0,4,1,4
7,Karim Adeyemi,de  GER,FW,at  RB Salzburg,19,2002,6.7,96,92,4,1,0,25,2,7,0,0,0,0,67,19,10,50,34,4,3,3,54,1,2,11,8
8,Michel Aebischer,ch  SUI,MF,ch  Young Boys,24,1997,5.6,278,262,16,4,0,36,16,7,11,3,6,2,198,29,51,27,239,7,1,3,229,3,3,9,5
9,Sergio Agüero,ar  ARG,FW,es  Barcelona,33,1988,0.2,6,6,0,0,0,2,0,0,0,0,0,0,3,2,1,0,6,0,0,0,4,0,0,0,2
10,Anel Ahmedhodzic,ba  BIH,DF,se  Malmö,22,1999,4.6,229,220,9,9,0,28,8,0,0,0,0,0,160,23,46,21,196,9,0,1,188,0,4,4,8
11,Manuel Akanji,ch  SUI,DF,de  Dortmund,26,1995,5.0,297,288,9,8,0,18,6,0,0,0,0,0,229,18,50,59,223,9,1,1,257,0,5,10,3
12,Nathan Aké,nl  NED,DF,eng  Manchester City,26,1995,3.6,278,257,21,7,0,19,10,0,0,0,0,0,225,25,28,207,38,12,14,2,258,0,3,0,1
13,David Alaba,at  AUT,DF,es  Real Madrid,29,1992,11.5,670,647,23,16,0,61,6,12,2,1,1,0,577,33,60,570,78,13,4,2,601,0,6,9,7
14,Jordi Alba,es  ESP,DF,es  Barcelona,32,1989,4.1,366,324,42,10,1,28,11,23,0,0,0,0,235,78,53,291,34,6,32,1,289,6,2,10,14
15,Raúl Albiol,es  ESP,DF,es  Villarreal,35,1985,11.6,457,442,15,13,0,41,11,1,0,0,0,0,339,32,86,74,342,26,0,4,389,0,9,6,5
16,Paco Alcácer,es  ESP,FW,es  Villarreal,27,1993,0.8,8,7,1,0,0,1,0,0,0,0,0,0,6,0,2,0,8,0,0,0,7,0,0,0,0
17,Thiago Alcántara,es  ESP,MF,eng  Liverpool,30,1991,6.7,557,544,13,10,0,65,30,1,0,0,0,0,429,52,76,51,477,14,1,5,509,1,6,8,6
18,Trent Alexander-Arnold,eng  ENG,DF,eng  Liverpool,22,1998,8.8,834,687,147,25,4,79,50,38,36,6,26,0,478,141,215,102,626,15,86,1,646,5,11,25,17
19,Alisson,br  BRA,GK,eng  Liverpool,28,1992,13.0,489,416,73,20,0,31,10,0,0,0,0,0,350,21,118,40,365,2,0,70,433,2,7,2,1
20,André Almeida,pt  POR,DF,pt  Benfica,30,1990,2.6,110,100,10,5,0,18,1,2,0,0,0,0,64,10,36,4,91,3,5,0,82,0,1,2,3
21,Marcos Alonso,es  ESP,DF,eng  Chelsea,30,1990,6.1,379,290,89,7,0,61,12,15,15,6,7,0,239,77,63,275,23,4,67,2,318,0,5,9,13
22,Éder Álvarez Balanta,co  COL,MF,be  Club Brugge,28,1993,4.5,151,149,2,2,0,35,3,2,0,0,0,0,97,27,27,102,30,11,0,0,112,0,3,5,4
23,Edson Álvarez,mx  MEX,MF,nl  Ajax,23,1997,6.2,366,358,8,8,0,54,2,0,0,0,0,0,300,32,34,25,309,20,0,1,338,0,5,2,1
24,Mohamed Aly Camara,gn  GUI,DF,ch  Young Boys,23,1997,3.8,217,213,4,2,0,13,10,1,0,0,0,0,169,21,27,13,193,7,1,1,189,0,0,6,2
25,Benjamin André,fr  FRA,MF,fr  Lille,30,1990,7.0,385,377,8,6,0,70,11,4,1,0,0,0,248,62,75,69,266,27,0,6,302,3,8,12,13
26,Oleksandr Andriyevskyi,ua  UKR,MF,ua  Dynamo Kyiv,27,1994,1.1,49,47,2,2,0,4,2,0,0,0,0,0,35,3,11,37,9,3,0,0,38,2,1,6,0
27,Angeliño,es  ESP,DF,de  RB Leipzig,24,1997,4.8,241,188,53,10,0,14,10,18,8,6,0,0,107,47,87,178,17,11,35,0,155,3,5,6,12
28,Marcos Antônio,br  BRA,MF,ua  Shakhtar,21,2000,2.8,238,236,2,2,0,19,3,0,0,0,0,0,215,10,13,10,226,1,0,1,228,0,1,4,1
29,Antony,br  BRA,FW,nl  Ajax,21,2000,6.4,349,337,12,1,1,63,8,23,3,0,0,0,264,44,41,296,32,6,8,3,272,2,3,20,15
30,Ronald Araújo,uy  URU,DF,es  Barcelona,22,1999,4.1,210,183,27,11,0,28,10,3,0,0,0,0,148,20,42,15,164,8,16,0,174,0,3,6,4
31,Danilo Arboleda,co  COL,DF,md  Sheriff Tiraspol,26,1995,6.0,145,141,4,4,1,9,2,0,0,0,0,0,110,16,19,31,109,4,0,0,125,0,5,1,1
32,Maximilian Arnold,de  GER,MF,de  Wolfsburg,27,1994,6.0,274,240,34,22,0,38,19,4,10,8,1,0,151,37,86,203,53,10,1,2,212,0,5,8,5
33,Kepa Arrizabalaga,es  ESP,GK,eng  Chelsea,26,1994,1.0,29,19,10,2,0,0,0,0,0,0,0,0,15,2,12,8,20,0,0,1,22,0,0,0,0
34,Marco Asensio,es  ESP,"FW,MF",es  Real Madrid,25,1996,2.3,92,84,8,1,2,19,4,2,5,1,0,0,69,10,13,79,7,2,1,1,74,0,1,2,4
35,Giorgos Athanasiadis,gr  GRE,GK,md  Sheriff Tiraspol,28,1993,5.0,165,88,77,10,0,5,9,0,0,0,0,0,79,6,80,12,125,0,0,13,106,0,5,1,2
36,Ludwig Augustinsson,se  SWE,DF,es  Sevilla,27,1994,0.9,72,57,15,1,0,11,1,5,2,0,2,0,36,20,16,50,5,2,12,1,51,1,2,3,3
37,Serge Aurier,ci  CIV,DF,es  Villarreal,28,1992,1.5,81,68,13,0,0,9,0,1,1,0,0,0,56,12,13,6,58,4,12,0,68,0,1,5,0
38,Sardar Azmoun,ir  IRN,FW,ru  Zenit,26,1995,3.4,61,52,9,0,0,17,0,2,0,0,0,0,39,12,10,7,39,7,0,2,42,0,1,3,5
39,César Azpilicueta,es  ESP,DF,eng  Chelsea,31,1989,7.5,568,505,63,5,0,60,3,15,0,0,0,0,421,83,64,63,420,19,58,0,477,1,6,17,19
40,Eric Bailly,ci  CIV,DF,eng  Manchester Utd,27,1994,2.0,110,106,4,2,0,6,2,0,0,0,0,0,85,13,12,15,85,6,2,0,100,0,1,1,1
41,Tiemoué Bakayoko,fr  FRA,MF,it  Milan,26,1994,0.7,36,35,1,1,0,5,1,0,0,0,0,0,25,7,4,7,26,1,0,0,29,0,1,4,0
42,Ridle Baku,de  GER,"DF,FW",de  Wolfsburg,23,1998,4.6,176,155,21,1,0,32,2,4,2,0,0,0,104,31,41,24,128,4,18,0,116,0,2,11,14
43,Alejandro Balde,es  ESP,"DF,FW",es  Barcelona,17,2003,0.2,17,14,3,1,0,2,0,1,0,0,0,0,12,4,1,15,0,0,2,0,14,0,0,0,1
44,Gareth Bale,wls  WAL,FW,es  Real Madrid,32,1989,0.1,3,2,1,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,0,2,0,0,0,0
45,David von Ballmoos,ch  SUI,GK,ch  Young Boys,26,1994,3.0,85,66,19,5,0,10,2,0,0,0,0,0,39,2,44,8,67,0,0,5,55,1,1,2,0
46,Fodé Ballo-Touré,sn  SEN,"DF,MF",it  Milan,24,1997,1.0,42,28,14,1,0,8,1,1,0,0,0,0,23,8,11,22,4,1,13,1,32,0,0,2,0
47,Jonathan Bamba,fr  FRA,"MF,FW",fr  Lille,25,1996,5.2,239,216,23,8,0,38,3,15,10,4,4,0,172,31,36,27,194,6,5,4,185,2,3,11,14
48,Nicolò Barella,it  ITA,MF,it  Inter,24,1997,5.5,307,303,4,4,3,42,12,9,0,0,0,0,233,28,46,42,255,4,0,3,265,0,3,8,6
49,Ross Barkley,eng  ENG,MF,eng  Chelsea,27,1993,1.1,79,69,10,2,1,11,3,1,7,3,4,0,59,7,13,10,65,1,1,1,66,0,2,4,0
50,Wílmar Barrios,co  COL,"MF,DF",ru  Zenit,27,1993,6.0,304,301,3,3,0,28,11,0,0,0,0,0,247,20,37,32,259,6,0,4,270,0,2,4,4
51,Gil Bastião Dias,pt  POR,FW,pt  Benfica,24,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Alessandro Bastoni,it  ITA,DF,it  Inter,22,1999,7.4,443,410,33,16,0,73,10,7,0,0,0,0,347,39,57,349,63,19,6,0,388,2,2,12,10
53,Michy Batshuayi,be  BEL,FW,tr  Beşiktaş,27,1993,4.3,88,71,17,0,0,23,5,5,0,0,0,0,65,12,11,16,63,3,0,2,66,0,0,5,7
54,Donny van de Beek,nl  NED,MF,eng  Manchester Utd,24,1997,2.3,120,118,2,1,0,13,5,1,0,0,0,0,90,13,17,13,99,6,0,1,106,0,2,4,1
55,Jude Bellingham,eng  ENG,"MF,FW",de  Dortmund,18,2003,5.6,289,281,8,6,2,41,9,4,1,0,1,0,232,34,23,49,220,8,1,3,247,2,1,11,13
56,Hatem Ben Arfa,fr  FRA,"FW,MF",fr  Lille,34,1987,0.3,13,10,3,1,0,1,1,2,0,0,0,0,10,2,1,11,0,0,2,0,10,0,0,1,0
57,Ismaël Bennacer,dz  ALG,MF,it  Milan,23,1997,4.2,202,184,18,13,0,48,10,4,5,2,2,0,142,18,42,175,19,5,0,0,162,2,2,4,4
58,Rodrigo Bentancur,uy  URU,"MF,FW",it  Juventus,24,1997,4.2,203,202,1,1,0,34,3,2,0,0,0,0,163,19,21,42,147,13,0,0,169,1,3,3,5
59,Karim Benzema,fr  FRA,FW,es  Real Madrid,33,1987,12.2,530,510,20,1,3,107,8,11,2,0,0,0,430,68,32,95,420,8,0,3,435,1,5,26,16
60,Steven Berghuis,nl  NED,MF,nl  Ajax,29,1991,6.9,294,273,21,4,1,54,16,17,15,5,1,1,211,34,49,244,35,7,2,2,230,4,4,6,15
61,Federico Bernardeschi,it  ITA,"FW,MF",it  Juventus,27,1994,3.2,147,132,15,6,1,28,7,14,7,0,3,0,110,13,24,134,7,1,2,2,118,0,3,6,3
62,Bernardo,br  BRA,"DF,MF",at  RB Salzburg,26,1995,0.3,18,18,0,0,0,2,1,0,0,0,0,0,10,2,6,14,1,3,0,0,13,0,0,0,1
63,Paulo Bernardo,pt  POR,MF,pt  Benfica,19,2002,0.5,18,16,2,2,0,2,1,1,0,0,0,0,13,2,3,4,14,0,0,0,15,0,0,1,1
64,Veljko Birmančević,rs  SRB,"FW,MF",se  Malmö,23,1998,3.9,89,85,4,2,1,28,0,2,0,0,0,0,65,11,13,14,67,5,1,0,62,0,1,4,8
65,Blanco,es  ESP,MF,es  Real Madrid,21,2000,0.1,15,15,0,0,0,0,0,0,0,0,0,0,14,0,1,2,13,0,0,0,15,0,0,0,0
66,Daley Blind,nl  NED,DF,nl  Ajax,31,1990,6.3,496,428,68,14,2,68,10,13,0,0,0,0,326,81,89,363,59,13,54,1,408,3,6,25,11
67,Valerii Bondar,ua  UKR,DF,ua  Shakhtar,22,1999,1.0,109,103,6,6,0,12,0,0,0,0,0,0,102,7,0,11,95,2,0,0,102,0,0,3,0
68,Artem Bondarenko,ua  UKR,MF,ua  Shakhtar,20,2000,0.9,98,98,0,0,1,5,0,0,0,0,0,0,93,3,2,78,17,2,0,1,89,0,0,3,0
