,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
0,Marcos Acuña,ar  ARG,DF,Sevilla,31-003,1991,9,6,506,5.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,1.3,0.05,0.18,0.23,0.05,0.23
1,Álvaro Aguado,es  ESP,MF,Valladolid,26-183,1996,11,7,612,6.8,0,2,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,0.1,0.1,0.6,0.7,0.02,0.08,0.10,0.02,0.10
2,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-032,1995,12,12,1080,12.0,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.4,0.4,0.0,0.4,0.04,0.00,0.04,0.04,0.04
3,Sergio Akieme,es  ESP,DF,Almería,24-319,1997,12,12,1080,12.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.6,1.5,0.07,0.05,0.13,0.07,0.13
4,Paul Akouokou,ci  CIV,MF,Betis,24-315,1997,5,2,205,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04
5,David Alaba,at  AUT,DF,Real Madrid,30-129,1992,12,11,985,10.9,1,3,1,0,0,2,0,0.09,0.27,0.37,0.09,0.37,0.5,0.5,0.6,1.2,0.05,0.06,0.11,0.05,0.11
6,Tomás Alarcón,cl  CHI,MF,Cádiz,23-285,1999,4,2,223,2.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04
7,Jordi Alba,es  ESP,DF,Barcelona,33-224,1989,8,5,502,5.6,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,1.0,1.1,0.03,0.18,0.20,0.03,0.20
8,Raúl Albiol,es  ESP,DF,Villarreal,37-057,1985,11,11,979,10.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
9,Rubén Alcaraz,es  ESP,MF,Cádiz,31-183,1991,8,4,431,4.8,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.08,0.08,0.16,0.08,0.16
10,Iván Alejo,es  ESP,MF,Cádiz,27-263,1995,10,7,575,6.4,0,1,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,0.3,0.3,1.0,1.3,0.05,0.15,0.20,0.05,0.20
11,Carles Aleñá,es  ESP,MF,Getafe,24-299,1998,10,10,769,8.5,2,1,2,0,0,5,0,0.23,0.12,0.35,0.23,0.35,0.7,0.7,0.5,1.2,0.08,0.06,0.14,0.08,0.14
12,Alejandro Alfaro,es  ESP,MF,Elche,20-138,2002,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
13,Ángel Algobia,es  ESP,MF,Getafe,23-130,1999,6,4,314,3.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04
14,Mohamed Ali Cho,fr  FRA,"FW,MF",Real Sociedad,18-285,2004,7,2,243,2.7,0,2,0,0,0,1,0,0.00,0.74,0.74,0.00,0.74,0.8,0.8,1.5,2.3,0.31,0.54,0.85,0.31,0.85
15,Domingos André Ribeiro Almeida,pt  POR,"MF,FW",Valencia,22-154,2000,9,6,526,5.8,1,2,1,0,0,0,0,0.17,0.34,0.51,0.17,0.51,0.3,0.3,1.1,1.4,0.06,0.19,0.24,0.06,0.24
16,Marcos Alonso,es  ESP,DF,Barcelona,31-307,1990,5,2,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
17,Gastón Álvarez,uy  URU,DF,Getafe,22-221,2000,5,4,404,4.5,2,0,2,0,0,0,0,0.45,0.00,0.45,0.45,0.45,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09
18,Yeray Álvarez,es  ESP,DF,Athletic Club,27-280,1995,10,10,876,9.7,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.4,0.7,0.03,0.05,0.08,0.03,0.08
19,Amath,sn  SEN,"MF,FW",Mallorca,26-107,1996,5,1,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.18,0.08,0.27,0.18,0.27
20,Jordan Amavi,fr  FRA,DF,Getafe,28-236,1994,2,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
21,Fabrizio Angileri,ar  ARG,DF,Getafe,28-230,1994,8,7,510,5.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
22,Anuar,ma  MAR,"MF,FW",Valladolid,27-289,1995,3,3,210,2.3,1,0,1,0,0,1,0,0.43,0.00,0.43,0.43,0.43,0.3,0.3,0.4,0.8,0.15,0.19,0.34,0.15,0.34
23,Mauro Arambarri,uy  URU,MF,Getafe,27-031,1995,6,6,511,5.7,0,1,0,0,0,2,1,0.00,0.18,0.18,0.00,0.18,0.2,0.2,0.9,1.1,0.03,0.17,0.20,0.03,0.20
24,Ronald Araújo,uy  URU,DF,Barcelona,23-238,1999,6,6,510,5.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.7,0.10,0.03,0.13,0.10,0.13
25,Roberto Arroyo,es  ESP,MF,Valladolid,19-067,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
26,Santiago Arzamendia,py  PAR,"MF,DF",Cádiz,24-179,1998,4,3,255,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.06,0.13,0.20,0.06,0.20
27,Sergio Asenjo,es  ESP,GK,Valladolid,33-125,1989,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
28,Marco Asensio,es  ESP,"MF,FW",Real Madrid,26-283,1996,8,0,96,1.1,1,1,1,0,0,0,0,0.94,0.94,1.87,0.94,1.87,0.8,0.8,0.4,1.2,0.76,0.35,1.10,0.76,1.10
29,Iago Aspas,es  ESP,FW,Celta Vigo,35-091,1987,12,11,1006,11.2,6,2,5,1,2,3,0,0.54,0.18,0.72,0.45,0.63,3.3,1.7,1.9,3.7,0.30,0.17,0.47,0.15,0.33
30,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-135,1989,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.18,0.00,1.18,1.18,1.18
