,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Aly Abeid,mr  MTN,DF,Levante,19,1997,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1,Antonio Adán,es  ESP,GK,Betis,30,1987,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
2,Aday,es  ESP,"DF,MF",Girona,29,1987,20.4,2,32,14,43.8,1.57,0.68,0.03,0.07,23.0,6,1,2,2.6,1.1,0.04,-0.6,-0.1
3,Aritz Aduriz,es  ESP,FW,Athletic Club,36,1981,23.9,9,54,25,46.3,2.26,1.04,0.11,0.24,12.6,0,3,5,10.6,7.1,0.13,-1.6,-1.1
4,Martin Agirregabiria,es  ESP,DF,Alavés,21,1996,20.3,0,3,1,33.3,0.15,0.05,0.00,0.00,34.5,0,0,0,0.0,0.0,0.01,0.0,0.0
5,Imanol Agirretxe,es  ESP,FW,Real Sociedad,30,1987,2.6,0,5,2,40.0,1.89,0.76,0.00,0.00,9.9,0,0,0,1.2,1.2,0.24,-1.2,-1.2
6,Matías Aguirregaray,uy  URU,DF,Las Palmas,28,1989,12.8,0,9,0,0.0,0.70,0.00,0.00,,21.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5
7,Ager Aketxe,es  ESP,MF,Athletic Club,23,1993,0.5,0,2,0,0.0,4.39,0.00,0.00,,24.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
8,David Alba,es  ESP,DF,Getafe,18,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
9,Jordi Alba,es  ESP,DF,Barcelona,28,1989,30.5,2,15,5,33.3,0.49,0.16,0.13,0.40,14.5,0,0,0,1.9,1.9,0.13,+0.1,+0.1
10,Raúl Albentosa,es  ESP,DF,La Coruña,28,1988,19.4,1,14,3,21.4,0.72,0.15,0.07,0.33,7.9,0,0,0,1.4,1.4,0.10,-0.4,-0.4
11,Paco Alcácer,es  ESP,"FW,MF",Barcelona,23,1993,7.8,4,16,7,43.8,2.06,0.90,0.25,0.57,12.2,0,0,0,3.0,3.0,0.19,+1.0,+1.0
12,Pedro Alcalá,es  ESP,DF,Girona,28,1989,7.6,1,6,2,33.3,0.78,0.26,0.17,0.50,19.1,0,0,0,0.8,0.8,0.13,+0.2,+0.2
13,Steve Aldo One,cm  CMR,DF,La Coruña,22,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
14,Álex Alegría,es  ESP,FW,Levante,24,1992,6.9,0,14,2,14.3,2.02,0.29,0.00,0.00,18.7,0,0,0,0.9,0.9,0.06,-0.9,-0.9
15,Iván Alejo,es  ESP,"FW,MF",Eibar,22,1995,12.5,1,13,3,23.1,1.04,0.24,0.08,0.33,20.9,0,0,0,0.5,0.5,0.04,+0.5,+0.5
16,Alexander,ar  ARG,"FW,MF",Leganés,28,1988,11.7,2,19,5,26.3,1.62,0.43,0.05,0.20,16.2,1,1,1,2.7,2.0,0.10,-0.7,-1.0
