,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Antonio Adán,es  ESP,GK,Atlético Madrid,32,1987,0.3,7,4,6,1,0,0,6,0,0,,0,0,2,5,5,0,0,0,0,0,1,1,100.0,0
1,Aritz Aduriz,es  ESP,FW,Athletic Club,38,1981,2.3,82,2,7,39,39,11,81,2,2,100.0,2,0,33,115,31,1,1,0,4,2,117,64,54.7,22
2,Lumor Agbenyenu,gh  GHA,DF,Mallorca,22,1996,20.1,1182,82,387,538,332,14,964,26,45,57.8,30,0,701,4232,2216,101,34,5,22,18,665,599,90.1,22
3,Martin Agirregabiria,es  ESP,DF,Alavés,23,1996,23.3,1231,83,395,675,223,9,986,14,26,53.8,16,3,636,2937,1695,63,17,2,20,17,677,608,89.8,21
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,23,1995,27.8,1518,213,836,710,50,11,1475,11,15,73.3,12,0,962,5141,2228,58,10,0,5,8,954,934,97.9,10
5,Jordi Alba,es  ESP,DF,Barcelona,30,1989,24.3,2322,76,475,1119,831,65,2125,10,19,52.6,12,2,1617,6153,3153,143,27,10,10,7,1907,1762,92.4,109
6,Raúl Albiol,es  ESP,DF,Villarreal,33,1985,36.0,2261,403,1368,969,51,21,2209,3,3,100.0,3,0,1325,7803,4454,71,5,1,1,1,1509,1492,98.9,11
7,Paco Alcácer,es  ESP,FW,Villarreal,25,1993,10.3,316,9,28,149,148,46,291,4,8,50.0,4,1,171,658,346,19,5,7,17,7,389,221,56.8,88
8,Rubén Alcaraz,es  ESP,MF,Valladolid,28,1991,21.4,1330,77,349,890,170,15,1236,21,29,72.4,21,1,828,4312,2163,84,22,2,14,14,811,743,91.6,24
9,Álex Alegría,es  ESP,FW,Mallorca,26,1992,1.2,49,0,2,27,22,4,49,1,2,50.0,1,0,21,58,4,0,0,0,5,2,68,40,58.8,12
10,Yeray Álvarez,es  ESP,DF,Athletic Club,24,1995,31.2,1817,198,904,969,69,20,1754,11,13,84.6,11,1,992,6111,3338,81,19,0,3,10,1037,1021,98.5,13
11,Ibrahim Amadou,fr  FRA,MF,Leganés,26,1993,8.6,343,7,71,225,67,6,341,3,4,75.0,3,0,207,958,447,22,8,1,5,5,250,217,86.8,20
12,Amath,sn  SEN,MF,Getafe,23,1996,0.7,36,0,2,17,20,4,34,4,8,50.0,4,0,28,128,68,6,0,1,3,5,32,20,62.5,7
13,Miguel Ángel Guerrero,es  ESP,FW,Leganés,29,1990,8.8,276,4,14,160,111,24,258,11,16,68.8,12,0,154,467,178,10,5,1,18,14,390,211,54.1,75
14,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,35,1984,13.0,490,419,489,3,0,0,357,2,2,100.0,2,0,245,998,468,0,0,0,0,0,218,218,100.0,0
15,José Ángel,es  ESP,DF,Eibar,29,1989,26.2,1754,97,443,942,486,11,1380,20,24,83.3,20,1,913,4973,2622,120,58,2,19,19,864,812,94.0,12
16,Antoñito,es  ESP,"DF,MF",Valladolid,31,1987,11.4,574,37,199,261,150,10,478,6,16,37.5,8,1,308,1885,1186,53,20,5,10,5,355,305,85.9,23
17,Vitorino Antunes,pt  POR,MF,Getafe,32,1987,0.1,3,0,1,1,1,0,3,0,0,,0,0,1,0,0,0,0,0,1,0,2,2,100.0,0
18,Anuar,ma  MAR,"MF,FW",Valladolid,24,1995,2.1,127,3,27,94,16,2,125,2,3,66.7,2,0,83,704,341,16,4,0,1,3,94,83,88.3,2
19,Mauro Arambarri,uy  URU,MF,Getafe,23,1995,34.1,1363,54,241,851,349,26,1318,29,43,67.4,32,2,748,3964,1493,66,20,5,35,39,722,613,84.9,61
20,Néstor Araujo,mx  MEX,DF,Celta Vigo,27,1991,32.1,1824,330,1083,814,51,19,1763,1,1,100.0,1,0,1065,7522,3686,66,9,0,6,4,1149,1133,98.6,16
21,Ronald Araújo,uy  URU,DF,Barcelona,20,1999,2.6,233,33,120,125,2,1,229,1,1,100.0,1,0,173,716,452,6,0,0,0,1,186,186,100.0,0
22,Anaitz Arbilla,es  ESP,DF,Eibar,32,1987,22.3,1412,106,524,820,169,11,1266,4,6,66.7,4,0,751,5298,2319,67,18,1,8,10,740,714,96.5,12
23,Alphonse Areola,fr  FRA,GK,Real Madrid,26,1993,4.0,142,125,142,0,0,0,104,0,0,,0,0,77,336,185,0,0,0,0,1,62,62,100.0,0
24,Santiago Arias,co  COL,DF,Atlético Madrid,27,1992,12.0,780,47,216,362,243,19,667,4,7,57.1,5,0,437,2001,1087,58,18,2,7,4,488,449,92.0,38
25,Sergio Asenjo,es  ESP,GK,Villarreal,30,1989,34.0,1123,1024,1121,3,0,0,752,1,1,100.0,1,0,482,1954,963,0,0,0,0,0,447,446,99.8,0
26,Marco Asensio,es  ESP,FW,Real Madrid,23,1996,3.7,203,3,26,93,97,17,198,6,8,75.0,7,0,155,807,362,26,5,3,6,8,218,165,75.7,25
27,Iago Aspas,es  ESP,FW,Celta Vigo,31,1987,36.2,1676,13,133,882,794,165,1585,60,97,61.9,67,1,1235,7020,3871,190,66,36,69,70,1959,1317,67.2,354
28,Roger Assalé,ci  CIV,"FW,MF",Leganés,25,1993,5.9,192,0,12,85,112,36,189,16,20,80.0,16,1,165,955,563,30,8,7,11,14,268,156,58.2,58
29,Miguel Atienza,es  ESP,MF,Eibar,20,1999,0.3,21,1,5,12,5,3,21,0,0,,0,0,12,56,12,0,0,0,1,0,13,12,92.3,2
30,Ezequiel Ávila,ar  ARG,FW,Osasuna,25,1994,17.7,575,2,28,251,329,98,554,15,33,45.5,19,1,343,1831,986,59,15,14,43,34,840,395,47.0,176
31,Javier Avilés,es  ESP,"MF,FW",Leganés,21,1997,2.0,103,1,16,41,60,10,103,4,7,57.1,4,0,77,576,367,19,9,1,1,6,92,70,76.1,15
32,Chidozie Awaziem,ng  NGA,DF,Leganés,22,1997,22.2,1012,107,448,556,62,14,915,3,5,60.0,3,0,519,2846,1418,31,9,0,5,4,509,486,95.5,12
33,Ramon Azeez,ng  NGA,MF,Granada,26,1992,15.1,522,11,101,318,138,21,506,3,8,37.5,3,0,320,1974,858,34,12,3,17,16,422,301,71.3,45
34,Iddrisu Baba,gh  GHA,MF,Mallorca,23,1996,32.3,1614,102,530,1033,163,15,1595,46,54,85.2,47,1,1135,6207,2700,98,23,1,25,40,1016,955,94.0,26
35,Carlos Bacca,co  COL,"FW,MF",Villarreal,32,1986,7.6,205,5,12,92,109,38,193,6,11,54.5,7,0,127,502,236,11,5,5,16,10,267,149,55.8,67
36,Alex Baena,es  ESP,MF,Villarreal,18,2001,0.2,6,0,3,3,1,0,5,0,0,,0,0,2,10,0,0,0,0,0,0,6,3,50.0,1
37,Gareth Bale,wal  WAL,"FW,MF",Real Madrid,30,1989,12.1,618,11,70,308,296,52,601,17,30,56.7,19,0,431,2856,1681,98,35,6,27,16,644,512,79.5,102
38,Mikel Balenziaga,es  ESP,DF,Athletic Club,31,1988,6.3,317,17,93,157,78,1,261,1,2,50.0,1,0,150,707,388,15,3,0,3,2,159,145,91.2,1
39,Éver Banega,ar  ARG,MF,Sevilla,31,1988,27.5,2637,25,441,1663,723,32,2394,46,64,71.9,48,0,1964,9667,5366,259,67,8,46,48,2159,2031,94.1,99
40,Federico Barba,it  ITA,DF,Valladolid,25,1993,5.0,275,16,89,148,46,3,235,1,2,50.0,1,0,145,573,278,13,2,0,6,0,161,148,91.9,5
41,Enis Bardhi,mk  MKD,MF,Levante,24,1995,23.5,1133,30,205,568,431,51,1061,38,59,64.4,40,1,837,3951,2290,118,38,12,51,30,995,793,79.7,124
42,Kike Barja,es  ESP,"MF,FW",Osasuna,22,1997,3.5,138,4,19,62,76,11,136,11,17,64.7,12,0,116,703,486,26,9,4,12,11,158,101,63.9,31
43,Antonio Barragán,es  ESP,DF,Betis,32,1987,7.1,518,28,119,229,196,10,460,3,4,75.0,3,1,329,1235,654,37,16,3,4,1,380,361,95.0,19
44,Ander Barrenetxea,es  ESP,"FW,MF",Real Sociedad,17,2001,4.9,280,6,26,111,164,39,271,22,45,48.9,23,2,239,1403,834,49,9,17,15,12,272,213,78.3,37
45,Marc Bartra,es  ESP,"DF,MF",Betis,28,1991,28.0,2001,310,1117,878,106,31,1935,13,19,68.4,16,2,1223,6279,3536,97,15,0,16,11,1338,1295,96.8,19
46,Gil Bastião Dias,pt  POR,"DF,MF",Granada,22,1996,4.0,189,6,50,82,75,11,172,9,11,81.8,9,1,125,724,421,22,6,3,7,9,121,99,81.8,13
47,Fran Beltrán,es  ESP,MF,Celta Vigo,20,1999,20.3,1047,36,238,668,214,14,1016,17,26,65.4,18,1,775,3836,1507,68,25,1,22,28,857,751,87.6,45
48,Hatem Ben Arfa,fr  FRA,"MF,FW",Valladolid,32,1987,1.8,77,1,12,51,26,3,72,10,15,66.7,11,0,69,352,168,11,2,1,3,9,71,60,84.5,8
49,Karim Benzema,fr  FRA,FW,Real Madrid,31,1987,34.9,1688,32,123,737,928,269,1628,39,72,54.2,42,2,1173,6148,3183,177,54,53,59,42,2018,1406,69.7,381
50,Yuri Berchiche,es  ESP,DF,Athletic Club,29,1990,31.7,2079,81,568,1071,605,44,1769,47,71,66.2,49,1,1298,7562,4368,182,73,15,53,27,1356,1202,88.6,69
51,Markel Bergara,es  ESP,MF,Getafe,33,1986,0.8,24,2,3,7,14,3,24,0,0,,0,0,13,92,19,1,0,0,0,1,14,10,71.4,4
52,Sergio Bermejo,es  ESP,FW,Celta Vigo,21,1997,0.1,4,0,0,3,2,0,4,1,1,100.0,1,0,5,19,5,0,0,0,0,1,3,2,66.7,1
53,Pedro Bigas,es  ESP,DF,Eibar,28,1990,19.7,907,93,422,481,62,11,854,0,2,0.0,1,0,384,2451,1127,37,9,0,3,3,415,398,95.9,10
54,Rubén Blanco,es  ESP,GK,Celta Vigo,24,1995,32.9,1068,965,1062,4,2,0,664,0,0,,0,0,442,2429,1333,0,0,0,0,0,371,369,99.5,0
55,Pablo de Blasis,ar  ARG,"DF,MF",Eibar,31,1988,17.8,1132,30,196,585,408,27,963,13,25,52.0,15,0,637,2606,1466,72,23,5,23,14,765,652,85.2,65
56,Alejandro Blesa,es  ESP,MF,Levante,17,2002,0.0,7,0,2,4,2,1,7,0,0,,0,0,5,25,21,0,0,0,1,0,4,4,100.0,2
57,Yassine Bounou,ma  MAR,GK,Sevilla,28,1991,5.5,185,178,185,0,0,0,128,0,0,,0,0,84,314,101,0,0,0,0,0,73,73,100.0,0
58,Filip Bradarić,hr  CRO,MF,Celta Vigo,27,1992,7.8,485,21,121,308,73,7,475,4,5,80.0,5,0,268,1234,573,27,7,2,3,6,336,321,95.5,12
59,Brandon,es  ESP,FW,Osasuna,24,1995,4.5,174,1,21,85,82,15,166,3,8,37.5,3,0,122,645,368,25,4,5,13,9,222,123,55.4,46
60,Darko Brašanac,rs  SRB,MF,Osasuna,27,1992,24.9,976,38,168,566,298,59,968,12,22,54.5,12,0,559,2650,1283,69,27,6,27,30,866,604,69.7,128
61,Yan Brice Eteki,cm  CMR,MF,Granada,21,1997,16.7,583,29,135,369,105,4,577,13,20,65.0,14,0,354,1421,595,29,8,0,8,18,315,276,87.6,12
62,Ante Budimir,hr  CRO,FW,Mallorca,28,1991,30.7,927,28,76,511,382,128,893,21,38,55.3,22,2,502,1946,902,52,15,17,83,49,1329,674,50.7,244
63,Esteban Burgos,ar  ARG,DF,Eibar,27,1992,12.4,515,71,267,269,8,3,494,7,7,100.0,7,0,210,1166,487,7,0,0,1,0,217,212,97.7,2
64,Burgui,es  ESP,MF,Alavés,25,1993,0.2,10,0,1,7,3,0,9,0,0,,0,0,7,23,14,0,0,0,2,0,9,6,66.7,0
65,Oliver Burke,sco  SCO,"MF,FW",Alavés,22,1997,15.9,526,23,80,246,242,57,516,26,44,59.1,29,0,326,1830,1068,54,14,20,32,33,615,356,57.9,109
66,Sergio Busquets,es  ESP,MF,Barcelona,31,1988,27.6,2844,80,631,1885,468,18,2770,22,27,81.5,24,1,1910,6794,3363,129,39,2,14,19,2254,2182,96.8,44
67,Unai Bustinza,es  ESP,DF,Leganés,27,1992,29.8,1629,101,661,830,234,24,1450,6,15,40.0,8,0,773,4288,2575,76,21,3,13,5,826,770,93.2,28
68,Ariday Cabrera,es  ESP,"MF,FW",Mallorca,30,1988,0.4,20,0,2,8,12,2,17,0,2,0.0,0,0,10,36,14,1,0,0,2,0,10,9,90.0,5
69,Fernando Calero,es  ESP,DF,Espanyol,23,1995,11.6,699,78,368,346,18,0,680,1,1,100.0,1,0,428,2080,1035,29,5,0,0,3,446,441,98.9,1
70,Jonathan Calleri,ar  ARG,FW,Espanyol,25,1993,20.1,623,27,58,292,304,95,603,15,28,53.6,19,1,319,1480,634,33,10,9,67,38,876,457,52.2,182
71,Víctor Camarasa,es  ESP,MF,Alavés,25,1994,14.4,662,24,113,413,171,11,624,16,29,55.2,16,1,463,2105,826,43,11,1,23,12,512,432,84.4,40
72,Sergio Camello,es  ESP,FW,Atlético Madrid,18,2001,0.3,8,0,1,4,3,1,8,0,0,,0,0,6,14,8,0,0,0,1,0,12,7,58.3,2
73,José Campaña,es  ESP,MF,Levante,26,1993,35.1,2504,97,566,1381,742,67,2311,53,85,62.4,61,4,1718,10124,5524,275,83,18,55,48,1939,1751,90.3,148
74,Xisco Campos,es  ESP,DF,Mallorca,37,1982,5.3,264,38,160,100,12,4,255,0,0,,0,0,124,681,206,5,1,0,0,0,146,142,97.3,4
75,Víctor Campuzano,es  ESP,FW,Espanyol,22,1997,9.7,268,5,19,135,135,35,253,11,15,73.3,11,0,178,846,513,24,9,7,40,20,394,171,43.4,68
76,Sergio Canales,es  ESP,"MF,FW",Betis,28,1991,35.1,2529,34,421,1400,946,100,2296,48,71,67.6,54,1,1854,12227,6953,247,97,18,40,46,2155,1932,89.7,189
77,Ander Capa,es  ESP,DF,Athletic Club,27,1992,31.9,1951,86,497,933,661,47,1570,52,76,68.4,57,5,1034,5859,3890,195,72,13,28,43,1142,1003,87.8,73
78,Marc Cardona,es  ESP,FW,Osasuna,24,1995,7.8,270,4,16,145,125,31,250,10,17,58.8,11,0,186,1037,607,28,11,4,22,21,364,201,55.2,74
79,Diego Carlos,br  BRA,DF,Sevilla,26,1993,34.8,2226,392,1276,970,54,28,2166,8,9,88.9,8,0,1402,5579,2129,28,6,0,4,4,1501,1479,98.5,16
80,Yannick Carrasco,be  BEL,"MF,FW",Atlético Madrid,25,1993,7.0,353,4,56,152,172,27,324,18,33,54.5,20,1,259,1315,843,36,9,9,17,30,319,226,70.8,56
81,Daniel Carriço,pt  POR,DF,Sevilla,30,1988,9.4,617,85,313,301,30,9,598,3,3,100.0,3,0,432,2139,1086,29,9,1,3,0,451,448,99.3,5
82,Guido Carrillo,ar  ARG,FW,Leganés,28,1991,13.5,492,15,26,248,226,61,484,5,8,62.5,5,0,193,679,164,11,3,2,42,11,593,354,59.7,143
83,Dani Carvajal,es  ESP,DF,Real Madrid,27,1992,30.4,2739,111,758,1279,868,75,2428,30,57,52.6,32,2,1706,8073,4714,255,74,19,28,27,1976,1865,94.4,109
84,William Carvalho,pt  POR,MF,Betis,27,1992,9.9,702,26,156,486,113,6,686,15,17,88.2,15,1,506,2266,1120,45,12,1,7,7,579,551,95.2,23
85,Casemiro,br  BRA,MF,Real Madrid,27,1992,34.3,2615,141,694,1664,370,38,2571,23,33,69.7,23,1,1530,5839,3224,113,38,2,14,24,1829,1734,94.8,56
86,Santi Cazorla,es  ESP,MF,Villarreal,34,1984,27.2,2006,31,265,1183,671,46,1830,53,72,73.6,54,3,1460,6782,3274,185,49,9,46,35,1702,1508,88.6,123
87,Sofian Chakla,ma  MAR,DF,Villarreal,25,1993,2.0,107,22,71,39,2,1,98,0,0,,0,0,62,235,124,0,0,0,0,0,66,65,98.5,1
88,Charles,br  BRA,FW,Eibar,35,1984,14.5,475,6,25,246,219,51,439,4,6,66.7,4,0,217,607,225,12,5,2,34,17,670,326,48.7,124
89,Pablo Chavarría,ar  ARG,"FW,MF",Mallorca,31,1988,2.3,95,3,6,38,57,17,94,0,0,,0,0,48,347,220,11,6,1,11,4,129,75,58.1,31
90,Pape Cheikh Diop,sn  SEN,MF,Celta Vigo,21,1997,6.7,322,11,71,214,70,7,315,6,8,75.0,6,0,235,1527,811,37,17,1,9,9,268,228,85.1,13
91,Chema,es  ESP,DF,Getafe,27,1992,3.4,155,14,69,86,8,5,146,1,1,100.0,1,0,66,329,174,4,0,0,2,2,65,63,96.9,2
92,Denis Cheryshev,ru  RUS,"MF,FW",Valencia,28,1990,10.3,480,12,83,212,217,49,469,13,28,46.4,15,2,351,1820,988,54,15,6,19,13,446,334,74.9,80
93,Samuel Chukwueze,ng  NGA,"MF,FW",Villarreal,20,1999,22.8,1066,14,119,526,525,124,1053,60,99,60.6,62,3,874,5482,3688,197,49,47,71,47,1106,823,74.4,191
94,Churripi,es  ESP,GK,Valladolid,25,1994,2.7,108,94,108,0,0,0,71,0,0,,0,0,50,416,268,0,0,0,0,0,34,33,97.1,0
95,Jasper Cillessen,nl  NED,GK,Valencia,30,1989,23.3,806,748,803,4,0,0,547,0,0,,0,0,357,1663,1117,0,0,0,0,0,290,288,99.3,0
96,Óscar Clemente,es  ESP,MF,Atlético Madrid,20,1999,0.0,4,0,1,1,2,0,4,0,0,,0,0,3,18,15,0,0,0,1,0,5,3,60.0,0
97,Carlos Clerc,es  ESP,DF,Levante,27,1992,20.5,1188,84,446,559,263,14,993,25,39,64.1,26,2,645,3872,2226,99,35,4,20,9,700,637,91.0,33
98,Coke,es  ESP,DF,Levante,32,1987,11.0,697,49,251,307,186,24,592,15,27,55.6,17,0,408,2084,1149,50,18,1,15,6,440,397,90.2,27
99,Álex Collado,es  ESP,DF,Barcelona,20,1999,0.1,10,0,0,4,6,1,10,0,0,,0,0,8,42,21,1,0,0,0,0,9,9,100.0,1
100,Francis Coquelin,fr  FRA,MF,Valencia,28,1991,21.2,1184,68,347,734,167,19,1162,21,29,72.4,21,0,843,3441,1577,44,10,2,19,23,859,810,94.3,36
101,Sébastien Corchia,fr  FRA,DF,Espanyol,28,1990,3.0,233,8,47,95,100,4,198,6,10,60.0,6,0,155,614,341,13,1,1,3,6,175,159,90.9,13
102,Iñigo Córdoba,es  ESP,FW,Athletic Club,22,1997,16.0,652,12,138,271,282,37,645,17,32,53.1,18,0,437,1996,1068,54,14,5,34,20,605,442,73.1,77
103,Ángel Correa,ar  ARG,"MF,FW",Atlético Madrid,24,1995,22.9,942,29,133,384,488,139,930,41,74,55.4,46,2,696,2676,1568,99,33,24,79,61,917,666,72.6,236
104,Rober Correa,es  ESP,DF,Eibar,26,1992,10.3,628,39,155,327,185,8,493,5,7,71.4,5,0,283,1524,688,39,21,1,10,6,310,271,87.4,10
105,Thierry Correia,pt  POR,DF,Valencia,20,1999,2.9,172,12,61,96,24,0,141,1,2,50.0,1,0,88,441,281,9,4,0,4,1,101,92,91.1,5
106,Antonio Cortés,es  ESP,"FW,MF",Granada,19,2000,2.0,68,0,8,28,37,6,67,4,9,44.4,4,0,53,213,106,7,2,0,7,5,86,48,55.8,16
107,Diego Costa,es  ESP,FW,Atlético Madrid,30,1988,15.0,533,16,43,262,250,72,517,15,27,55.6,16,1,338,1385,545,29,8,4,41,21,749,411,54.9,140
108,Jaume Costa,es  ESP,DF,Valencia,31,1988,15.4,981,69,316,487,241,17,858,12,19,63.2,12,1,594,2885,1618,68,26,0,9,6,666,614,92.2,45
109,David Costas,es  ESP,DF,Celta Vigo,24,1995,3.8,240,29,130,119,6,2,233,0,0,,0,0,162,887,453,5,1,0,1,1,158,153,96.8,1
110,Thibaut Courtois,be  BEL,GK,Real Madrid,27,1992,34.0,1153,1060,1150,3,1,1,869,0,0,,0,0,628,3238,1407,0,0,0,0,0,575,572,99.5,1
111,Sebastián Cristóforo,uy  URU,MF,Eibar,25,1993,9.7,469,11,80,260,153,8,458,10,17,58.8,11,0,287,957,438,22,11,0,11,20,323,259,80.2,33
112,Cucho,co  COL,"FW,MF",Mallorca,20,1999,16.5,690,22,105,331,310,65,679,33,51,64.7,34,1,502,2654,1527,86,22,16,44,41,757,524,69.2,136
113,Marc Cucurella,es  ESP,"MF,DF",Getafe,21,1998,36.0,1818,41,296,827,812,65,1642,24,48,50.0,29,2,1059,4866,2840,164,57,12,65,43,1350,1008,74.7,161
114,Iván Cuéllar,es  ESP,GK,Leganés,35,1984,27.0,905,734,884,20,1,0,561,0,0,,0,0,349,2849,1552,1,0,0,0,0,229,228,99.6,0
115,Moanes Dabour,il  ISR,FW,Sevilla,27,1992,0.3,28,0,1,4,23,6,27,0,0,,0,0,15,44,21,0,0,0,2,1,25,20,80.0,6
116,Sergi Darder,es  ESP,"MF,FW",Espanyol,25,1993,29.5,1369,28,188,844,422,41,1276,21,47,44.7,22,1,883,4779,2223,122,43,5,34,32,1119,920,82.2,139
117,Ousmane Dembélé,fr  FRA,FW,Barcelona,22,1997,4.0,310,1,19,110,213,23,286,16,31,51.6,17,0,259,1406,843,68,14,10,12,7,307,257,83.7,29
118,Deyverson,br  BRA,FW,Getafe,28,1991,2.3,96,3,6,46,47,6,93,4,6,66.7,4,2,57,168,75,3,0,0,9,5,116,70,60.3,22
119,Mouctar Diakhaby,fr  FRA,DF,Valencia,22,1996,16.0,956,159,565,436,20,4,930,8,8,100.0,8,0,656,4179,2204,38,7,0,0,4,663,648,97.7,1
120,Brahim Díaz,es  ESP,"FW,MF",Real Madrid,19,1999,0.7,63,0,5,39,26,7,63,2,7,28.6,3,0,55,226,147,3,2,0,4,3,65,53,81.5,6
121,Víctor Díaz,es  ESP,DF,Granada,31,1988,32.0,1878,128,594,912,437,14,1512,15,26,57.7,15,1,836,3396,1764,73,18,0,15,9,943,861,91.3,29
122,Papakouli Diop,sn  SEN,MF,Eibar,33,1986,25.0,1049,50,165,728,198,24,1036,6,10,60.0,8,0,502,2131,811,45,19,3,16,16,605,531,87.8,38
123,Djené,tg  TOG,DF,Getafe,27,1991,34.0,1295,133,610,680,56,14,1254,11,14,78.6,12,0,561,3867,1526,49,8,2,6,9,449,435,96.9,9
124,Naïs Djouahra,fr  FRA,FW,Real Sociedad,19,1999,0.3,25,0,1,10,14,2,25,1,2,50.0,2,0,23,119,86,5,0,1,0,0,23,23,100.0,3
125,Marko Dmitrović,rs  SRB,GK,Eibar,27,1992,35.0,1158,931,1146,13,2,2,742,1,1,100.0,1,0,495,3204,1907,0,0,0,0,0,364,360,98.9,0
126,Jaume Doménech,es  ESP,GK,Valencia,28,1990,14.7,500,457,500,0,0,0,322,0,0,,0,0,213,867,505,0,0,0,0,0,169,168,99.4,0
127,Domingos Duarte,pt  POR,DF,Granada,24,1995,34.3,1566,251,899,710,45,21,1470,6,9,66.7,8,2,781,4780,2594,46,3,0,8,0,854,829,97.1,18
128,Óscar Duarte,cr  CRC,DF,Levante,30,1989,5.4,299,79,207,98,8,6,289,1,1,100.0,1,0,161,898,450,5,0,0,0,1,181,179,98.9,3
129,Rubén Duarte,es  ESP,DF,Alavés,23,1995,29.6,1651,97,538,829,346,33,1323,4,10,40.0,5,0,745,3516,1761,74,24,3,14,16,791,730,92.3,34
130,Hugo Duro,es  ESP,"FW,MF",Getafe,19,1999,4.2,145,4,15,58,80,24,142,0,1,0.0,0,0,73,287,140,8,5,3,18,11,202,97,48.0,44
131,Aritz Elustondo,es  ESP,DF,Real Sociedad,25,1994,16.8,1145,147,561,614,56,15,1094,2,5,40.0,2,0,694,4646,2401,54,6,0,2,6,722,709,98.2,10
132,Rodrigo Ely,br  BRA,DF,Alavés,25,1993,23.6,1111,159,635,496,22,15,1075,4,4,100.0,4,0,528,2500,936,18,1,0,3,8,569,544,95.6,15
133,Adri Embarba,es  ESP,"MF,FW",Espanyol,27,1992,15.2,682,15,108,293,342,31,611,35,70,50.0,40,3,469,2657,1533,79,21,7,38,33,617,414,67.1,105
134,Emerson,br  BRA,DF,Betis,20,1999,31.5,2008,101,595,874,673,96,1719,21,41,51.2,22,2,1234,6413,4020,200,59,21,43,36,1339,1221,91.2,107
