,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Sabit Abdulai,gh  GHA,MF,Getafe,21,1999,0.7,12,12,0,0,0,7,1,1,0,0,0,0,8,0,4,1,10,1,0,0,7,0,1,1,1
1,Marcos Acuña,ar  ARG,DF,Sevilla,28,1991,25.9,1771,1491,280,44,2,177,67,81,24,3,17,1,1047,297,427,1293,212,39,212,2,1426,3,30,36,48
2,Bobby Adekanye,nl  NED,"FW,MF",Cádiz,21,1999,0.4,10,10,0,0,0,0,0,2,0,0,0,0,7,1,2,9,0,1,0,0,7,0,0,0,0
3,Martin Agirregabiria,es  ESP,"DF,MF",Alavés,24,1996,17.3,727,546,181,18,1,82,18,22,1,0,0,0,353,158,216,62,444,44,162,1,520,5,22,28,19
4,Joseph Aidoo,gh  GHA,DF,Celta Vigo,24,1995,14.3,627,610,17,16,2,95,9,1,0,0,0,0,464,59,104,100,467,35,1,4,518,5,18,10,12
5,Carlos Akapo,gq  EQG,DF,Cádiz,27,1993,9.6,349,239,110,9,0,49,8,16,0,0,0,0,142,98,109,18,194,25,101,1,233,2,14,13,10
6,Paul Akouokou,ci  CIV,MF,Betis,22,1997,4.2,183,182,1,1,0,20,3,2,0,0,0,0,150,16,17,21,151,5,0,1,168,0,1,3,0
7,Jony Álamo,es  ESP,MF,Elche,18,2001,0.8,16,16,0,0,0,2,0,0,0,0,0,0,15,1,0,2,14,0,0,0,14,0,1,0,0
8,Jordi Alba,es  ESP,DF,Barcelona,31,1989,33.6,2933,2662,271,30,7,201,42,113,3,0,0,0,2183,465,285,2296,358,31,238,6,2507,6,24,54,97
9,Raúl Albiol,es  ESP,DF,Villarreal,34,1985,34.6,2007,1939,68,63,0,185,67,3,0,0,0,0,1588,141,278,294,1602,72,4,1,1795,2,30,14,19
10,Paco Alcácer,es  ESP,FW,Villarreal,26,1993,17.2,275,239,36,0,6,40,6,6,0,0,0,0,171,67,37,36,205,19,1,5,202,3,4,13,10
11,Pedro Alcalá,es  ESP,DF,Cádiz,31,1989,10.1,270,254,16,16,0,27,24,0,0,0,0,0,160,19,91,10,229,22,0,2,204,2,6,3,4
12,Rubén Alcaraz,es  ESP,MF,Valladolid,29,1991,24.1,1157,1104,53,46,1,202,71,6,1,1,0,0,781,105,271,170,884,51,6,8,962,4,31,22,19
13,Iván Alejo,es  ESP,"MF,FW",Cádiz,25,1995,9.2,231,218,13,1,1,57,12,46,3,1,2,0,120,49,62,18,180,12,7,1,130,0,8,6,26
14,Alfon,es  ESP,MF,Celta Vigo,21,1999,0.4,15,15,0,0,0,2,0,0,0,0,0,0,12,2,1,1,13,1,0,0,15,0,0,0,0
15,Sergio Álvarez,es  ESP,"MF,DF",Eibar,28,1992,17.4,688,674,14,11,0,133,24,6,0,0,0,0,438,86,164,65,524,62,2,1,535,1,20,9,12
16,Yeray Álvarez,es  ESP,DF,Athletic Club,25,1995,21.6,1061,1007,54,51,1,105,52,2,0,0,0,0,767,97,197,77,886,60,3,1,895,3,20,15,14
17,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,18,2001,0.5,12,10,2,0,0,3,0,0,0,0,0,0,9,1,2,9,1,0,2,0,8,0,0,0,2
18,Jon Ander Garrido,es  ESP,MF,Cádiz,30,1989,8.9,248,237,11,11,0,48,6,2,0,0,0,0,150,52,46,27,177,29,0,1,195,0,6,11,6
19,Ángel,es  ESP,GK,Granada,18,2002,1.0,30,11,19,2,0,3,1,0,0,0,0,0,5,0,25,12,16,0,0,0,16,0,2,0,0
20,Miguel Ángel Rubio,es  ESP,DF,Valladolid,22,1998,1.5,50,50,0,0,0,7,1,0,0,0,0,0,23,6,21,8,30,9,0,0,39,1,1,1,0
21,José Ángel,es  ESP,DF,Eibar,30,1989,10.0,681,542,139,18,0,87,26,37,5,2,1,1,351,137,193,418,105,28,116,2,509,5,18,29,13
22,José Antonio Miranda,gq  EQG,"MF,DF",Getafe,22,1998,0.3,16,16,0,0,0,2,0,0,0,0,0,0,8,4,4,3,10,2,0,0,9,0,1,0,1
23,Aritz Arambarri,es  ESP,DF,Real Sociedad,22,1998,0.3,20,15,5,1,0,2,0,0,0,0,0,0,11,7,2,4,11,1,4,0,15,0,0,0,1
24,Mauro Arambarri,uy  URU,MF,Getafe,24,1995,33.1,1076,951,125,55,1,164,98,50,67,32,11,10,547,138,391,89,852,85,1,4,754,6,36,18,25
25,Néstor Araujo,mx  MEX,DF,Celta Vigo,28,1991,27.0,1555,1526,29,27,1,128,30,3,0,0,0,0,1192,131,232,169,1276,71,2,5,1321,2,26,25,18
26,Ronald Araújo,uy  URU,DF,Barcelona,21,1999,16.8,1068,1032,36,26,1,95,13,0,0,0,0,0,921,59,88,102,896,26,9,5,987,1,9,8,7
