,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Luis Abram,pe  PER,DF,Granada,26-068,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08
1,Marcos Acuña,ar  ARG,DF,Sevilla,30-190,1991,27,22,1900,21.1,1,3,1,0,0,7,0,0.05,0.14,0.19,0.05,0.19,1.3,1.3,2.8,4.1,0.06,0.13,0.19,0.06,0.19
2,Martin Agirregabiria,es  ESP,DF,Alavés,25-361,1996,21,16,1501,16.7,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,1.0,0.01,0.05,0.06,0.01,0.06
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,21-131,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
4,Sergio Agüero,ar  ARG,FW,Barcelona,33-338,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80
5,Álvaro Aguirre,es  ESP,FW,Rayo Vallecano,22-092,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
6,Joseph Aidoo,gh  GHA,DF,Celta Vigo,26-219,1995,28,26,2277,25.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.00,0.02,0.02,0.02
7,Carlos Akapo,gq  EQG,DF,Cádiz,29-055,1993,22,18,1607,17.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.7,0.02,0.02,0.04,0.02,0.04
8,Ilias Akhomach,es  ESP,FW,Barcelona,18-020,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34
9,Paul Akouokou,ci  CIV,MF,Betis,24-137,1997,8,6,516,5.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02
10,David Alaba,at  AUT,DF,Real Madrid,29-316,1992,30,30,2642,29.4,2,3,2,0,0,2,0,0.07,0.10,0.17,0.07,0.17,1.6,1.6,2.4,3.9,0.05,0.08,0.13,0.05,0.13
11,Tomás Alarcón,cl  CHI,MF,Cádiz,23-107,1999,20,15,1332,14.8,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.1,2.1,0.07,0.08,0.14,0.07,0.14
12,Jordi Alba,es  ESP,DF,Barcelona,33-046,1989,27,27,2374,26.4,1,9,1,0,0,9,0,0.04,0.34,0.38,0.04,0.38,1.2,1.2,5.4,6.6,0.04,0.21,0.25,0.04,0.25
13,Raúl Albiol,es  ESP,DF,Villarreal,36-244,1985,24,24,2115,23.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.6,0.02,0.00,0.03,0.02,0.03
14,Paco Alcácer,es  ESP,FW,Villarreal,28-249,1993,14,8,621,6.9,0,3,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43,3.0,3.0,1.7,4.7,0.43,0.25,0.68,0.43,0.68
15,Rubén Alcaraz,es  ESP,MF,Cádiz,31-005,1991,11,10,913,10.1,2,0,2,0,0,5,0,0.20,0.00,0.20,0.20,0.20,1.2,1.2,0.8,2.0,0.12,0.08,0.19,0.12,0.19
16,Omar Alderete,py  PAR,DF,Valencia,25-131,1996,26,25,2133,23.7,2,0,2,0,0,13,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.2,1.1,0.04,0.01,0.05,0.04,0.05
17,Iván Alejo,es  ESP,"MF,FW",Cádiz,27-085,1995,18,10,963,10.7,2,2,2,0,0,7,0,0.19,0.19,0.37,0.19,0.37,0.8,0.8,2.3,3.1,0.08,0.22,0.29,0.08,0.29
18,Carles Aleñá,es  ESP,MF,Getafe,24-121,1998,30,28,2169,24.1,1,2,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,1.9,1.9,1.6,3.5,0.08,0.07,0.15,0.08,0.15
19,Mircea Alexandru Tirlea,ro  ROU,DF,Alavés,22-039,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
20,Hugo Álvarez,es  ESP,FW,Celta Vigo,36-319,1985,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.91,0.00,1.91,1.91,1.91
21,Yeray Álvarez,es  ESP,DF,Athletic Club,27-102,1995,20,19,1680,18.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.00,0.02,0.02,0.02
22,Dani Alves,br  BRA,DF,Barcelona,39-000,1983,10,9,750,8.3,1,2,1,0,0,1,1,0.12,0.24,0.36,0.12,0.36,0.1,0.1,1.5,1.6,0.02,0.18,0.19,0.02,0.19
23,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,20-167,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.0,0.1,0.04,0.05,0.08,0.04,0.08
