,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Marcos Acuña,ar  ARG,DF,Sevilla,31-063,1991,6.1,4,1,0,14,8,0,55,11,10,0,1,0,51,10,6,62.5
1,Álvaro Aguado,es  ESP,MF,Valladolid,26-243,1996,8.3,1,0,0,4,9,0,18,5,1,0,1,0,45,8,9,47.1
2,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-092,1995,14.0,2,0,0,9,6,0,0,11,17,0,1,0,86,24,25,49.0
3,Sergio Akieme,es  ESP,DF,Almería,25-014,1997,14.0,3,0,0,12,9,0,37,9,13,0,0,0,69,9,8,52.9
4,Paul Akouokou,ci  CIV,MF,Betis,25-010,1997,2.6,2,0,0,4,3,0,0,5,5,0,0,0,17,1,6,14.3
5,David Alaba,at  AUT,DF,Real Madrid,30-189,1992,12.9,3,0,0,6,2,0,16,11,5,0,0,0,61,4,3,57.1
6,Tomás Alarcón,cl  CHI,MF,Cádiz,23-345,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0
7,Jordi Alba,es  ESP,DF,Barcelona,33-284,1989,7.6,2,0,0,7,2,5,34,4,9,0,0,0,51,3,5,37.5
8,Raúl Albiol,es  ESP,DF,Villarreal,37-117,1985,12.9,4,0,0,9,11,0,1,9,9,0,0,0,55,25,11,69.4
9,Rubén Alcaraz,es  ESP,MF,Cádiz,31-243,1991,5.7,5,1,1,10,13,0,9,4,9,0,0,0,40,7,6,53.8
10,Omar Alderete,py  PAR,DF,Getafe,26-004,1996,1.5,1,0,0,2,2,0,0,2,0,0,0,0,15,3,5,37.5
11,Iván Alejo,es  ESP,"MF,FW",Cádiz,27-323,1995,7.3,5,0,0,23,20,1,44,2,15,0,0,0,34,14,9,60.9
12,Carles Aleñá,es  ESP,MF,Getafe,24-359,1998,11.4,6,0,0,24,28,1,13,2,8,0,0,0,55,7,13,35.0
13,Alejandro Alfaro,es  ESP,MF,Elche,20-198,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
14,Ángel Algobia,es  ESP,MF,Getafe,23-190,1999,4.0,2,0,0,12,2,0,4,1,6,0,0,0,21,2,4,33.3
15,Mohamed Ali Cho,fr  FRA,FW,Real Sociedad,18-345,2004,2.7,1,0,0,4,6,2,13,2,2,1,0,0,10,1,7,12.5
16,Domingos André Ribeiro Almeida,pt  POR,"MF,FW",Valencia,22-214,2000,7.8,0,0,0,11,10,0,17,5,7,0,0,0,42,7,12,36.8
17,Marcos Alonso,es  ESP,DF,Barcelona,32-002,1990,5.0,1,0,0,3,4,0,4,6,4,0,0,0,26,7,5,58.3
18,Gastón Álvarez,uy  URU,DF,Getafe,22-281,2000,4.8,0,1,0,5,6,0,3,9,8,0,0,0,19,8,10,44.4
19,Yeray Álvarez,es  ESP,DF,Athletic Club,27-340,1995,12.7,2,0,0,10,11,0,6,28,12,0,0,0,94,26,17,60.5
