,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W_Performance,D_Performance,L_Performance,CS_Performance,CS%_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Sergio Asenjo,es  ESP,GK,Valladolid,33-227,1989,5,5,450,5.0,7,1.40,12,5,41.7,1,1,3,1,20.0,0,0,0,0,
1,Édgar Badía,es  ESP,GK,Elche,30-363,1992,20,20,1800,20.0,40,2.00,120,79,69.2,1,6,13,0,0.0,5,3,2,0,40.0
2,Yassine Bounou,ma  MAR,GK,Sevilla,31-311,1991,18,18,1575,17.5,26,1.49,81,55,70.4,5,5,8,3,16.7,3,2,1,0,33.3
3,Claudio Bravo,cl  CHI,GK,Betis,39-303,1983,3,3,270,3.0,2,0.67,10,8,80.0,0,2,1,1,33.3,0,0,0,0,
4,Juan Carlos,es  ESP,GK,Girona,35-021,1988,10,10,900,10.0,18,1.80,43,25,62.8,2,2,6,0,0.0,2,2,0,0,0.0
5,Thibaut Courtois,be  BEL,GK,Real Madrid,30-275,1992,15,15,1350,15.0,14,0.93,53,39,81.1,11,2,2,4,26.7,4,4,0,0,0.0
6,Stole Dimitrievski,mk  MKD,GK,Rayo Vallecano,29-047,1993,19,19,1710,19.0,19,1.00,70,53,77.1,9,5,5,8,42.1,3,3,0,0,0.0
7,Marko Dmitrović,rs  SRB,GK,Sevilla,31-017,1992,3,2,225,2.5,3,1.20,14,11,78.6,0,1,1,0,0.0,0,0,0,0,
8,Aitor Fernández,es  ESP,GK,Osasuna,31-283,1991,10,10,900,10.0,8,0.80,33,25,75.8,4,3,3,4,40.0,0,0,0,0,
9,Álvaro Fernández,es  ESP,GK,Espanyol,24-303,1998,10,10,900,10.0,15,1.50,46,31,67.4,3,4,3,2,20.0,0,0,0,0,
10,Fernando,es  ESP,GK,Almería,32-245,1990,19,19,1710,19.0,29,1.53,109,80,75.2,6,4,9,1,5.3,4,2,1,1,33.3
11,Paulo Gazzaniga,ar  ARG,GK,Girona,31-039,1992,10,10,900,10.0,11,1.10,45,33,77.8,4,4,2,1,10.0,2,1,1,0,50.0
