,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Starts,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Abner,br  BRA,DF,Betis,22-269,2000,5,317,63,16.0,3.5,4,76,2,1,12,1,1.20,7,6,+1,+0.28,+0.01,7.3,7.0,+0.3,+0.09,-0.07
1,Álvaro Aceves,es  ESP,GK,Valladolid,19-209,2003,1,13,13,0.7,0.1,0,,0,1,13,9,0.00,0,0,0,0.00,+0.64,0.3,0.2,+0.1,+0.79,+1.48
2,Marcos Acuña,ar  ARG,DF,Sevilla,31-115,1991,17,1075,63,54.3,11.9,13,75,7,4,25,0,1.29,13,17,-4,-0.33,-0.14,13.6,18.9,-5.3,-0.44,+0.02
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,22-056,2000,1,90,90,4.5,1.0,1,90,1,0,,17,0.00,0,1,-1,-1.00,-1.43,0.8,1.1,-0.4,-0.38,-0.89
4,Álvaro Aguado,es  ESP,MF,Valladolid,26-295,1996,21,1178,56,59.5,13.1,12,79,8,9,26,1,1.14,11,20,-9,-0.69,-0.13,11.8,23.0,-11.1,-0.85,-0.42
5,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-144,1995,22,1980,90,100.0,22.0,22,90,22,0,,0,1.09,23,34,-11,-0.50,,25.5,25.3,+0.2,+0.01,
6,Sergio Akieme,es  ESP,DF,Almería,25-066,1997,22,1969,90,99.4,21.9,22,90,21,0,,0,1.00,26,40,-14,-0.64,-8.82,26.0,36.3,-10.3,-0.47,-5.48
7,Paul Akouokou,ci  CIV,MF,Betis,25-062,1997,6,238,40,12.0,2.6,2,89,1,4,15,9,2.00,1,4,-3,-1.13,-1.60,2.0,3.7,-1.8,-0.67,-0.94
8,David Alaba,at  AUT,DF,Real Madrid,30-241,1992,19,1545,81,78.0,17.2,17,89,14,2,19,0,2.32,40,15,+25,+1.46,+0.63,37.7,17.9,+19.8,+1.15,-0.31
9,Ángel Alarcón,es  ESP,FW,Barcelona,18-281,2004,1,5,5,0.3,0.1,0,,0,1,5,5,3.00,0,0,0,0.00,-1.73,0.0,0.4,-0.4,-6.97,-8.24
