,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take-Ons,Succ_Take-Ons,Succ%_Take-Ons,Tkld_Take-Ons,Tkld%_Take-Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving
0,Abner,br  BRA,DF,Betis,22-260,2000,2.0,149,13,46,66,38,3,149,3,0,0.0,3,100.0,75,261,152,2,2,1,2,2,85,9
1,Marcos Acuña,ar  ARG,DF,Sevilla,31-106,1991,10.8,800,38,217,345,246,18,800,23,7,30.4,12,52.2,438,2060,1073,22,17,3,17,15,477,50
2,Álvaro Aguado,es  ESP,MF,Valladolid,26-286,1996,12.6,754,16,162,430,171,8,754,13,6,46.2,3,23.1,489,3146,1290,17,24,1,13,3,537,22
3,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-135,1995,20.0,1205,174,631,556,27,9,1205,5,3,60.0,1,20.0,764,3707,1982,10,4,0,9,6,768,2
4,Sergio Akieme,es  ESP,DF,Almería,25-057,1997,20.0,1058,67,343,471,265,32,1058,45,25,55.6,16,35.6,534,3583,1992,52,33,11,25,23,588,74
5,Paul Akouokou,ci  CIV,MF,Betis,25-053,1997,2.6,119,8,27,80,13,0,119,1,0,0.0,1,100.0,52,138,34,0,1,0,0,0,74,1
6,David Alaba,at  AUT,DF,Real Madrid,30-232,1992,15.2,939,97,376,398,171,13,939,2,1,50.0,1,50.0,577,2535,1519,11,18,1,7,3,678,40
7,Tomás Alarcón,cl  CHI,MF,Cádiz,24-023,1999,2.5,113,3,20,68,25,1,113,0,0,,0,,62,267,81,2,0,0,3,4,74,6
8,Jordi Alba,es  ESP,DF,Barcelona,33-327,1989,10.3,1065,19,189,573,309,22,1065,8,4,50.0,4,50.0,644,2641,1437,30,19,4,4,6,777,96
9,Raúl Albiol,es  ESP,DF,Villarreal,37-160,1985,16.9,1197,159,591,579,34,4,1197,4,2,50.0,2,50.0,751,5205,3463,8,7,0,7,4,832,2
10,Rubén Alcaraz,es  ESP,MF,Cádiz,31-286,1991,10.2,520,30,137,316,73,10,520,7,3,42.9,3,42.9,276,1421,587,11,8,1,19,16,302,6
11,Omar Alderete,py  PAR,DF,Getafe,26-047,1996,7.0,393,34,161,206,31,9,393,8,4,50.0,4,50.0,192,817,532,4,2,0,4,1,216,4
12,Iván Alejo,es  ESP,"MF,FW",Cádiz,28-001,1995,8.0,309,16,64,92,155,14,309,20,3,15.0,13,65.0,177,1239,522,24,17,2,22,16,197,49
13,Carles Aleñá,es  ESP,MF,Getafe,25-037,1998,16.2,739,13,107,440,200,14,739,26,14,53.8,8,30.8,441,1969,838,16,16,1,32,17,544,57
14,Alejandro Alfaro,es  ESP,MF,Elche,20-241,2002,0.2,2,0,0,1,1,0,2,1,0,0.0,1,100.0,1,6,0,0,1,0,0,0,2,0
15,Ángel Algobia,es  ESP,MF,Getafe,23-233,1999,8.3,435,8,106,271,59,7,435,2,1,50.0,1,50.0,231,1108,505,8,2,2,10,5,283,6
16,Mohamed Ali Cho,fr  FRA,FW,Real Sociedad,19-023,2004,3.5,139,2,21,48,77,13,139,22,8,36.4,10,45.5,97,774,425,17,5,7,19,5,95,36
17,Domingos André Ribeiro Almeida,pt  POR,MF,Valencia,22-257,2000,12.9,767,16,115,375,289,11,767,34,14,41.2,14,41.2,496,2937,1627,41,36,2,14,26,537,44
18,Marcos Alonso,es  ESP,DF,Barcelona,32-045,1990,6.9,616,47,217,363,37,5,616,1,1,100.0,0,0.0,414,2425,1390,9,4,0,4,1,467,1
19,Carlos Álvarez,es  ESP,FW,Sevilla,19-189,2003,0.1,,,,,,,,,,,,,,,,,,,,,,
20,Gastón Álvarez,uy  URU,DF,Getafe,22-324,2000,6.3,267,21,103,140,26,4,267,5,1,20.0,3,60.0,106,403,163,3,1,0,4,2,142,9
