,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G+A_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
0,Abner,br  BRA,DF,Betis,22-269,2000,5,4,317,3.5,0,0,0,0,0,0,1,0,1.0,1.0,0.2,1.2,3,10,16,0.00,0.00,0.00,0.00,0.00,0.29,0.06,0.35,0.29,0.35
1,Álvaro Aceves,es  ESP,GK,Valladolid,19-209,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Marcos Acuña,ar  ARG,DF,Sevilla,31-115,1991,17,13,1075,11.9,2,1,3,2,0,0,5,1,0.9,0.9,2.3,3.2,23,55,54,0.17,0.08,0.25,0.17,0.25,0.08,0.19,0.27,0.08,0.27
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,22-056,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Álvaro Aguado,es  ESP,MF,Valladolid,26-295,1996,21,12,1178,13.1,0,2,2,0,0,0,3,0,0.4,0.4,1.1,1.5,18,88,23,0.00,0.15,0.15,0.00,0.15,0.03,0.08,0.11,0.03,0.11
5,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-144,1995,22,22,1980,22.0,2,0,2,2,0,0,4,0,0.8,0.8,0.0,0.9,10,66,2,0.09,0.00,0.09,0.09,0.09,0.04,0.00,0.04,0.04,0.04
6,Sergio Akieme,es  ESP,DF,Almería,25-066,1997,22,22,1969,21.9,0,0,0,0,0,0,4,0,1.4,1.4,2.0,3.3,59,53,78,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15
7,Paul Akouokou,ci  CIV,MF,Betis,25-062,1997,6,2,238,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
8,David Alaba,at  AUT,DF,Real Madrid,30-241,1992,19,17,1545,17.2,1,3,4,1,0,0,3,0,0.7,0.7,1.1,1.7,14,60,58,0.06,0.17,0.23,0.06,0.23,0.04,0.06,0.10,0.04,0.10
9,Ángel Alarcón,es  ESP,FW,Barcelona,18-281,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
