,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Ismael Aaneba,fr  FRA,"FW,DF",Strasbourg,21,1999,0.1,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0
1,Yunis Abdelhamid,ma  MAR,DF,Reims,32,1987,32.1,1715,1656,59,59,0,168,39,0,0,0,0,0,1365,124,226,1135,475,57,0,3,1506,4,26,24,13
2,Mehdi Abeid,dz  ALG,MF,Nantes,27,1992,14.7,725,676,49,32,1,83,33,21,14,7,4,3,544,70,111,100,589,19,3,4,616,5,15,10,7
3,Laurent Abergel,fr  FRA,MF,Lorient,27,1993,32.9,1592,1546,46,37,2,318,53,18,1,1,0,0,1174,198,220,137,1391,45,7,5,1330,5,28,50,28
4,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,20,2000,10.1,214,199,15,0,1,77,2,4,0,0,0,0,140,33,41,142,26,16,0,3,144,0,7,1,14
5,Matthis Abline,fr  FRA,FW,Rennes,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
6,Pape Abou Cisse,sn  SEN,DF,Saint-Étienne,24,1995,14.0,624,598,26,24,0,67,43,1,0,0,0,0,424,51,149,191,387,30,2,0,505,0,15,5,3
7,Yacine Adli,fr  FRA,MF,Bordeaux,20,2000,26.9,1629,1569,60,38,10,259,71,30,18,7,5,3,1262,158,209,135,1435,31,4,5,1346,6,27,43,36
8,Nayef Aguerd,ma  MAR,DF,Rennes,24,1996,35.0,2658,2586,72,71,1,168,71,1,0,0,0,0,2258,146,254,2264,266,69,1,5,2430,1,22,15,9
9,Ruben Aguilar,fr  FRA,"DF,FW",Monaco,27,1993,24.7,1599,1374,225,32,2,133,51,100,22,8,10,2,1023,246,330,33,1304,54,171,5,1317,5,16,24,31
10,Matteo Ahlinvi,bj  BEN,MF,Nîmes,21,1999,10.0,336,328,8,8,0,39,9,4,0,0,0,0,277,25,34,261,56,13,0,2,266,1,16,8,12
11,Cheikh Ahmadou Dieng,sn  SEN,FW,Marseille,20,2000,1.4,20,17,3,0,0,4,0,1,0,0,0,0,11,7,2,3,12,2,1,1,15,0,1,0,0
12,Rayan Aït Nouri,fr  FRA,DF,Angers,19,2001,2.1,149,129,20,0,0,11,2,4,0,0,0,0,116,15,18,117,8,2,20,0,136,0,0,1,1
13,Ludovic Ajorque,re  REU,FW,Strasbourg,26,1994,33.0,907,852,55,0,2,294,44,33,0,0,0,0,448,264,195,482,172,89,7,20,645,1,27,21,42
14,Marley Aké,fr  FRA,FW,Marseille,19,2001,1.6,35,33,2,0,0,11,0,1,0,0,0,0,21,6,8,3,24,3,0,1,28,1,2,2,1
15,Sofiane Alakouch,fr  FRA,DF,Nîmes,22,1998,16.7,912,713,199,18,0,75,19,15,0,0,0,0,529,238,145,60,643,21,180,2,726,3,19,30,29
16,Mohamed Ali Cho,fr  FRA,"FW,MF",Angers,16,2004,3.9,105,104,1,0,0,25,1,9,0,0,0,0,76,18,11,74,20,3,0,4,67,1,2,7,5
17,Rachid Alioui,ma  MAR,FW,Angers,28,1992,0.2,6,6,0,0,0,2,0,0,0,0,0,0,3,2,1,0,4,2,0,0,5,0,0,0,0
18,Saturnin Allagbé,bj  BEN,GK,Dijon,26,1993,12.0,405,271,134,29,0,23,8,0,0,0,0,0,169,16,220,27,294,0,1,70,267,1,13,1,1
19,Ibrahim Amadou,fr  FRA,MF,Angers,27,1993,16.7,689,668,21,20,2,104,14,3,0,0,0,0,557,51,81,48,594,28,1,1,596,1,8,12,9
20,Romain Amalfitano,fr  FRA,"FW,DF",Dijon,30,1989,1.3,58,52,6,1,0,11,1,4,0,0,0,0,42,8,8,4,48,0,5,0,47,1,2,0,1
21,Jordan Amavi,fr  FRA,DF,Marseille,26,1994,9.0,441,363,78,7,0,64,13,9,0,0,0,0,228,119,94,239,90,23,71,2,355,1,9,3,15
22,Thierry Ambrose,fr  FRA,FW,Metz,23,1997,8.4,253,240,13,2,1,82,11,14,3,2,1,0,151,37,65,42,171,19,1,1,174,1,6,7,15
23,Joachim Andersen,dk  DEN,DF,Lyon,24,1996,2.1,117,111,6,4,0,11,4,0,0,0,0,0,89,11,17,9,96,5,2,0,105,0,0,1,1
24,Benjamin André,fr  FRA,MF,Lille,29,1990,32.1,2042,2012,30,27,3,310,45,12,0,0,0,0,1491,286,265,250,1607,107,3,16,1737,5,36,42,40
25,Victorien Angban,ci  CIV,MF,Metz,23,1996,18.6,878,859,19,15,0,134,27,6,0,0,0,0,693,88,97,101,743,21,4,0,777,1,12,18,14
26,Houssem Aouar,fr  FRA,"MF,FW",Lyon,22,1998,19.8,1009,969,40,10,4,130,17,20,12,4,1,0,860,94,55,103,883,12,7,0,852,4,12,38,31
27,Adil Aouchiche,fr  FRA,"MF,FW",Saint-Étienne,18,2002,19.2,827,691,136,48,7,132,61,41,76,26,37,3,526,92,209,115,667,16,6,12,594,1,18,31,24
28,Dennis Appiah,fr  FRA,DF,Nantes,28,1992,17.3,861,672,189,10,0,98,13,41,0,0,0,0,456,188,217,113,506,45,179,4,634,3,22,25,26
29,Luiz Araújo,br  BRA,MF,Lille,24,1996,16.6,611,594,17,3,4,110,25,25,5,2,2,0,413,88,110,495,73,28,8,1,463,2,11,20,26
30,Karim Aribi,dz  ALG,FW,Nîmes,26,1994,3.3,62,53,9,0,0,20,0,1,0,0,0,0,36,13,13,11,37,7,0,0,40,0,2,1,2
31,Roger Assalé,ci  CIV,"FW,MF",Dijon,26,1993,9.2,183,177,6,2,0,35,3,5,0,0,0,0,138,26,19,28,136,11,1,1,126,1,2,13,7
