,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Rocco Ascone,fr  FRA,FW,Lille,16,2003,0,,,,,0,,,0,,4,,,,,,,,,,,
1,Ismael Aaneba,fr  FRA,"FW,DF",Strasbourg,21,1999,2,11,6,0.3,0.1,0,,,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.3,-0.3,-2.34,-2.51
2,Yunis Abdelhamid,ma  MAR,DF,Reims,32,1987,33,2889,88,84.5,32.1,33,88,,0,,0,1.18,37,39,-2,-0.06,+0.95,29.9,48.9,-19.0,-0.59,+0.89
3,Mehdi Abeid,dz  ALG,MF,Nantes,27,1992,18,1320,73,38.6,14.7,15,83,,3,23,1,0.94,14,23,-9,-0.61,-0.66,16.9,23.5,-6.6,-0.45,-0.44
4,Laurent Abergel,fr  FRA,MF,Lorient,27,1993,38,2963,78,86.6,32.9,32,85,,6,40,0,1.11,42,53,-11,-0.33,+1.04,42.2,43.7,-1.5,-0.04,+0.51
5,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,20,2000,24,912,38,26.7,10.1,9,64,,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.3,16.1,-0.7,-0.07,-0.09
6,Matthis Abline,fr  FRA,FW,Rennes,17,2003,1,2,2,0.1,0.0,0,,,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.2,0.0,+0.2,+9.80,+9.55
7,Pape Abou Cisse,sn  SEN,DF,Saint-Étienne,24,1995,14,1260,90,36.8,14.0,14,90,,0,,1,1.64,21,18,+3,+0.21,+0.84,20.2,18.7,+1.5,+0.11,+0.18
8,Yacine Adli,fr  FRA,MF,Bordeaux,20,2000,35,2418,69,70.7,26.9,25,84,,10,32,0,1.17,28,47,-19,-0.71,-1.16,30.5,41.5,-11.0,-0.41,-0.06
9,Nayef Aguerd,ma  MAR,DF,Rennes,24,1996,35,3147,90,92.0,35.0,35,90,,0,,0,1.54,46,36,+10,+0.29,-0.37,43.9,37.6,+6.4,+0.18,-1.00
10,Ruben Aguilar,fr  FRA,"DF,FW",Monaco,27,1993,33,2225,67,65.1,24.7,27,79,,6,14,2,1.97,37,30,+7,+0.28,-1.75,36.7,23.4,+13.3,+0.54,-1.00
11,Matteo Ahlinvi,bj  BEN,MF,Nîmes,21,1999,20,899,45,26.3,10.0,10,77,,10,13,14,0.75,5,21,-16,-1.60,-1.07,9.9,20.3,-10.4,-1.04,-0.57
12,Cheikh Ahmadou Dieng,sn  SEN,FW,Marseille,20,2000,5,129,26,3.8,1.4,2,56,,3,6,6,1.80,5,3,+2,+1.40,+1.26,2.3,1.6,+0.7,+0.48,+0.46
13,Rayan Aït Nouri,fr  FRA,DF,Angers,19,2001,3,187,62,5.5,2.1,2,80,,1,28,0,1.00,3,8,-5,-2.41,-2.04,1.8,5.6,-3.8,-1.83,-1.68
14,Ludovic Ajorque,re  REU,FW,Strasbourg,26,1994,35,2967,85,86.8,33.0,34,87,,1,25,1,1.20,46,49,-3,-0.09,+1.10,48.4,41.1,+7.3,+0.22,+0.48
15,Marley Aké,fr  FRA,FW,Marseille,19,2001,9,146,16,4.3,1.6,0,,,9,16,11,1.56,3,3,0,0.00,-0.19,3.3,3.7,-0.4,-0.23,-0.28
16,Sofiane Alakouch,fr  FRA,DF,Nîmes,22,1998,22,1505,68,44.0,16.7,17,84,,5,17,9,0.77,22,34,-12,-0.72,+0.18,18.9,27.6,-8.6,-0.52,+0.18
17,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,25,1995,0,,,,,0,,,0,,3,,,,,,,,,,,
18,Mohamed Ali Cho,fr  FRA,"FW,MF",Angers,16,2004,21,348,17,10.2,3.9,1,65,,20,14,10,0.67,5,8,-3,-0.78,-0.34,4.5,5.5,-1.0,-0.27,-0.04
19,Rachid Alioui,ma  MAR,FW,Angers,28,1992,1,15,15,0.4,0.2,0,,,1,15,0,1.00,0,0,0,0.00,+0.48,0.0,0.0,0.0,+0.01,+0.25
20,Saturnin Allagbé,bj  BEN,GK,Dijon,26,1993,12,1080,90,31.6,12.0,12,90,,0,,20,0.67,6,30,-24,-2.00,-1.08,10.7,24.8,-14.2,-1.18,-0.04
21,Ibrahim Amadou,fr  FRA,MF,Angers,27,1993,24,1504,63,44.0,16.7,20,72,,4,15,0,1.25,13,19,-6,-0.36,+0.20,17.5,20.4,-3.0,-0.18,+0.11
22,Romain Amalfitano,fr  FRA,"FW,DF",Dijon,30,1989,2,116,58,3.4,1.3,1,70,,1,46,0,0.00,1,4,-3,-2.33,-1.10,0.4,5.4,-5.0,-3.88,-2.82
23,Jordan Amavi,fr  FRA,DF,Marseille,26,1994,13,813,63,23.8,9.0,10,80,,3,3,2,2.31,16,6,+10,+1.11,+1.21,11.2,10.5,+0.7,+0.07,+0.04
24,Thierry Ambrose,fr  FRA,FW,Metz,23,1997,23,753,33,22.0,8.4,5,62,,18,25,10,1.22,13,11,+2,+0.24,+0.44,8.9,10.8,-1.9,-0.23,-0.02
25,Yanis Ammour,fr  FRA,FW,Montpellier,21,1999,0,,,,,0,,,0,,1,,,,,,,,,,,
26,Joachim Andersen,dk  DEN,DF,Lyon,24,1996,3,192,64,5.6,2.1,2,90,,1,12,3,1.33,1,2,-1,-0.47,-1.56,3.8,1.8,+2.0,+0.92,-0.18
27,Benjamin André,fr  FRA,MF,Lille,29,1990,35,2885,82,84.4,32.1,35,82,,0,,0,2.20,47,17,+30,+0.94,-0.91,37.4,21.3,+16.1,+0.50,-0.72
28,Victorien Angban,ci  CIV,MF,Metz,23,1996,26,1672,64,48.9,18.6,21,76,,5,15,8,1.50,21,23,-2,-0.11,0.00,19.6,21.9,-2.3,-0.13,+0.17
29,Houssem Aouar,fr  FRA,"MF,FW",Lyon,22,1998,30,1781,59,52.1,19.8,23,71,,7,21,1,1.97,48,27,+21,+1.06,+0.13,49.3,25.8,+23.5,+1.19,+0.20
30,Adil Aouchiche,fr  FRA,"MF,FW",Saint-Étienne,18,2002,34,1731,51,50.6,19.2,21,66,,13,27,2,1.21,24,25,-1,-0.05,+0.53,24.8,22.9,+1.9,+0.10,+0.22
31,Dennis Appiah,fr  FRA,DF,Nantes,28,1992,22,1556,71,45.5,17.3,16,87,,6,28,13,1.14,27,27,0,0.00,+0.39,25.5,28.0,-2.5,-0.14,+0.07
32,Luiz Araújo,br  BRA,MF,Lille,24,1996,28,1496,53,43.7,16.6,17,74,,11,21,2,2.18,33,6,+27,+1.62,+0.97,23.7,10.6,+13.1,+0.79,+0.31
33,Karim Aribi,dz  ALG,FW,Nîmes,26,1994,13,294,23,8.6,3.3,2,55,,11,17,5,0.92,3,9,-6,-1.84,-1.12,4.3,7.5,-3.2,-0.98,-0.40
34,Amir Arli,tr  TUR,MF,Dijon,17,2003,0,,,,,0,,,0,,5,,,,,,,,,,,
35,Roger Assalé,ci  CIV,"FW,MF",Dijon,26,1993,17,828,49,24.2,9.2,11,63,,6,22,1,0.59,7,18,-11,-1.20,+0.09,8.1,19.4,-11.3,-1.22,-0.09
36,Lorenz Assignon,tg  TOG,FW,Rennes,20,2000,0,,,,,0,,,0,,7,,,,,,,,,,,
37,Youcef Attal,dz  ALG,"DF,MF",Nice,24,1996,18,956,53,28.0,10.6,13,66,,5,21,0,1.33,15,21,-6,-0.56,-0.67,12.0,17.8,-5.8,-0.55,-0.57
38,Jean-Kévin Augustin,fr  FRA,FW,Nantes,23,1997,3,36,12,1.1,0.4,0,,,3,12,3,0.33,0,1,-1,-2.50,-2.31,0.2,0.3,-0.1,-0.22,-0.04
39,Ousmane Ba,sn  SEN,GK,Metz,18,2002,0,,,,,0,,,0,,3,,,,,,,,,,,
40,Ludovic Baal,gf  GUF,DF,Brest,34,1986,7,296,42,8.7,3.3,3,81,,4,13,31,0.57,5,9,-4,-1.22,-0.87,4.9,8.1,-3.2,-0.97,-0.83
