,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
0,Patrick van Aanholt,nl  NED,DF,Sunderland,23,1990,28,26,2307,25.6,0,5,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20
1,Rolando Aarons,eng  ENG,MF,Newcastle Utd,18,1995,4,0,132,1.5,1,0,1,0,0,1,0,0.68,0.00,0.68,0.68,0.68
2,Mehdi Abeid,dz  ALG,MF,Newcastle Utd,21,1992,13,7,664,7.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
3,Charlie Adam,sco  SCO,MF,Stoke City,28,1985,29,15,1511,16.8,7,1,6,1,1,5,0,0.42,0.06,0.48,0.36,0.42
4,Emmanuel Adebayor,tg  TOG,FW,Tottenham,30,1984,13,9,813,9.0,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33
5,Adrián,es  ESP,GK,West Ham,27,1987,38,38,3392,37.7,0,0,,,,3,1,0.00,0.00,0.00,,
6,Gabby Agbonlahor,eng  ENG,"FW,MF",Aston Villa,27,1986,34,30,2693,29.9,6,1,6,0,0,7,1,0.20,0.03,0.23,0.20,0.23
7,Sergio Agüero,ar  ARG,FW,Manchester City,26,1988,33,30,2531,28.1,26,8,21,5,6,4,0,0.92,0.28,1.21,0.75,1.03
8,Nathan Aké,nl  NED,"DF,MF",Chelsea,19,1995,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
9,Chuba Akpom,eng  ENG,FW,Arsenal,18,1995,3,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
10,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,24,1989,18,10,1031,11.5,2,3,2,0,0,3,0,0.17,0.26,0.44,0.17,0.44
11,Antolín Alcaraz,py  PAR,DF,Everton,32,1982,8,6,527,5.9,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
12,Toby Alderweireld,be  BEL,DF,Southampton,25,1989,26,26,2261,25.1,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04
13,Joe Allen,wal  WAL,MF,Liverpool,24,1990,21,16,1470,16.3,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06
14,Jak Alnwick,eng  ENG,GK,Newcastle Utd,21,1993,6,5,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
15,Jozy Altidore,us  USA,FW,Sunderland,24,1989,11,2,311,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
16,Sone Aluko,ng  NGA,"FW,MF",Hull City,25,1989,25,13,1242,13.8,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07
17,Ricky Álvarez,ar  ARG,MF,Sunderland,26,1988,13,5,497,5.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
18,Morgan Amalfitano,fr  FRA,MF,West Ham,29,1985,24,14,1184,13.2,3,1,3,0,0,3,0,0.23,0.08,0.30,0.23,0.30
19,Jordi Amat,es  ESP,DF,Swansea City,22,1992,10,7,588,6.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
20,Sammy Ameobi,eng  ENG,"FW,MF",Newcastle Utd,22,1992,25,15,1418,15.8,2,2,2,0,0,2,0,0.13,0.13,0.25,0.13,0.25
21,Shola Ameobi,ng  NGA,FW,Crystal Palace,32,1981,4,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
22,Anderson,br  BRA,MF,Manchester Utd,26,1988,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
23,Victor Anichebe,ng  NGA,FW,West Brom,26,1988,21,11,1035,11.5,3,1,3,0,0,0,0,0.26,0.09,0.35,0.26,0.35
24,Vurnon Anita,cw  CUW,"DF,MF",Newcastle Utd,25,1989,19,17,1266,14.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
25,Scott Arfield,ca  CAN,MF,Burnley,25,1988,37,36,3202,35.6,2,2,2,0,1,6,0,0.06,0.06,0.11,0.06,0.11
26,Adam Armstrong,eng  ENG,"FW,MF",Newcastle Utd,17,1997,11,1,211,2.3,0,1,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43
27,Marko Arnautović,at  AUT,"FW,MF",Stoke City,25,1989,29,20,1918,21.3,1,5,1,0,0,2,0,0.05,0.23,0.28,0.05,0.28
