,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,28,1990,27.9,1839,97,531,883,531,50,1458,18,36,50.0,18,2,1000,5308,2935,158,46,12,21,16,1079,994,92.1,55
1,Max Aarons,eng  ENG,DF,Norwich City,19,2000,36.0,2133,178,804,902,594,52,1821,49,94,52.1,55,2,1321,7912,4384,204,56,23,39,48,1399,1244,88.9,67
2,Tammy Abraham,eng  ENG,FW,Chelsea,21,1997,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,1627,826,51,12,14,71,47,1076,495,46.0,226
3,Che Adams,sct  SCO,FW,Southampton,23,1996,12.3,441,10,35,204,235,68,433,15,27,55.6,15,1,308,1348,640,37,15,11,44,29,657,315,47.9,146
4,Adrián,es  ESP,GK,Liverpool,32,1987,9.7,338,301,338,0,0,0,244,0,0,,0,0,163,641,355,0,0,0,0,0,155,154,99.4,0
5,Sergio Agüero,ar  ARG,FW,Manchester City,31,1988,16.1,572,2,21,210,383,154,551,27,45,60.0,28,2,428,1758,891,65,20,16,24,41,780,450,57.7,174
6,Albian Ajeti,ch  SUI,"MF,FW",West Ham,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,42,8,0,0,0,5,3,64,24,37.5,12
7,Nathan Aké,nl  NED,DF,Bournemouth,24,1995,27.8,1508,277,923,595,86,34,1455,5,5,100.0,5,0,845,5157,2869,47,8,0,7,5,948,900,94.9,24
8,Marc Albrighton,eng  ENG,"MF,DF",Leicester City,29,1989,9.6,622,13,111,258,292,23,587,10,29,34.5,13,2,420,2134,979,50,13,5,9,12,494,428,86.6,58
9,Toby Alderweireld,be  BEL,DF,Tottenham,30,1989,32.9,2265,355,1227,1037,114,22,2185,0,2,0.0,0,0,1362,6491,3048,80,20,0,3,2,1535,1500,97.7,18
10,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,20,1998,35.3,3520,106,850,1641,1244,63,2865,26,56,46.4,30,4,2108,8488,5128,245,92,12,36,22,2363,2230,94.4,117
11,Alisson,br  BRA,GK,Liverpool,26,1992,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,0,0,0,1,0,494,490,99.2,0
12,Dele Alli,eng  ENG,"MF,FW",Tottenham,23,1996,20.5,1132,37,171,575,471,96,1076,32,63,50.8,36,7,747,3724,1982,104,43,16,45,56,1102,773,70.1,197
13,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,25,1994,33.6,1309,44,315,554,601,91,1297,46,93,49.5,54,5,975,7114,3876,161,59,18,60,54,1281,894,69.8,192
14,Marcos Alonso,es  ESP,DF,Chelsea,28,1990,15.9,1313,30,326,564,510,72,1146,12,19,63.2,12,0,841,4519,2597,138,37,9,20,22,928,829,89.3,104
15,Steven Alzate,co  COL,"MF,DF",Brighton,20,1998,13.2,838,31,216,406,272,44,787,33,50,66.0,35,4,618,3218,1757,100,27,10,20,28,638,557,87.3,50
16,Ibrahim Amadou,fr  FRA,"DF,MF",Norwich City,26,1993,8.4,470,108,329,142,14,4,464,2,3,66.7,2,0,253,991,474,5,1,0,1,1,297,289,97.3,2
17,Felipe Anderson,br  BRA,"MF,FW",West Ham,26,1993,16.6,1163,26,166,616,515,66,1138,66,97,68.0,70,5,932,5856,3538,154,65,22,33,35,1042,889,85.3,127
18,Florin Andone,ro  ROU,"MF,FW",Brighton,26,1993,0.8,29,3,4,12,16,7,28,2,4,50.0,2,0,17,83,42,2,0,0,5,2,33,16,48.5,3
19,Angeliño,es  ESP,DF,Manchester City,22,1997,4.7,477,16,99,199,214,10,429,5,8,62.5,5,2,321,1469,894,54,22,0,3,4,361,343,95.0,25
20,Faustino Anjorin,eng  ENG,FW,Chelsea,17,2001,0.2,12,0,1,5,6,2,12,1,1,100.0,1,0,10,60,34,1,0,1,0,1,11,8,72.7,0
21,Michail Antonio,jm  JAM,FW,West Ham,29,1990,19.6,850,12,47,305,556,125,810,71,107,66.4,74,3,601,2602,1532,82,20,23,71,49,1134,626,55.2,234
22,Stuart Armstrong,sct  SCO,MF,Southampton,27,1992,19.1,882,48,167,412,368,49,863,31,53,58.5,33,2,593,3466,1879,90,31,9,37,29,732,560,76.5,93
23,Kepa Arrizabalaga,es  ESP,GK,Chelsea,24,1994,33.0,1134,1003,1129,5,0,0,882,0,0,,0,0,681,2610,1487,0,0,0,0,0,646,646,100.0,0
24,Christian Atsu,gh  GHA,"FW,MF",Newcastle Utd,27,1992,8.3,332,11,85,133,158,20,323,19,40,47.5,21,1,255,1389,838,32,16,7,21,20,321,215,67.0,37
25,Pierre-Emerick Aubameyang,ga  GAB,FW,Arsenal,30,1989,34.8,1248,29,159,502,672,168,1214,25,49,51.0,29,0,865,5143,3182,171,44,36,58,39,1528,939,61.5,298
26,Serge Aurier,ci  CIV,DF,Tottenham,26,1992,30.0,2057,120,582,895,680,54,1789,46,73,63.0,46,7,1198,4807,2607,130,41,8,36,31,1297,1146,88.4,108
27,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,27,1991,35.0,1366,30,178,673,635,134,1331,75,117,64.1,78,4,1012,5700,2761,138,44,29,99,108,1682,956,56.8,252
28,César Azpilicueta,es  ESP,DF,Chelsea,29,1989,35.9,3273,133,988,1549,876,98,2878,15,24,62.5,17,1,1947,6871,3892,150,47,7,24,13,2231,2095,93.9,137
29,Eric Bailly,ci  CIV,DF,Manchester Utd,25,1994,1.7,87,15,39,50,0,0,87,1,1,100.0,1,0,58,211,116,3,0,0,0,2,52,52,100.0,1
30,Leighton Baines,eng  ENG,DF,Everton,34,1984,4.5,255,22,60,98,103,1,203,1,2,50.0,2,0,136,467,271,16,3,1,3,3,149,136,91.3,7
31,Fabián Balbuena,py  PAR,DF,West Ham,27,1991,13.1,653,96,350,311,27,16,635,0,0,,0,0,308,1778,978,24,3,0,2,0,344,329,95.6,14
