,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Patrick van Aanholt,nl  NED,DF,Crystal Palace,29,1990,22,1777,81,52.0,19.7,20,88,,2,11,11,1.05,19,36,-17,-0.86,-0.42,15.9,29.8,-13.8,-0.70,-0.09
1,Tammy Abraham,eng  ENG,FW,Chelsea,22,1997,22,1040,47,30.4,11.6,12,74,,10,15,8,1.77,23,12,+11,+0.95,+0.54,21.1,8.8,+12.2,+1.06,+0.34
2,Che Adams,sct  SCO,FW,Southampton,24,1996,36,2667,74,78.0,29.6,30,84,,6,25,0,1.11,39,51,-12,-0.40,+0.67,32.9,39.9,-7.0,-0.24,+0.33
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,22,1997,33,2953,89,86.3,32.8,33,89,,0,,1,0.85,24,41,-17,-0.52,+1.22,36.7,46.2,-9.5,-0.29,+0.15
4,Adrián,es  ESP,GK,Liverpool,33,1987,3,270,90,7.9,3.0,3,90,,0,,27,1.33,6,9,-3,-1.00,-1.83,6.8,5.8,+1.0,+0.33,-0.42
5,Sergio Agüero,ar  ARG,"FW,MF",Manchester City,32,1988,12,559,47,16.3,6.2,7,69,,5,16,7,2.42,11,4,+7,+1.13,-0.26,12.2,4.4,+7.8,+1.26,+0.18
6,Ola Aina,ng  NGA,DF,Fulham,23,1996,31,2664,86,77.9,29.6,31,86,,0,,4,0.84,22,36,-14,-0.47,+0.96,31.8,41.4,-9.6,-0.33,-0.08
7,Rayan Aït Nouri,fr  FRA,DF,Wolves,19,2001,21,1404,67,41.1,15.6,16,83,,5,15,8,1.00,16,23,-7,-0.45,-0.05,16.8,18.3,-1.5,-0.09,+0.11
8,Semi Ajayi,ng  NGA,DF,West Brom,26,1993,33,2780,84,81.3,30.9,31,88,,2,26,4,0.64,31,71,-40,-1.29,-1.15,26.4,58.2,-31.7,-1.03,-0.71
9,Nathan Aké,nl  NED,DF,Manchester City,25,1995,10,797,80,23.3,8.9,9,86,,1,20,7,1.70,16,13,+3,+0.34,-1.31,15.5,9.3,+6.2,+0.70,-0.53
10,Marc Albrighton,eng  ENG,"DF,FW",Leicester City,30,1989,31,1746,56,51.1,19.4,17,80,,14,27,7,1.90,36,22,+14,+0.72,+0.51,30.7,25.0,+5.6,+0.29,+0.15
11,Thiago Alcántara,es  ESP,MF,Liverpool,29,1991,24,1854,77,54.2,20.6,20,85,,4,40,1,1.71,34,18,+16,+0.78,+0.20,40.5,23.2,+17.3,+0.84,+0.27
12,Toby Alderweireld,be  BEL,DF,Tottenham,31,1989,25,2240,90,65.5,24.9,25,90,,0,,10,1.80,44,25,+19,+0.76,+0.46,34.9,31.1,+3.8,+0.15,+0.06
13,Kyle Alex John,eng  ENG,DF,Everton,19,2001,0,,,,,0,,,0,,6,,,,,,,,,,,
14,Rúnar Alex Rúnarsson,is  ISL,GK,Arsenal,25,1995,1,16,16,0.5,0.2,0,,,1,16,21,0.00,0,0,0,0.00,-0.42,0.1,0.5,-0.4,-2.03,-2.28
15,Trent Alexander-Arnold,eng  ENG,DF,Liverpool,21,1998,36,3031,84,88.6,33.7,34,88,,2,19,0,1.81,60,40,+20,+0.59,-0.79,65.3,40.4,+24.9,+0.74,+0.20
16,Ezgjan Alioski,mk  MKD,DF,Leeds United,28,1992,36,2461,68,72.0,27.3,29,79,,7,22,2,1.64,47,35,+12,+0.44,+0.81,45.7,43.2,+2.5,+0.09,+0.83
17,Alisson,br  BRA,GK,Liverpool,27,1992,33,2970,90,86.8,33.0,33,90,,0,,0,1.88,58,32,+26,+0.79,+0.79,63.9,37.9,+26.0,+0.79,+0.53
18,Allan,br  BRA,MF,Everton,29,1991,24,2051,85,60.0,22.8,23,88,,1,33,2,1.54,27,30,-3,-0.13,-0.26,30.6,31.5,-0.9,-0.04,+0.22
19,Dele Alli,eng  ENG,MF,Tottenham,24,1996,15,620,41,18.1,6.9,7,70,,8,16,8,1.33,11,9,+2,+0.29,-0.38,11.0,10.4,+0.6,+0.09,-0.05
20,Miguel Almirón,py  PAR,"MF,FW",Newcastle Utd,26,1994,34,2429,71,71.0,27.0,28,82,,6,20,2,1.18,30,48,-18,-0.67,-0.85,28.8,37.5,-8.7,-0.32,+0.06
21,Marcos Alonso,es  ESP,DF,Chelsea,29,1990,13,960,74,28.1,10.7,11,84,,2,20,9,2.08,15,13,+2,+0.19,-0.54,17.0,11.2,+5.8,+0.54,-0.39
22,Steven Alzate,co  COL,"MF,DF",Brighton,21,1998,15,896,60,26.2,10.0,10,76,,5,28,20,0.93,10,17,-7,-0.70,-0.74,11.2,10.3,+0.9,+0.09,-0.38
23,Daniel Amartey,gh  GHA,DF,Leicester City,25,1994,12,722,60,21.1,8.0,8,80,,4,21,14,1.54,13,14,-1,-0.12,-0.76,10.7,11.0,-0.3,-0.04,-0.32
24,Ethan Ampadu,wls  WAL,"DF,MF",Sheffield Utd,19,2000,25,2089,84,61.1,23.2,23,86,,2,53,4,0.52,12,41,-29,-1.25,-0.30,19.1,38.7,-19.6,-0.85,-0.07
25,Joachim Andersen,dk  DEN,DF,Fulham,24,1996,31,2730,88,79.8,30.3,30,89,,1,59,0,0.87,22,35,-13,-0.43,+1.27,34.1,40.3,-6.2,-0.20,+0.51
26,Elliot Anderson,sct  SCO,MF,Newcastle Utd,17,2002,1,4,4,0.1,0.0,0,,,1,4,8,0.00,0,0,0,0.00,+0.42,0.0,0.3,-0.3,-7.28,-6.95
27,Felipe Anderson,br  BRA,"FW,MF",West Ham,27,1993,2,3,2,0.1,0.0,0,,,2,2,2,0.00,0,0,0,0.00,-0.40,0.1,0.2,-0.1,-3.63,-3.78
28,Florin Andone,ro  ROU,FW,Brighton,27,1993,0,,,,,0,,,0,,1,,,,,,,,,,,
29,Faustino Anjorin,eng  ENG,MF,Chelsea,18,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
30,Michail Antonio,jm  JAM,FW,West Ham,30,1990,26,1974,76,57.7,21.9,24,80,,2,23,0,1.85,38,25,+13,+0.59,+0.47,35.6,23.0,+12.6,+0.57,+1.01
