,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Alisson,br  BRA,GK,Liverpool,29-086,1992,17,17,1530,17.0,15,0.88,48,33,68.8,11,5,1,9,52.9,0,0,0,0,
1,Kepa Arrizabalaga,es  ESP,GK,Chelsea,27-085,1994,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
2,Daniel Bachmann,at  AUT,GK,Watford,27-171,1994,8,8,720,8.0,18,2.25,45,29,64.4,1,0,7,0,0.0,2,2,0,0,0.0
3,Asmir Begović,ba  BIH,GK,Everton,34-190,1987,1,1,90,1.0,3,3.00,3,1,0.0,0,0,1,0,0.0,0,0,0,0,
4,Jack Butland,eng  ENG,GK,Crystal Palace,28-292,1993,2,2,180,2.0,5,2.50,10,5,50.0,0,1,1,0,0.0,0,0,0,0,
5,Willy Caballero,ar  ARG,GK,Southampton,40-090,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,
6,Karl Darlow,eng  ENG,GK,Newcastle Utd,31-080,1990,8,8,720,8.0,15,1.87,37,25,64.9,0,5,3,0,0.0,2,2,0,0,0.0
7,Martin Dúbravka,sk  SVK,GK,Newcastle Utd,32-346,1989,6,6,540,6.0,14,2.33,32,19,59.4,1,1,4,1,16.7,1,1,0,0,0.0
8,Ederson,br  BRA,GK,Manchester City,28-132,1993,18,18,1620,18.0,12,0.67,41,28,73.2,14,2,2,10,55.6,1,1,0,0,0.0
9,Łukasz Fabiański,pl  POL,GK,West Ham,36-253,1985,18,18,1620,18.0,24,1.33,79,53,70.9,8,4,6,4,22.2,2,1,1,0,50.0
10,Álvaro Fernández,es  ESP,GK,Brentford,23-258,1998,8,8,720,8.0,15,1.87,39,26,64.1,2,2,4,1,12.5,1,1,0,0,0.0
11,Fraser Forster,eng  ENG,GK,Southampton,33-285,1988,1,1,90,1.0,2,2.00,4,2,50.0,1,0,0,0,0.0,0,0,0,0,
12,Ben Foster,eng  ENG,GK,Watford,38-268,1983,8,8,720,8.0,13,1.62,34,21,61.8,3,1,4,0,0.0,1,0,1,0,100.0
13,David de Gea,es  ESP,GK,Manchester Utd,31-050,1990,16,16,1440,16.0,24,1.50,73,50,68.5,8,3,5,4,25.0,4,1,3,0,75.0
14,Vicente Guaita,es  ESP,GK,Crystal Palace,34-351,1987,16,16,1440,16.0,22,1.37,68,47,69.1,4,7,5,4,25.0,1,1,0,0,0.0
15,Angus Gunn,eng  ENG,GK,Norwich City,25-339,1996,1,1,90,1.0,5,5.00,5,1,20.0,0,0,1,0,0.0,1,1,0,0,0.0
16,Caoimhín Kelleher,ie  IRL,GK,Liverpool,23-034,1998,1,1,90,1.0,0,0.00,2,1,100.0,1,0,0,1,100.0,0,0,0,0,
17,Tim Krul,nl  NED,GK,Norwich City,33-268,1988,17,17,1530,17.0,34,2.00,85,54,64.7,2,4,11,3,17.6,5,4,1,0,20.0
18,Bernd Leno,de  GER,GK,Arsenal,29-298,1992,3,3,270,3.0,9,3.00,18,8,50.0,0,0,3,0,0.0,0,0,0,0,
19,Hugo Lloris,fr  FRA,GK,Tottenham,35-001,1986,16,16,1440,16.0,19,1.19,60,43,70.0,9,2,5,7,43.8,1,1,0,0,0.0
20,Emiliano Martínez,ar  ARG,GK,Aston Villa,29-116,1992,17,17,1530,17.0,25,1.47,70,48,68.6,7,1,9,5,29.4,5,3,1,1,25.0
21,Alex McCarthy,eng  ENG,GK,Southampton,32-024,1989,15,15,1350,15.0,21,1.40,60,38,65.0,3,7,5,5,33.3,0,0,0,0,
22,Edouard Mendy,sn  SEN,GK,Chelsea,29-301,1992,18,18,1620,18.0,13,0.72,52,43,82.7,11,5,2,8,44.4,4,4,0,0,0.0
23,Illan Meslier,fr  FRA,GK,Leeds United,21-300,2000,18,18,1620,18.0,36,2.00,97,62,66.0,3,7,8,3,16.7,3,3,0,0,0.0
24,Jordan Pickford,eng  ENG,GK,Everton,27-295,1994,16,16,1440,16.0,26,1.62,75,50,66.7,5,4,7,3,18.8,1,1,0,0,0.0
25,Nick Pope,eng  ENG,GK,Burnley,29-252,1992,15,15,1350,15.0,21,1.40,65,43,67.7,1,8,6,3,20.0,0,0,0,0,
26,Aaron Ramsdale,eng  ENG,GK,Arsenal,23-227,1998,16,16,1440,16.0,14,0.87,66,50,81.8,11,2,3,9,56.3,2,2,0,0,0.0
27,David Raya,es  ESP,GK,Brentford,26-103,1995,9,9,810,9.0,9,1.00,29,20,69.0,3,3,3,3,33.3,0,0,0,0,
28,José Sá,pt  POR,GK,Wolves,28-344,1993,18,18,1620,18.0,14,0.78,67,57,85.1,7,4,7,7,38.9,4,4,0,0,0.0
29,Robert Sánchez,es  ESP,GK,Brighton,24-039,1997,16,16,1439,16.0,15,0.94,59,46,78.0,5,8,3,6,37.5,2,2,0,0,0.0
30,Kasper Schmeichel,dk  DEN,GK,Leicester City,35-052,1986,17,17,1530,17.0,33,1.94,83,56,66.3,6,4,7,2,11.8,5,5,0,0,0.0
31,Jason Steele,eng  ENG,GK,Brighton,31-131,1990,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
32,Jed Steer,eng  ENG,GK,Aston Villa,29-095,1992,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
33,Zack Steffen,us  USA,GK,Manchester City,26-269,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
34,Freddie Woodman,eng  ENG,GK,Newcastle Utd,24-298,1997,4,4,360,4.0,12,3.00,19,9,47.4,0,1,3,0,0.0,3,2,1,0,33.3
