,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G+A_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
0,Brenden Aaronson,us  USA,"MF,FW",Leeds United,22-112,2000,20,19,1596,17.7,1,2,3,1,0,0,2,0,2.4,2.4,3.1,5.5,27,57,100,0.06,0.11,0.17,0.06,0.17,0.14,0.17,0.31,0.14,0.31
1,Che Adams,sct  SCO,FW,Southampton,26-213,1996,20,18,1560,17.3,4,2,6,4,0,0,0,0,4.6,4.6,2.5,7.1,11,23,79,0.23,0.12,0.35,0.23,0.35,0.27,0.14,0.41,0.27,0.41
2,Tyler Adams,us  USA,MF,Leeds United,23-362,1999,19,19,1706,19.0,0,0,0,0,0,0,5,1,0.0,0.0,1.3,1.4,13,111,18,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
3,Tosin Adarabioyo,eng  ENG,DF,Fulham,25-140,1997,14,12,1095,12.2,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,6,36,1,0.08,0.00,0.08,0.08,0.08,0.01,0.00,0.01,0.01,0.01
4,Nayef Aguerd,ma  MAR,DF,West Ham,26-318,1996,5,4,436,4.8,0,0,0,0,0,0,3,0,0.7,0.7,0.0,0.8,1,9,1,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16
5,Naouirou Ahamada,fr  FRA,MF,Crystal Palace,20-319,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34
6,Rayan Aït Nouri,fr  FRA,DF,Wolves,21-250,2001,16,8,868,9.6,1,0,1,1,0,0,2,0,0.7,0.7,1.0,1.7,25,36,67,0.10,0.00,0.10,0.10,0.10,0.07,0.10,0.18,0.07,0.18
7,Kristoffer Ajer,no  NOR,DF,Brentford,24-300,1998,8,8,673,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,27,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
8,Manuel Akanji,ch  SUI,DF,Manchester City,27-207,1995,15,14,1286,14.3,0,1,1,0,0,0,1,0,0.7,0.7,0.2,0.9,18,68,8,0.00,0.07,0.07,0.00,0.07,0.05,0.01,0.07,0.05,0.07
9,Nathan Aké,nl  NED,DF,Manchester City,27-358,1995,15,13,1156,12.8,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,14,94,15,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
