,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success
0,Ignazio Abate,it  ITA,DF,Milan,28,1986,27,2248,83,65.7,25.0,27,,23,0,,3,1.52,31,24,+7,+0.28,+0.36
1,Christian Abbiati,it  ITA,GK,Milan,38,1977,1,72,72,2.1,0.8,0,,0,1,,35,1.00,0,0,0,0.00,-0.16
2,Nura Abdullahi,ng  NGA,DF,Roma,17,1997,0,,,,,0,,0,0,,6,,,,,,
3,Federico Abelli,it  ITA,MF,Sassuolo,18,1997,0,,,,,0,,0,0,,3,,,,,,
4,Francesco Acerbi,it  ITA,DF,Sassuolo,27,1988,36,3240,90,94.7,36.0,36,,36,0,,0,1.67,48,38,+10,+0.28,+0.78
5,Robert Acquafresca,it  ITA,FW,Bologna,27,1987,6,208,35,6.1,2.3,2,,0,4,,20,0.00,1,8,-7,-3.03,-2.89
6,Afriyie Acquah,gh  GHA,MF,Torino,23,1992,29,1888,65,55.2,21.0,22,,12,7,,2,1.21,31,28,+3,+0.14,+0.50
7,Claud Adjapong,it  ITA,"DF,MF",Sassuolo,17,1998,2,20,10,0.6,0.2,0,,0,2,,8,0.00,0,1,-1,-4.50,-4.76
8,Ali Adnan Kadhim,iq  IRQ,"MF,DF",Udinese,21,1993,28,1904,68,55.7,21.2,21,,15,7,,8,1.21,20,31,-11,-0.52,+0.31
9,Luiz Adriano,br  BRA,FW,Milan,28,1987,26,1194,46,34.9,13.3,12,,6,14,,3,1.23,15,20,-5,-0.38,-0.82
10,Rodrigo Aguirre,uy  URU,FW,Udinese,20,1994,10,340,34,9.9,3.8,3,,0,7,,10,1.00,4,7,-3,-0.79,-0.15
11,Emmanuel Agyemang-Badu,gh  GHA,MF,Udinese,24,1990,33,2661,81,77.8,29.6,30,,25,3,,1,1.15,31,48,-17,-0.57,+0.37
12,Arlind Ajeti,al  ALB,DF,Frosinone,21,1993,16,1218,76,35.6,13.5,15,,13,1,,5,0.88,13,22,-9,-0.67,+0.64
13,Fabrizio Alastra,it  ITA,GK,Palermo,17,1997,2,144,72,4.2,1.6,1,,1,1,,24,0.00,0,6,-6,-3.75,-3.17
14,Michelangelo Albertazzi,it  ITA,DF,Hellas Verona,24,1991,10,702,70,20.5,7.8,9,,2,1,,13,1.40,9,9,0,0.00,+0.96
15,Raúl Albiol,es  ESP,DF,Napoli,29,1985,36,3240,90,94.7,36.0,36,,36,0,,0,2.11,73,31,+42,+1.17,-1.83
16,Alex,br  BRA,DF,Milan,33,1982,25,2091,84,61.1,23.2,24,,21,1,,8,1.68,30,23,+7,+0.30,+0.37
17,Allan,br  BRA,MF,Napoli,24,1991,35,2818,81,82.4,31.3,32,,23,3,,2,2.17,66,26,+40,+1.28,+0.08
18,Marcos Alonso,es  ESP,"MF,DF",Fiorentina,24,1990,31,2347,76,68.6,26.1,26,,22,5,,0,1.55,37,30,+7,+0.27,-0.65
19,Ricky Álvarez,ar  ARG,"MF,FW",Sampdoria,27,1988,13,806,62,23.6,9.0,9,,3,4,,2,0.69,9,15,-6,-0.67,-0.43
20,Amauri,it  ITA,FW,Torino,35,1980,1,9,9,0.3,0.1,0,,0,1,,13,0.00,0,0,0,0.00,+0.08
21,Felipe Anderson,br  BRA,"FW,MF",Lazio,22,1993,35,2071,59,60.6,23.0,21,,11,14,,3,1.40,33,34,-1,-0.04,-0.11
22,Ionuț Andrei Radu,ro  ROU,GK,Inter,,,1,19,19,0.6,0.2,0,,,1,,0,,,,,,
23,Marco Andreolli,it  ITA,DF,Inter,29,1986,0,,,,,0,,0,0,,1,,,,,,
24,Aníbal,pt  POR,DF,Genoa,19,1996,0,,,,,0,,0,0,,3,,,,,,
25,Silvio Anočič,hr  CRO,DF,Roma,17,1997,0,,,,,0,,0,0,,2,,,,,,
