,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Tammy Abraham,eng  ENG,FW,Roma,23,1997,34.3,17,93,32,34.4,2.71,0.93,0.15,0.44,12.2,2,3,3,20.5,18.3,0.20,-3.5,-4.3
1,Francesco Acerbi,it  ITA,DF,Lazio,33,1988,28.2,4,16,7,43.8,0.57,0.25,0.25,0.57,9.2,0,0,0,2.2,2.2,0.14,+1.8,+1.8
2,Michel Aebischer,ch  SUI,MF,Bologna,24,1997,4.9,0,2,2,100.0,0.41,0.41,0.00,0.00,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
3,Felix Afena-Gyan,gh  GHA,"FW,MF",Roma,18,2003,7.4,2,18,7,38.9,2.43,0.94,0.11,0.29,15.0,0,0,0,1.9,1.9,0.10,+0.1,+0.1
4,Kevin Agudelo,co  COL,"MF,FW",Spezia,22,1998,13.7,3,22,11,50.0,1.60,0.80,0.14,0.27,16.6,0,0,0,2.5,2.5,0.11,+0.5,+0.5
5,Ola Aina,ng  NGA,DF,Torino,24,1996,16.0,0,10,4,40.0,0.63,0.25,0.00,0.00,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
6,Marley Aké,fr  FRA,"MF,FW",Juventus,20,2001,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
7,Jean-Daniel Akpa-Akpro,ci  CIV,MF,Lazio,28,1992,3.5,0,3,0,0.0,0.86,0.00,0.00,,18.4,0,0,0,0.4,0.4,0.14,-0.4,-0.4
8,Luis Alberto,es  ESP,MF,Lazio,28,1992,26.1,5,47,16,34.0,1.80,0.61,0.11,0.31,19.8,1,0,0,3.5,3.5,0.08,+1.5,+1.5
9,Giorgio Altare,it  ITA,DF,Cagliari,22,1998,16.3,1,18,6,33.3,1.11,0.37,0.06,0.17,12.3,0,0,0,1.3,1.3,0.08,-0.3,-0.3
10,Wisdom Amey,it  ITA,DF,Bologna,15,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
11,Kelvin Amian,fr  FRA,DF,Spezia,23,1998,29.4,1,26,7,26.9,0.88,0.24,0.04,0.14,14.2,0,0,0,2.4,2.4,0.09,-1.4,-1.4
