,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2021-07-02,Fri,Copa América,Quarter-finals,Neutral,W 1–0,br  Brazil,cl  Chile,Y,GK,90,6,0,5,100.0,1,0.8,0,0,0,0,4,11,36.4,14,4,42.9,41.1,6,83.3,60.3,9,2,22.2,0,,Match Report
1,2021-07-05,Mon,Copa América,Semi-finals,Home,W 1–0,br  Brazil,pe  Peru,Y,GK,90,2,0,2,100.0,1,0.1,0,0,0,0,3,11,27.3,13,3,53.8,47.2,8,50.0,46.1,3,0,0.0,0,13.7,Match Report
2,2021-07-10,Sat,Copa América,Final,Neutral,L 0–1,br  Brazil,ar  Argentina,Y,GK,90,2,1,1,50.0,0,0.9,0,0,0,0,5,8,62.5,23,3,26.1,34.9,4,50.0,32.3,2,0,0.0,0,7.8,Match Report
3,2021-08-15,Sun,Premier League,Matchweek 1,Away,L 0–1,Manchester City,Tottenham,Y,GK,90,2,1,1,50.0,0,0.6,0,0,0,0,4,6,66.7,16,6,31.3,34.9,6,16.7,35.2,3,0,0.0,2,21.4,Match Report
4,2021-08-21,Sat,Premier League,Matchweek 2,Home,W 5–0,Manchester City,Norwich City,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,3,3,100.0,10,3,30.0,27.6,2,0.0,29.5,4,0,0.0,2,17.6,Match Report
5,2021-08-28,Sat,Premier League,Matchweek 3,Home,W 5–0,Manchester City,Arsenal,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,3,7,42.9,33,2,18.2,27.2,4,25.0,38.3,2,0,0.0,1,16.5,Match Report
6,2021-09-11,Sat,Premier League,Matchweek 4,Away,W 1–0,Manchester City,Leicester City,Y,GK,90,1,0,1,100.0,1,0.3,0,0,0,0,2,4,50.0,18,7,22.2,31.2,6,0.0,25.7,6,0,0.0,1,14.0,Match Report
7,2021-09-15,Wed,Champions Lg,Group stage,Home,W 6–3,eng  Manchester City,de  RB Leipzig,Y,GK,90,3,3,0,0.0,0,0.9,0,0,0,0,3,8,37.5,32,1,18.8,29.2,8,25.0,25.6,3,0,0.0,0,11.5,Match Report
8,2021-09-18,Sat,Premier League,Matchweek 5,Home,D 0–0,Manchester City,Southampton,Y,GK,90,2,0,2,100.0,1,0.1,0,0,0,0,4,4,100.0,34,8,8.8,21.6,5,20.0,25.0,5,0,0.0,1,18.2,Match Report
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
