,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2017-07-27,Thu,Europa Lg,Third qualifying round,Away,W 1–0,it  Milan,ro  CS U Craiova,Y,GK,90,,0,,,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
1,2017-08-03,Thu,Europa Lg,Third qualifying round,Home,W 2–0,it  Milan,ro  CS U Craiova,Y,GK,90,,0,,,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
2,2017-08-17,Thu,Europa Lg,Play-off round,Home,W 6–0,it  Milan,mk  FK Shkëndija,Y,GK,90,1,0,1,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
3,2017-08-20,Sun,Serie A,Matchweek 1,Away,W 3–0,Milan,Crotone,Y,GK,90,2,0,2,100.0,1,0.1,0,0,0,0,1,1,100.0,10,5,10.0,24.0,2,0.0,22.5,4,0,0.0,2,18.5,Match Report
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-08-27,Sun,Serie A,Matchweek 2,Home,W 2–1,Milan,Cagliari,Y,GK,90,4,1,3,75.0,0,0.6,0,0,0,0,5,11,45.5,18,4,33.3,31.7,7,71.4,45.7,9,0,0.0,2,19.4,Match Report
6,2017-09-02,Sat,WCQ — UEFA (M),First round,Away,L 0–3,it  Italy,es  Spain,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
7,2017-09-05,Tue,WCQ — UEFA (M),First round,Home,W 1–0,it  Italy,il  Israel,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
8,2017-09-10,Sun,Serie A,Matchweek 3,Away,L 1–4,Milan,Lazio,Y,GK,90,5,4,2,40.0,0,2.3,1,1,0,0,1,5,20.0,17,4,29.4,28.2,0,,,3,0,0.0,0,11.0,Match Report
9,2017-09-14,Thu,Europa Lg,Group stage,Away,W 5–1,it  Milan,at  Austria Wien,Y,GK,90,3,1,2,66.7,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
