,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Match Report
0,2015-08-01,Sat,DFL-Supercup,DFL-Supercup,Away,D 1  (4)  –1  (5),Bayern Munich,Wolfsburg,Y,GK,120,8,1,7,87.5,,0,0,0,0,Match Report
1,2015-08-09,Sun,DFB-Pokal,First round,Away,W 3–1,Bayern Munich,Nöttingen,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
2,2015-08-14,Fri,Bundesliga,Matchweek 1,Home,W 5–0,Bayern Munich,Hamburger SV,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
3,2015-08-22,Sat,Bundesliga,Matchweek 2,Away,W 2–1,Bayern Munich,Hoffenheim,Y,GK,90,0,1,0,,0,1,0,1,0,Match Report
4,2015-08-29,Sat,Bundesliga,Matchweek 3,Home,W 3–0,Bayern Munich,Leverkusen,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
5,2015-09-04,Fri,Euro Qualifying,Group stage,Home,W 3–1,de  Germany,pl  Poland,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
6,2015-09-07,Mon,Euro Qualifying,Group stage,Away,W 3–2,de  Germany,sct  Scotland,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report
7,2015-09-12,Sat,Bundesliga,Matchweek 4,Home,W 2–1,Bayern Munich,Augsburg,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
8,2015-09-16,Wed,Champions Lg,Group stage,Away,W 3–0,de  Bayern Munich,gr  Olympiacos,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
9,2015-09-19,Sat,Bundesliga,Matchweek 5,Away,W 3–0,Bayern Munich,Darmstadt 98,Y*,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
10,2015-09-22,Tue,Bundesliga,Matchweek 6,Home,W 5–1,Bayern Munich,Wolfsburg,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
11,2015-09-26,Sat,Bundesliga,Matchweek 7,Away,W 3–0,Bayern Munich,Mainz 05,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
12,2015-09-29,Tue,Champions Lg,Group stage,Home,W 5–0,de  Bayern Munich,hr  Dinamo Zagreb,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
13,2015-10-04,Sun,Bundesliga,Matchweek 8,Home,W 5–1,Bayern Munich,Dortmund,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
14,2015-10-08,Thu,Euro Qualifying,Group stage,Away,L 0–1,de  Germany,ie  Republic of Ireland,Y*,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
15,2015-10-11,Sun,Euro Qualifying,Group stage,Home,W 2–1,de  Germany,ge  Georgia,Y*,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
16,2015-10-17,Sat,Bundesliga,Matchweek 9,Away,W 1–0,Bayern Munich,Werder Bremen,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
17,2015-10-20,Tue,Champions Lg,Group stage,Away,L 0–2,de  Bayern Munich,eng  Arsenal,Y,GK,90,6,2,6,66.7,0,0,0,0,0,Match Report
18,2015-10-24,Sat,Bundesliga,Matchweek 10,Home,W 4–0,Bayern Munich,Köln,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
19,2015-10-27,Tue,DFB-Pokal,Second round,Away,W 3–1,Bayern Munich,Wolfsburg,Y,GK,90,,1,,,0,0,0,0,0,Match Report
20,2015-10-30,Fri,Bundesliga,Matchweek 11,Away,D 0–0,Bayern Munich,Eint Frankfurt,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
21,2015-11-04,Wed,Champions Lg,Group stage,Home,W 5–1,de  Bayern Munich,eng  Arsenal,Y,GK,90,1,1,1,0.0,0,0,0,0,0,Match Report
22,2015-11-07,Sat,Bundesliga,Matchweek 12,Home,W 4–0,Bayern Munich,Stuttgart,Y*,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
23,2015-11-13,Fri,Friendlies (M),Friendlies (M),Away,L 0–2,de  Germany,fr  France,Y,GK,90,,2,,,0,0,0,0,0,Match Report
24,2015-11-21,Sat,Bundesliga,Matchweek 13,Away,W 3–1,Bayern Munich,Schalke 04,Y,GK,90,1,1,0,0.0,0,0,0,0,0,Match Report
25,2015-11-24,Tue,Champions Lg,Group stage,Home,W 4–0,de  Bayern Munich,gr  Olympiacos,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
26,2015-11-28,Sat,Bundesliga,Matchweek 14,Home,W 2–0,Bayern Munich,Hertha BSC,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
27,2015-12-05,Sat,Bundesliga,Matchweek 15,Away,L 1–3,Bayern Munich,M'Gladbach,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report
28,,,,,,,,,,,,,,,,,,,,,
29,2015-12-12,Sat,Bundesliga,Matchweek 16,Home,W 2–0,Bayern Munich,Ingolstadt 04,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
30,2015-12-15,Tue,DFB-Pokal,Round of 16,Home,W 1–0,Bayern Munich,Darmstadt 98,Y,GK,90,,0,,,1,0,0,0,0,Match Report
31,2015-12-19,Sat,Bundesliga,Matchweek 17,Away,W 1–0,Bayern Munich,Hannover 96,Y*,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
32,2016-01-22,Fri,Bundesliga,Matchweek 18,Away,W 2–1,Bayern Munich,Hamburger SV,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
