,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2020-09-18,Fri,Bundesliga,Matchweek 1,Home,W 8–0,Bayern Munich,Schalke 04,Y*,GK,90,1,0,1,100.0,1,0.0,0,0,0,0,1,2,50.0,37,6,5.4,24.2,1,0.0,25.0,3,0,0.0,0,15.8,Match Report
1,2020-09-24,Thu,Super Cup,UEFA Super Cup,Neutral,W 2–1,de  Bayern Munich,es  Sevilla,Y*,GK,120,4,1,4,100.0,,,1,1,0,0,,,,,,,,,,,,,,,,Match Report
2,2020-09-27,Sun,Bundesliga,Matchweek 2,Away,L 1–4,Bayern Munich,Hoffenheim,Y*,GK,90,7,4,3,57.1,0,5.1,1,1,0,0,4,7,57.1,25,6,24.0,30.0,6,16.7,30.0,7,0,0.0,0,13.3,Match Report
3,2020-09-30,Wed,DFL-Supercup,DFL-Supercup,Home,W 3–2,Bayern Munich,Dortmund,Y*,GK,90,4,2,2,50.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
4,2020-10-04,Sun,Bundesliga,Matchweek 3,Home,W 4–3,Bayern Munich,Hertha BSC,Y*,GK,90,5,3,2,40.0,0,2.3,0,0,0,0,4,4,100.0,18,2,16.7,26.9,5,20.0,33.0,12,0,0.0,0,12.0,Match Report
5,2020-10-10,Sat,UEFA Nations League,League A,Away,W 2–1,de  Germany,ua  Ukraine,Y*,GK,90,2,1,2,100.0,0,,1,1,0,0,,,,,,,,,,,,,,,,Match Report
6,2020-10-13,Tue,UEFA Nations League,League A,Home,D 3–3,de  Germany,ch  Switzerland,Y*,GK,90,8,3,5,62.5,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
7,2020-10-17,Sat,Bundesliga,Matchweek 4,Away,W 4–1,Bayern Munich,Arminia,Y*,GK,90,5,1,4,80.0,0,1.9,0,0,0,0,8,10,80.0,37,7,27.0,31.5,4,0.0,27.0,0,0,,0,8.0,Match Report
8,2020-10-21,Wed,Champions Lg,Group stage,Home,W 4–0,de  Bayern Munich,es  Atlético Madrid,Y*,GK,90,1,0,1,100.0,1,0.0,0,0,0,0,9,14,64.3,45,8,28.9,33.7,11,9.1,27.2,10,3,30.0,0,6.5,Match Report
9,2020-10-24,Sat,Bundesliga,Matchweek 5,Home,W 5–0,Bayern Munich,Eint Frankfurt,Y*,GK,90,2,0,2,100.0,1,0.2,0,0,0,0,12,19,63.2,55,12,32.7,30.7,7,14.3,22.3,10,0,0.0,0,13.1,Match Report
10,2020-10-27,Tue,Champions Lg,Group stage,Away,W 2–1,de  Bayern Munich,ru  Loko Moscow,Y*,GK,90,6,1,5,83.3,0,2.2,0,0,0,0,6,10,60.0,31,5,32.3,33.0,5,0.0,19.0,6,1,16.7,1,23.7,Match Report
11,2020-10-31,Sat,Bundesliga,Matchweek 6,Away,W 2–1,Bayern Munich,Köln,Y*,GK,90,2,1,1,50.0,0,1.4,0,0,0,0,2,5,40.0,29,7,13.8,29.0,5,20.0,37.8,11,0,0.0,1,18.8,Match Report
12,2020-11-03,Tue,Champions Lg,Group stage,Away,W 6–2,de  Bayern Munich,at  RB Salzburg,Y*,GK,90,10,2,8,80.0,0,2.9,0,0,0,0,10,14,71.4,41,12,31.7,31.2,4,25.0,22.0,8,1,12.5,2,18.0,Match Report
13,2020-11-07,Sat,Bundesliga,Matchweek 7,Away,W 3–2,Bayern Munich,Dortmund,Y*,GK,90,5,2,3,60.0,0,2.5,0,0,0,0,14,25,56.0,50,7,42.0,37.3,8,50.0,40.0,9,0,0.0,3,14.9,Match Report
14,2020-11-14,Sat,UEFA Nations League,League A,Home,W 3–1,de  Germany,ua  Ukraine,Y*,GK,90,1,1,0,0.0,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
15,2020-11-17,Tue,UEFA Nations League,League A,Away,L 0–6,de  Germany,es  Spain,Y*,GK,90,10,6,4,40.0,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
16,2020-11-21,Sat,Bundesliga,Matchweek 8,Home,D 1–1,Bayern Munich,Werder Bremen,Y*,GK,90,4,1,3,75.0,0,1.9,0,0,0,0,6,7,85.7,16,2,25.0,30.6,4,75.0,44.0,5,0,0.0,1,18.3,Match Report
17,2020-11-25,Wed,Champions Lg,Group stage,Home,W 3–1,de  Bayern Munich,at  RB Salzburg,Y*,GK,90,11,1,10,90.9,0,1.9,0,0,0,0,7,14,50.0,38,11,26.3,32.8,9,44.4,41.8,9,0,0.0,2,21.0,Match Report
18,2020-11-28,Sat,Bundesliga,Matchweek 9,Away,W 3–1,Bayern Munich,Stuttgart,Y*,GK,90,5,1,4,80.0,0,1.6,0,0,0,0,12,19,63.2,41,6,36.6,34.1,10,40.0,35.5,9,1,11.1,0,14.3,Match Report
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020-12-05,Sat,Bundesliga,Matchweek 10,Home,D 3–3,Bayern Munich,RB Leipzig,Y*,GK,90,4,3,1,25.0,0,2.0,0,0,0,0,6,12,50.0,36,5,30.6,33.2,4,25.0,26.5,6,0,0.0,6,23.2,Match Report
21,2020-12-09,Wed,Champions Lg,Group stage,Home,W 2–0,de  Bayern Munich,ru  Loko Moscow,Y*,GK,90,3,0,3,100.0,1,0.2,0,0,0,0,2,3,66.7,23,4,13.0,27.9,1,0.0,22.0,4,0,0.0,2,23.0,Match Report
22,2020-12-12,Sat,Bundesliga,Matchweek 11,Away,D 1–1,Bayern Munich,Union Berlin,Y*,GK,90,5,1,4,80.0,0,1.8,0,0,0,0,10,14,71.4,37,6,24.3,30.3,7,71.4,45.9,8,0,0.0,2,15.9,Match Report
23,2020-12-16,Wed,Bundesliga,Matchweek 12,Home,W 2–1,Bayern Munich,Wolfsburg,Y*,GK,90,6,1,5,83.3,0,1.4,0,0,0,0,15,21,71.4,38,7,52.6,38.4,7,14.3,22.9,9,1,11.1,0,12.2,Match Report
24,2020-12-19,Sat,Bundesliga,Matchweek 13,Away,W 2–1,Bayern Munich,Leverkusen,Y*,GK,90,3,1,2,66.7,0,0.2,0,0,0,0,10,22,45.5,63,10,33.3,30.9,8,12.5,27.0,10,0,0.0,4,17.6,Match Report
25,2021-01-03,Sun,Bundesliga,Matchweek 14,Home,W 5–2,Bayern Munich,Mainz 05,Y*,GK,90,6,2,4,66.7,0,0.8,0,0,0,0,12,15,80.0,43,6,32.6,31.9,3,33.3,38.7,2,0,0.0,3,20.3,Match Report
26,2021-01-08,Fri,Bundesliga,Matchweek 15,Away,L 2–3,Bayern Munich,M'Gladbach,Y*,GK,90,4,3,1,25.0,0,2.1,0,0,0,0,8,13,61.5,45,4,28.9,30.4,3,0.0,18.3,3,0,0.0,2,18.2,Match Report
27,2021-01-13,Wed,DFB-Pokal,Second round,Away,D 2  (5)  –2  (6),Bayern Munich,Holstein Kiel,Y*,GK,120,3,2,1,33.3,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
28,2021-01-17,Sun,Bundesliga,Matchweek 16,Home,W 2–1,Bayern Munich,Freiburg,Y*,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,10,16,62.5,33,4,42.4,34.4,4,50.0,37.8,11,0,0.0,0,7.7,Match Report
29,2021-01-20,Wed,Bundesliga,Matchweek 17,Away,W 1–0,Bayern Munich,Augsburg,Y*,GK,90,0,0,0,,1,0.0,1,0,0,1,6,9,66.7,19,5,36.8,30.2,10,20.0,25.0,4,1,25.0,2,16.4,Match Report
30,2021-01-24,Sun,Bundesliga,Matchweek 18,Away,W 4–0,Bayern Munich,Schalke 04,Y*,GK,90,4,0,4,100.0,1,1.0,0,0,0,0,5,6,83.3,17,5,23.5,29.4,10,20.0,27.4,5,0,0.0,1,15.3,Match Report
31,2021-01-30,Sat,Bundesliga,Matchweek 19,Home,W 4–1,Bayern Munich,Hoffenheim,Y*,GK,90,5,1,4,80.0,0,1.9,0,0,0,0,8,11,72.7,31,4,35.5,33.9,5,0.0,25.2,8,0,0.0,0,14.5,Match Report
32,2021-02-05,Fri,Bundesliga,Matchweek 20,Away,W 1–0,Bayern Munich,Hertha BSC,Y*,GK,90,7,0,7,100.0,1,1.3,0,0,0,0,6,8,75.0,30,6,26.7,30.4,6,0.0,17.5,4,0,0.0,2,32.0,Match Report
33,2021-02-15,Mon,Bundesliga,Matchweek 21,Home,D 3–3,Bayern Munich,Arminia,Y*,GK,90,3,3,0,0.0,0,2.1,0,0,0,0,4,5,80.0,29,3,17.2,25.0,3,0.0,16.3,1,0,0.0,1,15.0,Match Report
34,2021-02-20,Sat,Bundesliga,Matchweek 22,Away,L 1–2,Bayern Munich,Eint Frankfurt,Y*,GK,90,4,2,2,50.0,0,1.5,0,0,0,0,6,13,46.2,39,8,30.8,31.5,7,14.3,27.3,8,0,0.0,1,12.3,Match Report
35,2021-02-23,Tue,Champions Lg,Round of 16,Away,W 4–1,de  Bayern Munich,it  Lazio,Y*,GK,90,5,1,4,80.0,0,2.4,0,0,0,0,6,9,66.7,45,7,17.8,28.2,5,20.0,44.6,5,0,0.0,0,19.5,Match Report
36,2021-02-27,Sat,Bundesliga,Matchweek 23,Home,W 5–1,Bayern Munich,Köln,Y*,GK,90,3,1,2,66.7,0,1.2,0,0,0,0,7,10,70.0,33,4,27.3,29.2,4,25.0,23.3,5,0,0.0,5,24.7,Match Report
37,2021-03-06,Sat,Bundesliga,Matchweek 24,Home,W 4–2,Bayern Munich,Dortmund,Y*,GK,90,3,2,1,33.3,0,0.9,0,0,0,0,3,4,75.0,27,3,14.8,25.8,1,0.0,13.0,2,0,0.0,0,11.5,Match Report
38,2021-03-13,Sat,Bundesliga,Matchweek 25,Away,W 3–1,Bayern Munich,Werder Bremen,Y*,GK,90,4,1,3,75.0,0,0.9,0,0,0,0,5,6,83.3,21,5,28.6,30.8,3,0.0,30.0,4,0,0.0,0,8.0,Match Report
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2021-03-20,Sat,Bundesliga,Matchweek 26,Home,W 4–0,Bayern Munich,Stuttgart,Y*,GK,90,5,0,5,100.0,1,0.7,0,0,0,0,9,27,33.3,45,8,55.6,42.3,6,33.3,36.3,14,1,7.1,1,20.2,Match Report
41,2021-03-25,Thu,WCQ — UEFA (M),First round,Home,W 3–0,de  Germany,is  Iceland,Y*,GK,90,2,0,2,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
42,2021-03-28,Sun,WCQ — UEFA (M),First round,Away,W 1–0,de  Germany,ro  Romania,Y*,GK,90,2,0,2,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
43,2021-04-03,Sat,Bundesliga,Matchweek 27,Away,W 1–0,Bayern Munich,RB Leipzig,Y*,GK,90,2,0,2,100.0,1,0.1,0,0,0,0,12,22,54.5,47,4,38.3,38.4,11,36.4,36.5,11,1,9.1,0,9.7,Match Report
44,2021-04-07,Wed,Champions Lg,Quarter-finals,Home,L 2–3,de  Bayern Munich,fr  Paris S-G,Y*,GK,90,4,3,1,25.0,0,1.6,0,0,0,0,3,7,42.9,27,5,25.9,27.1,2,0.0,30.0,4,3,75.0,3,23.8,Match Report
