,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA_SCA Types,PassLive_SCA Types,PassDead_SCA Types,TO_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA Types,PassLive_GCA Types,PassDead_GCA Types,TO_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Match Report
0,2022-06-03,Fri,UEFA Nations League,League A,Home,L 1–2,fr  France,dk  Denmark,Y,CM,77,,,,,,,,,,,,,,,Match Report
1,2022-06-06,Mon,UEFA Nations League,League A,Away,D 1–1,fr  France,hr  Croatia,N,,29,,,,,,,,,,,,,,,Match Report
2,2022-06-10,Fri,UEFA Nations League,League A,Away,D 1–1,fr  France,at  Austria,Y,FW,62,,,,,,,,,,,,,,,Match Report
3,2022-06-13,Mon,UEFA Nations League,League A,Home,L 0–1,fr  France,hr  Croatia,N,,11,,,,,,,,,,,,,,,Match Report
4,2022-08-15,Mon,La Liga,Matchweek 1,Away,W 3–0,Atlético Madrid,Getafe,N,CM,29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
5,2022-08-21,Sun,La Liga,Matchweek 2,Home,L 0–2,Atlético Madrid,Villarreal,N,CM,29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
6,2022-08-29,Mon,La Liga,Matchweek 3,Away,W 1–0,Atlético Madrid,Valencia,N,CM,27,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
7,2022-09-03,Sat,La Liga,Matchweek 4,Away,D 1–1,Atlético Madrid,Real Sociedad,N,CM,28,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
8,2022-09-07,Wed,Champions Lg,Group stage,Home,W 2–1,es  Atlético Madrid,pt  Porto,N,"FW,LW",30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
9,2022-09-10,Sat,La Liga,Matchweek 5,Home,W 4–1,Atlético Madrid,Celta Vigo,N,"FW,CM,RM",28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
10,2022-09-13,Tue,Champions Lg,Group stage,Away,L 0–2,es  Atlético Madrid,de  Leverkusen,N,CM,28,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
11,2022-09-18,Sun,La Liga,Matchweek 6,Home,L 1–2,Atlético Madrid,Real Madrid,Y,"FW,LM,RM",90,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Match Report
12,2022-09-22,Thu,UEFA Nations League,League A,Home,W 2–0,fr  France,at  Austria,Y,AM,77,,,,,,,,,,,,,,,Match Report
13,2022-09-25,Sun,UEFA Nations League,League A,Away,L 0–2,fr  France,dk  Denmark,Y*,AM,80,,,,,,,,,,,,,,,Match Report
