,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2018-08-12,Sun,Supercopa de España,Supercopa de España,Neutral,W 2–1,Barcelona,Sevilla,Y,GK,90,3,1,3,66.7,,,1,0,1,0,,,,,,,,,,,,,,,,Match Report
1,2018-08-18,Sat,La Liga,Matchweek 1,Home,W 3–0,Barcelona,Alavés,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,4,4,100.0,22,4,18.2,25.8,1,0.0,28.0,2,1,50.0,2,24.0,Match Report
2,2018-08-25,Sat,La Liga,Matchweek 2,Away,W 1–0,Barcelona,Valladolid,Y,GK,90,4,0,4,100.0,1,0.5,0,0,0,0,2,4,50.0,18,5,11.1,21.2,4,50.0,40.8,10,2,20.0,2,25.8,Match Report
3,2018-09-02,Sun,La Liga,Matchweek 3,Home,W 8–2,Barcelona,Huesca,Y,GK,90,4,2,2,50.0,0,1.6,0,0,0,0,0,1,0.0,20,7,5.0,21.0,2,0.0,20.0,4,1,25.0,0,10.5,Match Report
4,2018-09-06,Thu,UEFA Nations League,League A,Home,D 0–0,de  Germany,fr  France,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
5,2018-09-09,Sun,Friendlies (M),Friendlies (M),Home,W 2–1,de  Germany,pe  Peru,Y,GK,90,,1,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
6,2018-09-15,Sat,La Liga,Matchweek 4,Away,W 2–1,Barcelona,Real Sociedad,Y,GK,90,4,1,3,75.0,0,1.1,0,0,0,0,5,14,35.7,27,5,40.7,34.7,5,60.0,45.6,3,0,0.0,1,10.4,Match Report
7,2018-09-18,Tue,Champions Lg,Group stage,Home,W 4–0,es  Barcelona,nl  PSV Eindhoven,Y,GK,90,2,0,2,100.0,1,0.2,0,0,0,0,9,9,100.0,31,5,25.8,30.5,9,11.1,26.4,7,1,14.3,0,12.8,Match Report
8,2018-09-23,Sun,La Liga,Matchweek 5,Home,D 2–2,Barcelona,Girona,Y,GK,90,5,2,3,60.0,0,1.2,0,0,0,0,0,3,0.0,22,6,4.5,22.3,2,100.0,49.5,9,1,11.1,4,29.3,Match Report
9,2018-09-26,Wed,La Liga,Matchweek 6,Away,L 1–2,Barcelona,Leganés,Y,GK,90,6,2,4,66.7,0,1.6,0,0,0,0,4,6,66.7,33,9,18.2,28.4,4,0.0,30.3,6,0,0.0,1,16.0,Match Report
