,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take-Ons,Succ_Take-Ons,Match Report
0,2022-06-03,Fri,UEFA Nations League,League A,Home,L 1–2,fr  France,dk  Denmark,Y,CM,77,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,2022-06-06,Mon,UEFA Nations League,League A,Away,D 1–1,fr  France,hr  Croatia,N,,29,0,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
2,2022-06-10,Fri,UEFA Nations League,League A,Away,D 1–1,fr  France,at  Austria,Y,FW,62,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
3,2022-06-13,Mon,UEFA Nations League,League A,Home,L 0–1,fr  France,hr  Croatia,N,,11,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
4,2022-08-15,Mon,La Liga,Matchweek 1,Away,W 3–0,Atlético Madrid,Getafe,N,CM,29,1,0,0,0,2,2,0,0,19.0,1.0,0,0.0,0.2,0.2,0.1,1.0,0.0,14.0,17.0,82.4,1.0,11.0,1.0,0.0,0.0,Match Report
5,2022-08-21,Sun,La Liga,Matchweek 2,Home,L 0–2,Atlético Madrid,Villarreal,N,CM,29,0,0,0,0,1,0,0,0,27.0,0.0,1,0.0,0.1,0.1,0.0,1.0,0.0,18.0,24.0,75.0,4.0,16.0,3.0,1.0,1.0,Match Report
6,2022-08-29,Mon,La Liga,Matchweek 3,Away,W 1–0,Atlético Madrid,Valencia,N,CM,27,1,0,0,0,3,2,0,0,9.0,0.0,0,0.0,0.2,0.2,0.0,2.0,0.0,2.0,2.0,100.0,1.0,5.0,1.0,0.0,0.0,Match Report
7,2022-09-03,Sat,La Liga,Matchweek 4,Away,D 1–1,Atlético Madrid,Real Sociedad,N,CM,28,0,0,0,0,2,1,0,0,24.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,14.0,18.0,77.8,6.0,13.0,1.0,3.0,1.0,Match Report
8,2022-09-07,Wed,Champions Lg,Group stage,Home,W 2–1,es  Atlético Madrid,pt  Porto,N,"FW,LW",30,1,0,0,0,1,1,0,0,19.0,0.0,0,3.0,0.3,0.3,0.0,1.0,0.0,10.0,12.0,83.3,0.0,9.0,1.0,0.0,0.0,Match Report
9,2022-09-10,Sat,La Liga,Matchweek 5,Home,W 4–1,Atlético Madrid,Celta Vigo,N,"FW,CM,RM",28,0,0,0,0,0,0,0,0,17.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14.0,71.4,1.0,8.0,0.0,0.0,0.0,Match Report
10,2022-09-13,Tue,Champions Lg,Group stage,Away,L 0–2,es  Atlético Madrid,de  Leverkusen,N,CM,28,0,0,0,0,2,1,0,0,35.0,0.0,0,0.0,0.1,0.1,0.1,3.0,0.0,27.0,32.0,84.4,5.0,24.0,0.0,2.0,2.0,Match Report
11,2022-09-18,Sun,La Liga,Matchweek 6,Home,L 1–2,Atlético Madrid,Real Madrid,Y,"FW,LM,RM",90,0,0,0,0,1,1,0,0,76.0,0.0,2,2.0,0.1,0.1,0.1,6.0,0.0,45.0,64.0,70.3,2.0,53.0,3.0,3.0,1.0,Match Report
12,2022-09-22,Thu,UEFA Nations League,League A,Home,W 2–0,fr  France,at  Austria,Y,AM,77,0,1,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
13,2022-09-25,Sun,UEFA Nations League,League A,Away,L 0–2,fr  France,dk  Denmark,Y*,AM,80,0,0,0,0,3,3,0,0,,,1,,,,,,,,,,,,,,,Match Report
14,2022-10-01,Sat,La Liga,Matchweek 7,Away,W 2–0,Atlético Madrid,Sevilla,N,"FW,RM,LM",30,0,0,0,0,4,2,0,0,22.0,0.0,0,1.0,0.7,0.7,0.1,3.0,0.0,10.0,15.0,66.7,0.0,14.0,3.0,3.0,2.0,Match Report
15,2022-10-04,Tue,Champions Lg,Group stage,Away,L 0–2,es  Atlético Madrid,be  Club Brugge,Y,"AM,FW",90,0,0,0,1,3,1,0,0,76.0,2.0,1,0.0,1.0,0.2,0.2,6.0,0.0,52.0,67.0,77.6,8.0,61.0,2.0,0.0,0.0,Match Report
16,2022-10-08,Sat,La Liga,Matchweek 8,Home,W 2–1,Atlético Madrid,Girona,Y,LM,64,0,1,0,0,1,0,0,0,57.0,1.0,2,1.0,0.1,0.1,0.7,5.0,1.0,39.0,48.0,81.3,8.0,40.0,5.0,3.0,1.0,Match Report
17,2022-10-12,Wed,Champions Lg,Group stage,Home,D 0–0,es  Atlético Madrid,be  Club Brugge,Y,FW,78,0,0,0,0,8,5,0,0,50.0,1.0,0,0.0,0.6,0.6,0.0,5.0,0.0,26.0,37.0,70.3,2.0,36.0,1.0,1.0,1.0,Match Report
18,2022-10-15,Sat,La Liga,Matchweek 9,Away,W 1–0,Atlético Madrid,Athletic Club,Y,"FW,LM",90,1,0,0,0,2,1,0,0,47.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,29.0,39.0,74.4,2.0,37.0,0.0,3.0,3.0,Match Report
19,2022-10-18,Tue,La Liga,Matchweek 10,Home,D 1–1,Atlético Madrid,Rayo Vallecano,Y,"FW,CM",90,0,1,0,0,1,0,0,0,65.0,4.0,0,2.0,0.0,0.0,0.7,8.0,1.0,47.0,54.0,87.0,1.0,34.0,1.0,3.0,2.0,Match Report
20,2022-10-23,Sun,La Liga,Matchweek 11,Away,W 2–1,Atlético Madrid,Betis,Y,FW,75,2,0,0,0,3,2,0,0,54.0,2.0,0,3.0,0.4,0.4,0.0,1.0,0.0,34.0,43.0,79.1,6.0,38.0,3.0,3.0,1.0,Match Report
21,2022-10-26,Wed,Champions Lg,Group stage,Home,D 2–2,es  Atlético Madrid,de  Leverkusen,Y,"FW,RW",90,0,1,0,0,4,2,0,0,59.0,3.0,0,1.0,0.4,0.4,0.5,4.0,1.0,38.0,45.0,84.4,2.0,34.0,2.0,0.0,0.0,Match Report
22,2022-10-29,Sat,La Liga,Matchweek 12,Away,L 2–3,Atlético Madrid,Cádiz,N,WB,31,0,1,0,0,0,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.1,3.0,2.0,13.0,14.0,92.9,1.0,12.0,0.0,0.0,0.0,Match Report
23,2022-11-01,Tue,Champions Lg,Group stage,Away,L 1–2,es  Atlético Madrid,pt  Porto,Y,"FW,AM",90,0,0,0,0,2,1,0,0,60.0,1.0,1,1.0,0.1,0.1,0.4,2.0,0.0,37.0,52.0,71.2,9.0,28.0,2.0,1.0,1.0,Match Report
24,2022-11-06,Sun,La Liga,Matchweek 13,Home,D 1–1,Atlético Madrid,Espanyol,Y,FW,72,0,0,0,0,4,2,0,0,64.0,5.0,0,1.0,0.2,0.2,0.0,5.0,0.0,35.0,49.0,71.4,5.0,34.0,2.0,4.0,1.0,Match Report
