,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation,Pos,Age,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Ben White,eng  ENG,"DF,MF",23-165,28,28,2472.0,27.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.02,0.02,0.03,0.02,0.03,eng  ENG,"DF,MF",23-165,27.5,0,6,0,0.0,0.22,0.0,0.0,,17.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,eng  ENG,"DF,MF",23-165,27.5,1140,1370,83.2,23826,7079,375,415,90.4,569,634,89.7,186,294,63.3,0,0.5,-0.5,7,87,15,1,91,eng  ENG,"DF,MF",23-165,27.5,1370,1318,52,27,2,113,32,15,0,0,0,0,1003,115,252,102,1144,65,25,7,1140,2,31,20,19,eng  ENG,"DF,MF",23-165,27.5,23,0.84,19,0,1,0,1,2,3,0.11,3,0,0,0,0,0,0,eng  ENG,"DF,MF",23-165,27.5,45,27,21,20,4,18,54,33.3,36,310,108,34.8,139,143,28,47,16,0,31,26,71,60,0,eng  ENG,"DF,MF",23-165,27.5,1583,153,731,750,206,20,1534,18,32,56.3,23,0,1049,5248,2787,79,23,0,7,13,1123,1080,96.2,18
1,Lewis Dunk,eng  ENG,DF,29-121,26,26,2339.0,26.0,4.0,0.0,4.0,0.0,0.0,4.0,1.0,0.15,0.0,0.15,0.15,0.15,2.2,2.2,0.6,2.8,0.09,0.02,0.11,0.09,0.11,eng  ENG,DF,29-121,26.0,4,25,9,36.0,0.96,0.35,0.16,0.44,12.0,2,0,0,2.2,2.2,0.09,1.8,1.8,eng  ENG,DF,29-121,26.0,1510,1683,89.7,34795,9433,381,405,94.1,788,826,95.4,329,433,76.0,0,0.6,-0.6,7,92,0,0,60,eng  ENG,DF,29-121,26.0,1683,1623,60,50,0,106,50,1,0,0,0,0,1262,151,270,109,1419,93,10,22,1510,3,21,15,8,eng  ENG,DF,29-121,26.0,16,0.62,13,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0,eng  ENG,DF,29-121,26.0,30,17,19,9,2,10,18,55.6,8,137,55,40.1,76,54,7,31,18,1,13,20,50,99,2,eng  ENG,DF,29-121,26.0,1893,301,1118,772,101,41,1835,5,5,100.0,5,0,1219,6676,3312,69,16,0,6,2,1333,1312,98.4,11
2,Yves Bissouma,ml  MLI,MF,24-204,27,26,2302.0,25.6,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.04,0.0,0.04,0.04,0.04,0.7,0.7,0.4,1.1,0.03,0.01,0.04,0.03,0.04,ml  MLI,MF,24-204,25.6,1,26,3,11.5,1.02,0.12,0.04,0.33,25.7,1,0,0,0.7,0.7,0.03,0.3,0.3,ml  MLI,MF,24-204,25.6,1110,1279,86.8,22603,4052,381,436,87.4,517,568,91.0,192,242,79.3,0,0.4,-0.4,8,97,15,2,89,ml  MLI,MF,24-204,25.6,1279,1250,29,25,3,193,40,6,0,0,0,0,974,161,144,120,1072,44,3,11,1110,1,28,28,17,ml  MLI,MF,24-204,25.6,36,1.41,32,0,0,2,0,2,2,0.08,2,0,0,0,0,0,0,ml  MLI,MF,24-204,25.6,80,52,44,31,5,20,52,38.5,32,394,139,35.3,179,183,32,45,6,0,39,36,116,38,0,ml  MLI,MF,24-204,25.6,1562,67,419,912,340,6,1536,32,49,65.3,34,3,1070,6303,2663,101,37,0,23,21,1090,1029,94.4,20
3,Neal Maupay,fr  FRA,"FW,MF",24-220,27,24,2050.0,22.8,8.0,2.0,5.0,3.0,4.0,1.0,0.0,0.35,0.09,0.44,0.22,0.31,10.7,7.7,3.0,10.7,0.47,0.13,0.6,0.34,0.47,fr  FRA,"FW,MF",24-220,22.8,8,56,20,35.7,2.46,0.88,0.09,0.25,14.3,0,3,4,10.7,7.7,0.14,-2.7,-2.7,fr  FRA,"FW,MF",24-220,22.8,404,517,78.1,6183,1093,208,249,83.5,151,173,87.3,23,45,51.1,2,3.0,-1.0,25,28,20,2,33,fr  FRA,"FW,MF",24-220,22.8,517,473,44,4,2,130,10,8,0,0,0,0,397,66,54,89,369,21,6,15,404,1,7,25,20,fr  FRA,"FW,MF",24-220,22.8,70,3.07,45,0,10,5,8,2,8,0.35,5,0,0,1,2,0,0,fr  FRA,"FW,MF",24-220,22.8,19,13,5,9,5,1,12,8.3,11,361,119,33.0,50,142,169,15,2,0,13,10,29,8,0,fr  FRA,"FW,MF",24-220,22.8,779,12,71,332,424,146,736,18,32,56.3,19,1,525,2738,1247,70,22,12,50,54,1069,564,52.8,199
4,Leandro Trossard,be  BEL,"FW,MF",26-108,26,22,1989.0,22.1,4.0,5.0,4.0,0.0,0.0,2.0,0.0,0.18,0.23,0.41,0.18,0.41,4.2,4.2,3.8,8.0,0.19,0.17,0.36,0.19,0.36,be  BEL,"FW,MF",26-108,22.1,4,45,18,40.0,2.04,0.81,0.09,0.22,17.1,1,0,0,4.2,4.2,0.09,-0.2,-0.2,be  BEL,"FW,MF",26-108,22.1,631,852,74.1,12333,3563,265,335,79.1,256,312,82.1,97,151,64.2,5,3.8,1.2,38,64,54,14,103,be  BEL,"FW,MF",26-108,22.1,852,791,61,20,5,133,47,53,32,7,17,2,523,160,169,203,617,16,6,5,631,7,13,30,42,be  BEL,"FW,MF",26-108,22.1,79,3.57,56,9,2,6,4,2,8,0.36,6,1,0,1,0,0,0,be  BEL,"FW,MF",26-108,22.1,23,16,6,13,4,6,27,22.2,21,299,97,32.4,78,115,106,30,4,0,26,15,38,4,0,be  BEL,"FW,MF",26-108,22.1,1114,6,104,481,616,97,1057,29,50,58.0,30,2,845,4806,2378,125,35,17,40,55,1089,797,73.2,179
5,Adam Webster,eng  ENG,DF,26-077,22,22,1964.0,21.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,0.05,0.01,0.06,0.05,0.06,eng  ENG,DF,26-077,21.8,0,20,5,25.0,0.92,0.23,0.0,0.0,13.2,0,0,0,1.0,1.0,0.05,-1.0,-1.0,eng  ENG,DF,26-077,21.8,1088,1336,81.4,23757,8158,293,345,84.9,595,666,89.3,192,294,65.3,0,0.2,-0.2,6,107,6,1,87,eng  ENG,DF,26-077,21.8,1336,1291,45,23,1,173,40,2,0,0,0,0,930,130,276,301,871,94,22,1,1088,2,27,18,24,eng  ENG,DF,26-077,21.8,18,0.82,17,0,0,1,0,0,1,0.05,1,0,0,0,0,0,0,eng  ENG,DF,26-077,21.8,23,14,15,6,2,13,24,54.2,11,148,59,39.9,64,64,20,32,15,1,17,26,49,87,0,eng  ENG,DF,26-077,21.8,1535,161,788,745,170,27,1492,7,10,70.0,9,0,981,7318,4839,133,45,2,12,13,1083,1058,97.7,4
6,Joël Veltman,nl  NED,DF,29-066,23,20,1831.0,20.3,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.1,0.05,0.1,1.1,1.1,1.0,2.1,0.06,0.05,0.1,0.06,0.1,nl  NED,DF,29-066,20.3,1,12,4,33.3,0.59,0.2,0.08,0.25,15.7,0,0,0,1.1,1.1,0.1,-0.1,-0.1,nl  NED,DF,29-066,20.3,916,1192,76.8,18214,7415,333,384,86.7,454,564,80.5,124,220,56.4,1,1.0,0.0,17,84,32,13,103,nl  NED,DF,29-066,20.3,1192,1003,189,14,2,110,19,48,1,0,0,0,645,229,318,208,706,76,173,0,916,4,29,28,30,nl  NED,DF,29-066,20.3,35,1.72,26,4,0,2,1,2,1,0.05,1,0,0,0,0,0,0,nl  NED,DF,29-066,20.3,66,35,40,19,7,25,49,51.0,24,255,80,31.4,122,94,39,31,4,0,27,25,91,68,0,nl  NED,DF,29-066,20.3,1416,83,460,642,397,32,1234,16,25,64.0,18,1,795,3997,2028,88,30,5,7,13,878,813,92.6,34
7,Solly March,eng  ENG,DF,26-245,21,19,1672.0,18.6,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.11,0.05,0.16,0.11,0.16,1.7,1.7,1.7,3.4,0.09,0.09,0.18,0.09,0.18,eng  ENG,DF,26-245,18.6,2,22,4,18.2,1.18,0.22,0.09,0.5,17.3,1,0,0,1.7,1.7,0.08,0.3,0.3,eng  ENG,DF,26-245,18.6,681,975,69.8,12847,4328,319,374,85.3,261,350,74.6,94,205,45.9,1,1.7,-0.7,27,39,34,13,77,eng  ENG,DF,26-245,18.6,975,780,195,21,0,124,47,71,39,14,19,0,501,177,297,731,59,31,135,5,681,5,13,20,50,eng  ENG,DF,26-245,18.6,52,2.8,39,7,4,2,0,0,3,0.16,2,1,0,0,0,0,0,eng  ENG,DF,26-245,18.6,56,35,29,18,9,15,33,45.5,18,240,71,29.6,86,84,70,50,6,0,44,19,75,16,0,eng  ENG,DF,26-245,18.6,1197,49,274,468,548,59,1012,35,54,64.8,37,4,754,4959,2728,140,35,19,17,26,801,670,83.6,67
8,Pascal Groß,de  GER,MF,29-280,25,18,1698.0,18.9,2.0,6.0,0.0,2.0,3.0,1.0,0.0,0.11,0.32,0.42,0.0,0.32,4.4,2.2,4.6,6.8,0.24,0.24,0.48,0.11,0.36,de  GER,MF,29-280,18.9,2,23,4,17.4,1.22,0.21,0.0,0.0,19.8,4,2,3,4.4,2.2,0.09,-2.4,-2.2,de  GER,MF,29-280,18.9,874,1159,75.4,17973,5087,345,413,83.5,357,427,83.6,162,290,55.9,6,4.6,1.4,52,67,38,14,97,de  GER,MF,29-280,18.9,1159,998,161,48,2,145,70,74,91,31,44,1,729,124,306,209,876,41,19,3,874,4,26,19,20,de  GER,MF,29-280,18.9,77,4.08,47,28,0,1,1,0,7,0.37,5,2,0,0,0,0,0,de  GER,MF,29-280,18.9,27,19,14,11,2,11,27,40.7,16,254,71,28.0,78,121,55,20,5,0,15,16,43,17,0,de  GER,MF,29-280,18.9,1314,22,227,634,530,57,1151,9,18,50.0,9,0,816,3877,1735,101,34,7,21,13,1037,896,86.4,88
9,Robert Sánchez,es  ESP,GK,23-124,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es  ESP,GK,23-124,18.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,es  ESP,GK,23-124,18.0,483,697,69.3,15059,8667,78,79,98.7,229,231,99.1,176,386,45.6,0,0.0,0.0,0,18,0,0,0,es  ESP,GK,23-124,18.0,697,552,145,27,0,27,32,0,0,0,0,0,347,29,321,79,487,1,0,81,483,4,20,2,1,es  ESP,GK,23-124,18.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,es  ESP,GK,23-124,18.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,es  ESP,GK,23-124,18.0,733,627,728,5,0,0,590,0,0,,0,0,415,1990,1095,0,0,0,0,1,415,412,99.3,0
