,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Match Report
0,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 6–1,Atlético Madrid,Granada,Y,RM,76,36.0,1.0,4.0,17.0,17.0,3.0,36.0,2.0,2.0,100.0,2.0,0.0,30.0,82.0,57.0,3.0,1.0,0.0,2.0,1.0,30.0,26.0,86.7,8.0,Match Report
1,2020-09-30,Wed,La Liga,Matchweek 4,Away,D 0–0,Atlético Madrid,Huesca,N,RM,45,24.0,0.0,1.0,7.0,17.0,7.0,24.0,0.0,1.0,0.0,1.0,0.0,21.0,32.0,18.0,2.0,0.0,2.0,2.0,3.0,28.0,22.0,78.6,6.0,Match Report
2,2020-10-03,Sat,La Liga,Matchweek 5,Home,D 0–0,Atlético Madrid,Villarreal,Y,RM,69,33.0,0.0,2.0,11.0,24.0,2.0,30.0,3.0,5.0,60.0,3.0,0.0,31.0,108.0,69.0,7.0,4.0,1.0,0.0,2.0,29.0,24.0,82.8,5.0,Match Report
3,2020-10-17,Sat,La Liga,Matchweek 6,Away,W 2–0,Atlético Madrid,Celta Vigo,Y,RM,76,41.0,0.0,7.0,22.0,12.0,3.0,41.0,2.0,2.0,100.0,2.0,0.0,28.0,130.0,35.0,3.0,0.0,2.0,1.0,3.0,35.0,30.0,85.7,5.0,Match Report
4,2020-10-21,Wed,Champions Lg,Group stage,Away,L 0–4,es  Atlético Madrid,de  Bayern Munich,N,FW,15,9.0,0.0,0.0,0.0,9.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,7.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,77.8,4.0,Match Report
5,2020-10-24,Sat,La Liga,Matchweek 7,Home,W 2–0,Atlético Madrid,Betis,Y,RM,56,28.0,1.0,6.0,13.0,11.0,3.0,28.0,0.0,0.0,,0.0,0.0,18.0,46.0,33.0,3.0,1.0,1.0,0.0,5.0,26.0,21.0,80.8,6.0,Match Report
6,2020-10-27,Tue,Champions Lg,Group stage,Home,W 3–2,es  Atlético Madrid,at  RB Salzburg,Y,RM,90,49.0,4.0,8.0,20.0,24.0,5.0,49.0,3.0,5.0,60.0,3.0,0.0,38.0,133.0,64.0,3.0,2.0,0.0,0.0,3.0,46.0,31.0,67.4,9.0,Match Report
7,2020-10-31,Sat,La Liga,Matchweek 8,Away,W 3–1,Atlético Madrid,Osasuna,Y,FW,85,56.0,2.0,12.0,23.0,24.0,8.0,56.0,3.0,7.0,42.9,3.0,0.0,42.0,116.0,42.0,2.0,1.0,1.0,3.0,1.0,53.0,39.0,73.6,13.0,Match Report
8,2020-11-03,Tue,Champions Lg,Group stage,Away,D 1–1,es  Atlético Madrid,ru  Loko Moscow,Y,AM,68,37.0,0.0,4.0,11.0,25.0,6.0,37.0,1.0,1.0,100.0,1.0,0.0,26.0,124.0,75.0,6.0,1.0,1.0,0.0,2.0,39.0,31.0,79.5,11.0,Match Report
9,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 4–0,Atlético Madrid,Cádiz,N,"FW,RW",36,35.0,1.0,7.0,15.0,17.0,3.0,35.0,0.0,1.0,0.0,0.0,0.0,21.0,156.0,121.0,5.0,3.0,1.0,0.0,1.0,35.0,31.0,88.6,9.0,Match Report
10,2020-11-21,Sat,La Liga,Matchweek 10,Home,W 1–0,Atlético Madrid,Barcelona,Y,FW,83,41.0,1.0,7.0,14.0,22.0,3.0,39.0,1.0,2.0,50.0,1.0,0.0,28.0,108.0,63.0,5.0,1.0,1.0,2.0,3.0,43.0,28.0,65.1,7.0,Match Report
11,2020-11-25,Wed,Champions Lg,Group stage,Home,D 0–0,es  Atlético Madrid,ru  Loko Moscow,Y,FW,90,44.0,0.0,0.0,11.0,35.0,19.0,43.0,3.0,4.0,75.0,4.0,0.0,31.0,151.0,83.0,4.0,2.0,1.0,2.0,2.0,48.0,31.0,64.6,16.0,Match Report
12,2020-11-28,Sat,La Liga,Matchweek 11,Away,W 1–0,Atlético Madrid,Valencia,Y,FW,64,43.0,0.0,2.0,11.0,31.0,9.0,39.0,0.0,1.0,0.0,0.0,0.0,34.0,83.0,33.0,1.0,0.0,1.0,3.0,1.0,43.0,32.0,74.4,12.0,Match Report
13,2020-12-01,Tue,Champions Lg,Group stage,Home,D 1–1,es  Atlético Madrid,de  Bayern Munich,Y,FW,79,39.0,2.0,5.0,18.0,17.0,10.0,39.0,3.0,4.0,75.0,3.0,1.0,25.0,95.0,40.0,2.0,0.0,2.0,1.0,3.0,44.0,30.0,68.2,8.0,Match Report
14,2020-12-05,Sat,La Liga,Matchweek 12,Home,W 2–0,Atlético Madrid,Valladolid,Y,FW,56,31.0,0.0,2.0,17.0,13.0,4.0,30.0,1.0,3.0,33.3,2.0,1.0,27.0,106.0,53.0,3.0,0.0,2.0,1.0,0.0,39.0,28.0,71.8,9.0,Match Report
15,2020-12-09,Wed,Champions Lg,Group stage,Away,W 2–0,es  Atlético Madrid,at  RB Salzburg,N,FW,27,16.0,0.0,3.0,7.0,7.0,1.0,16.0,1.0,2.0,50.0,1.0,0.0,13.0,36.0,18.0,1.0,1.0,0.0,1.0,1.0,27.0,13.0,48.1,4.0,Match Report
16,2020-12-12,Sat,La Liga,Matchweek 13,Away,L 0–2,Atlético Madrid,Real Madrid,N,"FW,LM",45,17.0,1.0,1.0,11.0,5.0,1.0,16.0,1.0,1.0,100.0,1.0,0.0,14.0,42.0,10.0,0.0,0.0,0.0,2.0,1.0,22.0,15.0,68.2,4.0,Match Report
17,2020-12-16,Wed,Copa del Rey,First round,Away,W 3–0,Atlético Madrid,CE Cardassar,Y,FW,83,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
18,2020-12-19,Sat,La Liga,Matchweek 14,Home,W 3–1,Atlético Madrid,Elche,N,RM,25,8.0,1.0,2.0,4.0,3.0,1.0,8.0,0.0,0.0,,0.0,0.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,66.7,1.0,Match Report
19,2020-12-22,Tue,La Liga,Matchweek 15,Away,W 2–0,Atlético Madrid,Real Sociedad,Y,RW,58,27.0,0.0,7.0,12.0,11.0,3.0,26.0,1.0,3.0,33.3,1.0,1.0,20.0,63.0,20.0,2.0,2.0,0.0,1.0,2.0,31.0,19.0,61.3,3.0,Match Report
20,2020-12-30,Wed,La Liga,Matchweek 16,Home,W 1–0,Atlético Madrid,Getafe,N,FW,20,14.0,0.0,1.0,5.0,9.0,2.0,14.0,4.0,4.0,100.0,4.0,1.0,13.0,57.0,28.0,3.0,1.0,0.0,0.0,0.0,23.0,11.0,47.8,4.0,Match Report
21,2021-01-03,Sun,La Liga,Matchweek 17,Away,W 2–1,Atlético Madrid,Alavés,Y,FW,61,32.0,0.0,2.0,21.0,9.0,3.0,32.0,1.0,1.0,100.0,1.0,0.0,22.0,49.0,18.0,1.0,0.0,0.0,2.0,2.0,25.0,16.0,64.0,2.0,Match Report
22,2021-01-06,Wed,Copa del Rey,Second round,Away,L 0–1,Atlético Madrid,Cornellà,Y,FW,90,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
23,2021-01-12,Tue,La Liga,Matchweek 1,Home,W 2–0,Atlético Madrid,Sevilla,Y,FW,65,20.0,3.0,5.0,8.0,8.0,3.0,20.0,1.0,2.0,50.0,1.0,0.0,15.0,39.0,22.0,3.0,1.0,1.0,0.0,1.0,17.0,13.0,76.5,2.0,Match Report
24,2021-01-21,Thu,La Liga,Matchweek 19,Away,W 2–1,Atlético Madrid,Eibar,Y,FW,45,20.0,0.0,1.0,11.0,9.0,4.0,18.0,0.0,0.0,,0.0,0.0,10.0,12.0,1.0,0.0,0.0,0.0,1.0,3.0,29.0,12.0,41.4,6.0,Match Report
25,2021-01-24,Sun,La Liga,Matchweek 20,Home,W 3–1,Atlético Madrid,Valencia,N,"RW,FW",29,19.0,0.0,2.0,7.0,10.0,6.0,19.0,0.0,2.0,0.0,0.0,0.0,10.0,20.0,16.0,2.0,0.0,0.0,0.0,0.0,21.0,14.0,66.7,5.0,Match Report
26,2021-01-31,Sun,La Liga,Matchweek 21,Away,W 4–2,Atlético Madrid,Cádiz,N,FW,31,14.0,0.0,4.0,8.0,5.0,1.0,14.0,3.0,3.0,100.0,3.0,0.0,15.0,68.0,48.0,3.0,2.0,0.0,0.0,2.0,19.0,11.0,57.9,3.0,Match Report
27,2021-02-08,Mon,La Liga,Matchweek 22,Home,D 2–2,Atlético Madrid,Celta Vigo,Y,FW,90,43.0,0.0,7.0,20.0,18.0,5.0,40.0,4.0,6.0,66.7,4.0,0.0,37.0,126.0,84.0,4.0,1.0,1.0,5.0,2.0,49.0,29.0,59.2,8.0,Match Report
28,2021-02-13,Sat,La Liga,Matchweek 23,Away,W 2–1,Atlético Madrid,Granada,Y,"FW,RW",90,55.0,1.0,12.0,23.0,23.0,9.0,54.0,2.0,5.0,40.0,2.0,0.0,44.0,136.0,82.0,5.0,1.0,2.0,3.0,5.0,44.0,36.0,81.8,9.0,Match Report
29,2021-02-17,Wed,La Liga,Matchweek 2,Away,D 1–1,Atlético Madrid,Levante,Y,"FW,AM",80,62.0,0.0,3.0,23.0,40.0,7.0,59.0,1.0,6.0,16.7,2.0,0.0,50.0,160.0,91.0,6.0,3.0,1.0,2.0,2.0,60.0,43.0,71.7,13.0,Match Report
30,2021-02-20,Sat,La Liga,Matchweek 24,Home,L 0–2,Atlético Madrid,Levante,Y,"AM,RM",60,33.0,0.0,7.0,15.0,17.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,21.0,118.0,39.0,2.0,1.0,0.0,1.0,0.0,36.0,26.0,72.2,2.0,Match Report
31,2021-02-23,Tue,Champions Lg,Round of 16,Home,L 0–1,es  Atlético Madrid,eng  Chelsea,Y,RW,81,49.0,1.0,8.0,18.0,25.0,4.0,47.0,0.0,0.0,,0.0,0.0,26.0,49.0,24.0,2.0,0.0,0.0,2.0,3.0,36.0,33.0,91.7,6.0,Match Report
32,2021-02-28,Sun,La Liga,Matchweek 25,Away,W 2–0,Atlético Madrid,Villarreal,Y,"FW,RM",82,32.0,2.0,7.0,17.0,11.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,23.0,123.0,90.0,3.0,2.0,0.0,1.0,1.0,32.0,19.0,59.4,1.0,Match Report
33,2021-03-07,Sun,La Liga,Matchweek 26,Home,D 1–1,Atlético Madrid,Real Madrid,Y,RM,81,47.0,1.0,9.0,25.0,15.0,4.0,47.0,1.0,2.0,50.0,1.0,1.0,38.0,187.0,97.0,5.0,0.0,0.0,1.0,3.0,38.0,31.0,81.6,5.0,Match Report
34,2021-03-10,Wed,La Liga,Matchweek 18,Home,W 2–1,Atlético Madrid,Athletic Club,N,"FW,RW",24,13.0,0.0,2.0,4.0,9.0,1.0,13.0,1.0,1.0,100.0,1.0,0.0,11.0,57.0,36.0,3.0,1.0,0.0,1.0,0.0,18.0,9.0,50.0,2.0,Match Report
35,2021-03-13,Sat,La Liga,Matchweek 27,Away,D 0–0,Atlético Madrid,Getafe,Y,RM,63,33.0,0.0,2.0,12.0,20.0,2.0,33.0,1.0,1.0,100.0,1.0,0.0,33.0,93.0,40.0,1.0,1.0,0.0,3.0,2.0,36.0,28.0,77.8,5.0,Match Report
36,2021-03-17,Wed,Champions Lg,Round of 16,Away,L 0–2,es  Atlético Madrid,eng  Chelsea,N,AM,32,30.0,0.0,5.0,17.0,9.0,2.0,29.0,1.0,1.0,100.0,1.0,0.0,25.0,80.0,40.0,2.0,0.0,1.0,1.0,2.0,32.0,26.0,81.3,5.0,Match Report
37,2021-03-21,Sun,La Liga,Matchweek 28,Home,W 1–0,Atlético Madrid,Alavés,Y,FW,73,36.0,0.0,1.0,17.0,19.0,5.0,35.0,2.0,3.0,66.7,2.0,0.0,25.0,130.0,45.0,3.0,1.0,0.0,2.0,2.0,34.0,24.0,70.6,10.0,Match Report
38,2021-04-04,Sun,La Liga,Matchweek 29,Away,L 0–1,Atlético Madrid,Sevilla,N,FW,57,41.0,0.0,4.0,15.0,23.0,5.0,40.0,0.0,1.0,0.0,0.0,0.0,26.0,60.0,34.0,2.0,0.0,0.0,1.0,2.0,46.0,28.0,60.9,6.0,Match Report
39,2021-04-11,Sun,La Liga,Matchweek 30,Away,D 1–1,Atlético Madrid,Betis,Y,FW,90,38.0,3.0,7.0,16.0,15.0,9.0,37.0,2.0,2.0,100.0,2.0,1.0,25.0,39.0,26.0,0.0,0.0,0.0,2.0,5.0,40.0,26.0,65.0,13.0,Match Report
40,2021-04-18,Sun,La Liga,Matchweek 33,Home,W 5–0,Atlético Madrid,Eibar,Y,FW,60,17.0,0.0,0.0,8.0,10.0,8.0,17.0,1.0,2.0,50.0,1.0,0.0,14.0,69.0,55.0,2.0,1.0,1.0,2.0,0.0,15.0,12.0,80.0,4.0,Match Report
41,2021-04-22,Thu,La Liga,Matchweek 31,Home,W 2–0,Atlético Madrid,Huesca,Y,"FW,AM",83,41.0,0.0,2.0,25.0,16.0,5.0,41.0,2.0,4.0,50.0,2.0,0.0,35.0,96.0,53.0,2.0,0.0,0.0,5.0,0.0,52.0,37.0,71.2,11.0,Match Report
42,2021-04-25,Sun,La Liga,Matchweek 32,Away,L 1–2,Atlético Madrid,Athletic Club,Y,"FW,RM",64,30.0,0.0,4.0,10.0,17.0,9.0,28.0,2.0,2.0,100.0,2.0,0.0,23.0,75.0,46.0,2.0,1.0,1.0,0.0,1.0,31.0,20.0,64.5,5.0,Match Report
43,2021-05-01,Sat,La Liga,Matchweek 34,Away,W 1–0,Atlético Madrid,Elche,Y,AM,64,30.0,0.0,3.0,14.0,15.0,4.0,29.0,1.0,2.0,50.0,1.0,0.0,25.0,80.0,44.0,4.0,2.0,0.0,1.0,1.0,35.0,22.0,62.9,12.0,Match Report
44,,,,,,26-10-8,,,32/44,,2741,1363.0,25.0,178.0,583.0,676.0,190.0,1330.0,55.0,97.0,56.7,59.0,6.0,1027.0,3565.0,1904.0,112.0,38.0,24.0,57.0,73.0,1404.0,990.0,70.5,279.0,
