,Player,Nation_x,Pos_x,Age_x,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Samir Handanović,si  SVN,GK,36-297,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,si  SVN,GK,36-297,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,si  SVN,GK,36-297,34.0,874,1025,85.3,22067,11685,180,181,99.4,468,472,99.2,223,367,60.8,0,0.0,0.0,0,2,0,0,0,si  SVN,GK,36-297,34.0,1025,808,217,46,0,103,9,0,0,0,0,0,689,65,271,87,784,1,0,141,874,2,14,6,3,si  SVN,GK,36-297,34.0,3,0.09,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0,si  SVN,GK,36-297,34.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,0,0,0,2,si  SVN,GK,36-297,34.0,1073,1010,1070,4,0,0,858,0,0,,0,0,582,2429,1404,0,0,0,0,0,638,636,99.7,0,si  SVN,GK,36-297,34.0,1,0,0,0,3,0,0,0,0,0,0,1,102,0,0,
1,Nicolò Barella,it  ITA,MF,24-089,33,30,2686.0,29.8,3.0,6.0,3.0,0.0,0.0,5.0,0.0,0.1,0.2,0.3,0.1,0.3,2.5,2.5,5.3,7.8,0.08,0.18,0.26,0.08,0.26,it  ITA,MF,24-089,29.8,3,33,9,27.3,1.11,0.3,0.09,0.33,20.4,0,0,0,2.5,2.5,0.08,0.5,0.5,it  ITA,MF,24-089,29.8,1459,1765,82.7,25136,8551,712,788,90.4,566,663,85.4,150,236,63.6,6,5.3,0.7,46,143,67,11,206,it  ITA,MF,24-089,29.8,1765,1729,36,17,5,300,36,47,2,2,0,0,1281,247,237,238,1449,30,17,4,1459,6,21,37,56,it  ITA,MF,24-089,29.8,88,2.95,79,1,3,2,2,1,9,0.3,9,0,0,0,0,0,0,it  ITA,MF,24-089,29.8,56,38,23,26,7,16,58,27.6,42,531,145,27.3,146,249,136,42,7,0,35,30,86,10,0,it  ITA,MF,24-089,29.8,2052,40,354,1127,747,57,2020,36,51,70.6,39,0,1556,8624,4456,192,81,14,37,38,1720,1555,90.4,138,it  ITA,MF,24-089,29.8,5,0,0,43,50,2,47,30,38,0,1,0,291,33,24,57.9
2,Romelu Lukaku,be  BEL,FW,27-359,33,30,2670.0,29.7,21.0,10.0,16.0,5.0,5.0,4.0,0.0,0.71,0.34,1.04,0.54,0.88,20.4,16.6,7.4,24.0,0.69,0.25,0.94,0.56,0.81,be  BEL,FW,27-359,29.7,21,85,40,47.1,2.87,1.35,0.19,0.4,13.7,1,5,5,20.4,16.6,0.2,0.6,-0.6,be  BEL,FW,27-359,29.7,529,727,72.8,7085,1527,335,406,82.5,119,181,65.7,32,51,62.7,10,7.4,2.6,48,32,37,3,67,be  BEL,FW,27-359,29.7,727,678,49,1,5,256,16,22,0,0,0,0,506,139,82,409,239,33,2,21,529,6,9,27,39,be  BEL,FW,27-359,29.7,106,3.57,82,0,12,10,2,0,21,0.71,17,0,2,2,0,0,0,be  BEL,FW,27-359,29.7,9,4,1,5,3,3,10,30.0,7,273,76,27.8,10,91,172,17,5,0,12,2,11,28,0,be  BEL,FW,27-359,29.7,1096,31,56,476,634,225,1042,34,62,54.8,36,2,781,3668,2277,116,45,40,77,59,1482,887,59.9,373,be  BEL,FW,27-359,29.7,4,0,0,29,45,18,22,2,4,0,0,0,76,37,58,38.9
3,Alessandro Bastoni,it  ITA,DF,22-024,30,30,2663.0,29.6,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,0.0,0.1,1.3,1.3,1.8,3.1,0.04,0.06,0.1,0.04,0.1,it  ITA,DF,22-024,29.6,0,11,2,18.2,0.37,0.07,0.0,0.0,9.9,0,0,0,1.3,1.3,0.12,-1.3,-1.3,it  ITA,DF,22-024,29.6,1863,2083,89.4,37598,10289,654,689,94.9,879,939,93.6,296,401,73.8,3,1.8,1.2,11,153,16,3,119,it  ITA,DF,22-024,29.6,2083,1982,101,52,2,209,55,15,0,0,0,0,1576,221,286,1708,257,51,29,7,1863,9,18,34,32,it  ITA,DF,22-024,29.6,31,1.05,26,0,0,2,2,1,4,0.14,4,0,0,0,0,0,0,it  ITA,DF,22-024,29.6,43,26,17,23,3,16,27,59.3,11,282,84,29.8,134,118,30,43,18,0,25,32,75,78,1,it  ITA,DF,22-024,29.6,2312,270,900,1289,302,18,2215,7,10,70.0,8,0,1622,9203,5835,200,59,1,9,10,1787,1756,98.3,16,it  ITA,DF,22-024,29.6,5,0,0,36,25,0,15,32,26,0,0,0,241,58,32,64.4
4,Stefan de Vrij,nl  NED,DF,29-091,31,29,2644.0,29.4,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.03,0.0,0.03,0.03,0.03,1.4,1.4,0.4,1.8,0.05,0.01,0.06,0.05,0.06,nl  NED,DF,29-091,29.4,1,11,4,36.4,0.37,0.14,0.09,0.25,8.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,nl  NED,DF,29-091,29.4,1758,1861,94.5,39520,8680,366,388,94.3,1075,1108,97.0,313,354,88.4,0,0.4,-0.4,6,77,4,1,69,nl  NED,DF,29-091,29.4,1861,1820,41,36,2,132,33,2,0,0,0,0,1596,131,134,239,1502,69,2,5,1758,1,12,10,4,nl  NED,DF,29-091,29.4,14,0.48,13,0,0,0,0,1,2,0.07,2,0,0,0,0,0,0,nl  NED,DF,29-091,29.4,31,16,21,9,1,8,15,53.3,7,219,71,32.4,124,87,8,33,18,0,15,39,70,124,0,nl  NED,DF,29-091,29.4,2097,256,1119,1092,41,15,2058,6,6,100.0,6,0,1402,9126,5156,116,6,0,1,3,1575,1558,98.9,2,nl  NED,DF,29-091,29.4,2,0,0,20,9,0,2,39,16,0,0,0,244,86,39,68.8
5,Milan Škriniar,sk  SVK,DF,26-085,30,29,2597.0,28.9,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,1.7,1.7,0.4,2.1,0.06,0.01,0.07,0.06,0.07,sk  SVK,DF,26-085,28.9,3,14,6,42.9,0.49,0.21,0.21,0.5,7.9,0,0,0,1.7,1.7,0.12,1.3,1.3,sk  SVK,DF,26-085,28.9,1878,2033,92.4,36399,10615,675,708,95.3,997,1051,94.9,195,248,78.6,0,0.4,-0.4,4,120,12,2,116,sk  SVK,DF,26-085,28.9,2033,1957,76,56,0,162,28,3,0,0,0,0,1728,160,145,250,1667,68,19,9,1878,1,13,36,15,sk  SVK,DF,26-085,28.9,19,0.66,15,0,0,3,1,0,0,0.0,0,0,0,0,0,0,0,sk  SVK,DF,26-085,28.9,53,27,34,15,4,19,33,57.6,14,230,81,35.2,141,64,25,44,16,0,28,26,79,85,2,sk  SVK,DF,26-085,28.9,2274,243,1055,1145,223,24,2208,6,9,66.7,6,1,1595,7585,3888,130,41,0,14,10,1763,1726,97.9,13,sk  SVK,DF,26-085,28.9,1,0,0,34,28,0,3,26,27,0,0,0,248,37,34,52.1
6,Marcelo Brozović,hr  CRO,MF,28-172,30,27,2367.0,26.3,1.0,6.0,1.0,0.0,0.0,7.0,0.0,0.04,0.23,0.27,0.04,0.27,1.6,1.6,4.3,5.9,0.06,0.16,0.22,0.06,0.22,hr  CRO,MF,28-172,26.3,1,26,5,19.2,0.99,0.19,0.04,0.2,22.2,1,0,0,1.6,1.6,0.06,-0.6,-0.6,hr  CRO,MF,28-172,26.3,1834,2091,87.7,38186,10801,624,680,91.8,857,933,91.9,337,431,78.2,6,4.3,1.7,42,219,40,10,193,hr  CRO,MF,28-172,26.3,2091,1958,133,71,4,266,104,25,57,12,25,4,1497,285,309,296,1708,56,5,5,1834,2,17,31,35,hr  CRO,MF,28-172,26.3,81,3.08,58,19,1,1,0,2,10,0.38,8,2,0,0,0,0,0,hr  CRO,MF,28-172,26.3,49,34,20,22,7,11,50,22.0,39,487,143,29.4,172,229,86,43,14,1,29,39,88,43,0,hr  CRO,MF,28-172,26.3,2321,118,581,1383,516,11,2193,9,13,69.2,9,1,1612,8422,3730,143,41,2,17,20,1791,1735,96.9,38,hr  CRO,MF,28-172,26.3,7,0,0,29,13,0,25,39,34,0,0,0,252,28,29,49.1
7,Lautaro Martínez,ar  ARG,FW,23-258,34,27,2302.0,25.6,15.0,5.0,15.0,0.0,0.0,3.0,0.0,0.59,0.2,0.78,0.59,0.78,13.7,13.7,4.3,18.0,0.54,0.17,0.7,0.54,0.7,ar  ARG,FW,23-258,25.6,15,102,35,34.3,3.99,1.37,0.15,0.43,13.8,0,0,0,13.7,13.7,0.13,1.3,1.3,ar  ARG,FW,23-258,25.6,374,522,71.6,6006,1457,208,270,77.0,98,133,73.7,38,56,67.9,5,4.3,0.7,29,30,21,1,54,ar  ARG,FW,23-258,25.6,522,509,13,1,1,154,21,16,0,0,0,0,334,120,68,81,386,21,4,11,374,0,5,28,24,ar  ARG,FW,23-258,25.6,68,2.66,46,0,4,6,8,4,11,0.43,7,0,0,1,2,1,0,ar  ARG,FW,23-258,25.6,20,15,5,6,9,5,18,27.8,13,444,115,25.9,55,176,213,40,6,0,34,26,46,12,0,ar  ARG,FW,23-258,25.6,932,12,78,377,530,197,920,33,67,49.3,38,1,605,2473,1486,75,24,29,78,53,1090,675,61.9,251,ar  ARG,FW,23-258,25.6,3,0,0,55,51,11,16,26,15,2,0,0,120,30,57,34.5
8,Achraf Hakimi,ma  MAR,DF,22-184,33,26,2397.0,26.6,7.0,6.0,7.0,0.0,0.0,6.0,0.0,0.26,0.23,0.49,0.26,0.49,4.2,4.2,6.1,10.3,0.16,0.23,0.39,0.16,0.39,ma  MAR,DF,22-184,26.6,7,33,14,42.4,1.24,0.53,0.21,0.5,15.9,2,0,0,4.2,4.2,0.13,2.8,2.8,ma  MAR,DF,22-184,26.6,1140,1387,82.2,18016,6122,630,714,88.2,393,457,86.0,86,133,64.7,6,6.1,-0.1,34,57,44,19,114,ma  MAR,DF,22-184,26.6,1387,1186,201,12,0,139,33,96,2,0,1,0,965,290,132,165,1006,24,187,0,1140,1,16,45,58,ma  MAR,DF,22-184,26.6,67,2.52,54,4,2,0,7,0,15,0.56,13,0,0,0,2,0,0,ma  MAR,DF,22-184,26.6,45,25,24,14,7,21,48,43.8,27,457,134,29.3,168,148,141,39,1,0,38,19,64,27,0,ma  MAR,DF,22-184,26.6,1667,43,335,645,784,126,1471,33,60,55.0,36,7,1124,5961,3944,202,46,32,42,29,1343,1160,86.4,148,ma  MAR,DF,22-184,26.6,6,0,0,29,30,8,96,19,25,1,0,0,148,13,26,33.3
9,Ivan Perišić,hr  CRO,"DF,FW",32-094,29,19,1658.0,18.4,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.16,0.16,0.33,0.16,0.33,4.3,4.3,4.1,8.4,0.23,0.22,0.46,0.23,0.46,hr  CRO,"DF,FW",32-094,18.4,3,32,9,28.1,1.74,0.49,0.09,0.33,12.1,0,0,0,4.3,4.3,0.13,-1.3,-1.3,hr  CRO,"DF,FW",32-094,18.4,542,753,72.0,9983,2866,256,303,84.5,217,285,76.1,67,130,51.5,3,4.1,-1.1,29,26,29,15,49,hr  CRO,"DF,FW",32-094,18.4,753,633,120,7,1,85,23,70,5,1,2,0,397,167,189,262,319,45,107,4,542,0,20,27,37,hr  CRO,"DF,FW",32-094,18.4,46,2.5,39,1,3,2,1,0,8,0.43,6,1,0,1,0,0,0,hr  CRO,"DF,FW",32-094,18.4,19,11,10,6,3,13,31,41.9,18,209,67,32.1,62,75,72,43,4,0,39,17,36,33,0,hr  CRO,"DF,FW",32-094,18.4,929,50,196,351,426,90,809,6,14,42.9,6,0,499,3147,1852,100,15,25,21,12,693,566,81.7,71,hr  CRO,"DF,FW",32-094,18.4,3,0,0,12,2,7,70,17,11,0,0,0,128,33,14,70.2
10,Christian Eriksen,dk  DEN,MF,29-082,23,15,1206.0,13.4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,1.5,1.5,2.4,3.9,0.11,0.18,0.29,0.11,0.29,dk  DEN,MF,29-082,13.4,2,26,8,30.8,1.94,0.6,0.08,0.25,21.6,4,0,0,1.5,1.5,0.06,0.5,0.5,dk  DEN,MF,29-082,13.4,728,893,81.5,13638,3994,310,339,91.4,312,349,89.4,89,174,51.1,0,2.4,-2.4,28,68,20,3,66,dk  DEN,MF,29-082,13.4,893,792,101,27,0,122,38,25,72,26,28,7,623,86,184,184,678,19,1,3,728,2,8,16,17,dk  DEN,MF,29-082,13.4,49,3.66,28,18,0,3,0,0,2,0.15,2,0,0,0,0,0,0,dk  DEN,MF,29-082,13.4,11,8,8,1,2,5,19,26.3,14,156,46,29.5,41,69,46,18,1,0,17,8,19,13,0,dk  DEN,MF,29-082,13.4,1010,23,199,501,385,27,907,10,13,76.9,10,2,678,3137,1635,81,30,2,19,18,788,727,92.3,38,dk  DEN,MF,29-082,13.4,1,0,0,12,3,1,25,8,8,0,0,0,118,12,5,70.6
11,Ashley Young,eng  ENG,DF,35-302,23,14,1231.0,13.7,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.22,0.22,0.0,0.22,0.9,0.7,2.0,2.8,0.06,0.15,0.21,0.05,0.2,eng  ENG,DF,35-302,13.7,0,13,4,30.8,0.95,0.29,0.0,0.0,17.0,0,0,0,0.9,0.7,0.06,-0.9,-0.7,eng  ENG,DF,35-302,13.7,478,592,80.7,8213,2682,223,236,94.5,207,255,81.2,43,71,60.6,3,2.0,1.0,25,24,26,9,46,eng  ENG,DF,35-302,13.7,592,490,102,9,0,80,13,32,11,6,1,0,362,132,98,106,380,21,82,2,478,2,7,15,22,eng  ENG,DF,35-302,13.7,35,2.56,27,6,1,0,1,0,3,0.22,3,0,0,0,0,0,0,eng  ENG,DF,35-302,13.7,20,8,8,7,5,5,11,45.5,6,112,24,21.4,45,37,30,17,0,0,17,6,26,23,0,eng  ENG,DF,35-302,13.7,694,32,189,251,280,31,597,4,11,36.4,4,0,427,1742,992,51,9,5,9,5,508,450,88.6,41,eng  ENG,DF,35-302,13.7,4,0,0,11,13,3,32,6,8,0,1,0,74,5,6,45.5
