,Season,Age,Squad,Country,Comp,LgRank,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,2015-2016,16,Milan,it  ITA,1.  Serie A,7th,29.2,,,,,,,,,,,,,,,0,,,,,,,
1,2016-2017,17,Milan,it  ITA,1.  Serie A,6th,38.0,,,,,,,,,,,,,,,0,,,,,,,
2,2017-2018,18,Milan,it  ITA,1.  Serie A,6th,38.0,851,1086,78.4,24026,14184,151,155,97.4,397,405,98.0,299,522,57.3,0,0.0,0.0,1,5,0,0,0
3,2018-2019,19,Milan,it  ITA,1.  Serie A,5th,34.4,958,1161,82.5,26613,16507,161,163,98.8,483,492,98.2,312,504,61.9,0,0.0,0.0,2,4,0,0,0
4,2019-2020,20,Milan,it  ITA,1.  Serie A,6th,35.6,873,1142,76.4,25477,15806,175,176,99.4,367,370,99.2,328,591,55.5,0,0.0,0.0,0,4,0,0,1
5,2020-2021,21,Milan,it  ITA,1.  Serie A,2nd,37.0,977,1245,78.5,26019,15413,220,222,99.1,439,441,99.5,317,580,54.7,0,0.0,0.0,0,7,0,0,1
6,2021-2022,22,Paris S-G,fr  FRA,1.  Ligue 1,1st,7.0,173,185,93.5,3567,1832,55,55,100.0,85,87,97.7,31,41,75.6,0,0.0,0.0,0,0,0,0,0
7,8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,219.1,3832,4819,79.5,105702,63742,762,771,98.8,1771,1795,98.7,1287,2238,57.5,0,0.1,-0.1,3,20,0,0,2
8,,,,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
9,Milan (7 Seasons),Milan (7 Seasons),Milan (7 Seasons),,1 League,,212.1,3659,4634,79.0,102135,61910,707,716,98.7,1686,1708,98.7,1256,2197,57.2,0,0.1,-0.1,3,20,0,0,2
10,Paris S-G (1 Season),Paris S-G (1 Season),Paris S-G (1 Season),,1 League,,7.0,173,185,93.5,3567,1832,55,55,100.0,85,87,97.7,31,41,75.6,0,0.0,0.0,0,0,0,0,0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Serie A (7 Seasons),Serie A (7 Seasons),Serie A (7 Seasons),,,,212.1,3659,4634,79.0,102135,61910,707,716,98.7,1686,1708,98.7,1256,2197,57.2,0,0.1,-0.1,3,20,0,0,2
13,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,7.0,173,185,93.5,3567,1832,55,55,100.0,85,87,97.7,31,41,75.6,0,0.0,0.0,0,0,0,0,0
