,Season,Age,Squad,Country,Comp,LgRank,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,2011-2012,18,União de Leiria,pt  POR,1.  Primeira Liga,16th,16,16,1440,16.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
1,2012-2013,19,Rio Ave,pt  POR,1.  Primeira Liga,6th,28,28,2501,27.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
2,2013-2014,20,Benfica,pt  POR,1.  Primeira Liga,1st,16,15,1351,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
3,2014-2015,21,Atlético Madrid,es  ESP,1.  La Liga,3rd,11,11,990,11.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
4,2015-2016,22,Atlético Madrid,es  ESP,1.  La Liga,3rd,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
5,2016-2017,23,Atlético Madrid,es  ESP,1.  La Liga,3rd,30,30,2650,29.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
6,2017-2018,24,Atlético Madrid,es  ESP,1.  La Liga,2nd,37,37,3330,37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
7,2018-2019,25,Atlético Madrid,es  ESP,1.  La Liga,2nd,37,37,3330,37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
8,2019-2020,26,Atlético Madrid,es  ESP,1.  La Liga,3rd,38,38,3395,37.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
9,2020-2021,27,Atlético Madrid,es  ESP,1.  La Liga,1st,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
10,2021-2022,28,Atlético Madrid,es  ESP,1.  La Liga,2nd,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
11,11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,303,302,27087,301.0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
12,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
13,Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),,1 League,,243,243,21795,242.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
14,Rio Ave (1 Season),Rio Ave (1 Season),Rio Ave (1 Season),,1 League,,28,28,2501,27.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
15,Benfica (1 Season),Benfica (1 Season),Benfica (1 Season),,1 League,,16,15,1351,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
16,União de Leiria (1 Season),União de Leiria (1 Season),União de Leiria (1 Season),,1 League,,16,16,1440,16.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,243,243,21795,242.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
19,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,60,59,5292,58.8,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
