,Season,Age,Squad,Country,Comp,LgRank,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,2011-2012,18,União de Leiria,pt  POR,1.  Primeira Liga,16th,16.0,,,,,,,,,,,,,,,,,,,,,,,
1,2012-2013,19,Rio Ave,pt  POR,1.  Primeira Liga,6th,27.8,,,,,,,,,,,,,,,,,,,,,,,
2,2013-2014,20,Benfica,pt  POR,1.  Primeira Liga,1st,15.0,,,,,,,,,,,,,,,,,,,,,,,
3,2014-2015,21,Atlético Madrid,es  ESP,1.  La Liga,3rd,11.0,,,,,,,,,,,,,,,,,,,,,,,
4,2015-2016,22,Atlético Madrid,es  ESP,1.  La Liga,3rd,38.0,,,,,,,,,,,,,,,,,,,,,,,
5,2016-2017,23,Atlético Madrid,es  ESP,1.  La Liga,3rd,29.5,,0,,,,,,,,,,,,,,,,,,1,,,
6,2017-2018,24,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,2,2
7,2018-2019,25,Atlético Madrid,es  ESP,1.  La Liga,2nd,37.0,0,0,0,0,0,0,0,,0,3,0,0.0,3,0,0,0,0,0,0,0,0,0,1
8,2019-2020,26,Atlético Madrid,es  ESP,1.  La Liga,3rd,37.7,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
9,2020-2021,27,Atlético Madrid,es  ESP,1.  La Liga,1st,38.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,2,1
10,2021-2022,28,Atlético Madrid,es  ESP,1.  La Liga,2nd,14.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0
11,11 Seasons,11 Seasons,4 Clubs,,2 Leagues,,301.0,0,0,0,0,0,0,1,0.0,1,7,0,0.0,7,0,0,0,0,0,0,1,0,5,4
12,,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
13,Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),Atlético Madrid (8 Seasons),,1 League,,242.2,0,0,0,0,0,0,1,0.0,1,7,0,0.0,7,0,0,0,0,0,0,1,0,5,4
14,Rio Ave (1 Season),Rio Ave (1 Season),Rio Ave (1 Season),,1 League,,27.8,,,,,,,,,,,,,,,,,,,,,0,,
15,Benfica (1 Season),Benfica (1 Season),Benfica (1 Season),,1 League,,15.0,,,,,,,,,,,,,,,,,,,,,0,,
16,União de Leiria (1 Season),União de Leiria (1 Season),União de Leiria (1 Season),,1 League,,16.0,,,,,,,,,,,,,,,,,,,,,0,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,242.2,0,0,0,0,0,0,1,0.0,1,7,0,0.0,7,0,0,0,0,0,0,1,0,5,4
19,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,58.8,,,,,,,,,,,,,,,,,,,,,0,,
