,Season,Age,Squad,Country,Comp,LgRank,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,2010-2011,18,M'Gladbach,de  GER,1.  Bundesliga,16th,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1,2011-2012,19,M'Gladbach,de  GER,1.  Bundesliga,4th,34.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2012-2013,20,M'Gladbach,de  GER,1.  Bundesliga,8th,33.8,,,,,,,,,,,,,,,,,,,,,,,,
3,2013-2014,21,M'Gladbach,de  GER,1.  Bundesliga,6th,34.0,,,,,,,,,,,,,,,,,,,,,,,,
4,2015-2016,23,Barcelona,es  ESP,1.  La Liga,1st,6.0,,,,,,,,,,,,,,,,,,,,,,,,
5,2016-2017,24,Barcelona,es  ESP,1.  La Liga,2nd,36.0,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-2018,25,Barcelona,es  ESP,1.  La Liga,1st,37.0,1174,1059,1170,4,1,1,1049,1,1,100.0,1,0,769,3381,1804,0,0,0,0,0,689,686,99.6,1
7,2018-2019,26,Barcelona,es  ESP,1.  La Liga,1st,35.0,1119,1012,1114,7,0,0,890,1,1,100.0,1,0,681,2733,1516,0,0,0,0,0,579,573,99.0,0
8,2019-2020,27,Barcelona,es  ESP,1.  La Liga,2nd,36.0,1493,1259,1485,10,0,0,1237,0,0,,0,0,929,4103,2550,0,0,0,0,0,909,906,99.7,0
9,2020-2021,28,Barcelona,es  ESP,1.  La Liga,3rd,31.0,1091,968,1086,5,1,1,899,0,1,0.0,1,0,645,2407,1379,0,0,0,0,0,638,635,99.5,0
10,2021-2022,29,Barcelona,es  ESP,1.  La Liga,7th,12.0,477,407,472,5,0,0,373,0,0,,0,0,261,949,498,0,0,0,0,0,280,280,100.0,0
11,12 Seasons,12 Seasons,2 Clubs,,2 Leagues,,300.9,5354,4705,5327,31,2,2,4448,2,3,66.7,3,0,3285,13573,7747,0,0,0,0,0,3095,3080,99.5,1
12,,,,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
13,Barcelona (8 Seasons),Barcelona (8 Seasons),Barcelona (8 Seasons),,1 League,,193.0,5354,4705,5327,31,2,2,4448,2,3,66.7,3,0,3285,13573,7747,0,0,0,0,0,3095,3080,99.5,1
14,M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),,1 League,,107.8,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,193.0,5354,4705,5327,31,2,2,4448,2,3,66.7,3,0,3285,13573,7747,0,0,0,0,0,3095,3080,99.5,1
17,Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,,,,,,,,,,,,,,,,,,,,,,,,
