,Season,Age,Squad,Country,Comp,LgRank,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,2010-2011,18,M'Gladbach,de  GER,1.  Bundesliga,16th,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
1,2011-2012,19,M'Gladbach,de  GER,1.  Bundesliga,4th,34,34,3060,34.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
2,2012-2013,20,M'Gladbach,de  GER,1.  Bundesliga,8th,34,34,3046,33.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
3,2013-2014,21,M'Gladbach,de  GER,1.  Bundesliga,6th,34,34,3060,34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
4,2014-2015,22,Barcelona,es  ESP,1.  La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,
5,2015-2016,23,Barcelona,es  ESP,1.  La Liga,1st,7,6,543,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
6,2016-2017,24,Barcelona,es  ESP,1.  La Liga,2nd,36,36,3240,36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
7,2017-2018,25,Barcelona,es  ESP,1.  La Liga,1st,37,37,3330,37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
8,2018-2019,26,Barcelona,es  ESP,1.  La Liga,1st,35,35,3150,35.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
9,2019-2020,27,Barcelona,es  ESP,1.  La Liga,2nd,36,36,3240,36.0,0,2,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.7,0.7,0.00,0.02,0.02,0.00,0.02
10,2020-2021,28,Barcelona,es  ESP,1.  La Liga,3rd,31,31,2790,31.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00
11,2021-2022,29,Barcelona,es  ESP,1.  La Liga,7th,12,12,1080,12.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
12,12 Seasons,12 Seasons,2 Clubs,,2 Leagues,,302,301,27079,300.9,0,2,0,0,0,8,0,0.00,0.01,0.01,0.00,0.01,0.1,0.1,0.7,0.8,0.00,0.00,0.01,0.00,0.01
13,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
14,Barcelona (8 Seasons),Barcelona (8 Seasons),Barcelona (8 Seasons),,1 League,,194,193,17373,193.0,0,2,0,0,0,5,0,0.00,0.01,0.01,0.00,0.01,0.1,0.1,0.7,0.8,0.00,0.00,0.01,0.00,0.01
15,M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),,1 League,,108,108,9706,107.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,194,193,17373,193.0,0,2,0,0,0,5,0,0.00,0.01,0.01,0.00,0.01,0.1,0.1,0.7,0.8,0.00,0.00,0.01,0.00,0.01
18,Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,108,108,9706,107.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
