,Season,Age,Squad,Country,Comp,LgRank,90s,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,2010-2011,18,M'Gladbach,de  GER,1.  Bundesliga,16th,6.0,0,,0,,,0.00,,,,,0,0,,,,,
1,2011-2012,19,M'Gladbach,de  GER,1.  Bundesliga,4th,34.0,0,,0,,,0.00,,,,,0,0,,,,,
2,2012-2013,20,M'Gladbach,de  GER,1.  Bundesliga,8th,33.8,0,,0,,,0.00,,,,,0,0,,,,,
3,2013-2014,21,M'Gladbach,de  GER,1.  Bundesliga,6th,34.0,0,,0,,,0.00,,,,,0,0,,,,,
4,2015-2016,23,Barcelona,es  ESP,1.  La Liga,1st,6.0,0,,0,,,0.00,,,,,0,0,,,,,
5,2016-2017,24,Barcelona,es  ESP,1.  La Liga,2nd,36.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,
6,2017-2018,25,Barcelona,es  ESP,1.  La Liga,1st,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
7,2018-2019,26,Barcelona,es  ESP,1.  La Liga,1st,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
8,2019-2020,27,Barcelona,es  ESP,1.  La Liga,2nd,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
9,2020-2021,28,Barcelona,es  ESP,1.  La Liga,3rd,31.0,0,1,0,0.0,0.03,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
10,2021-2022,29,Barcelona,es  ESP,1.  La Liga,7th,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
11,12 Seasons,12 Seasons,2 Clubs,,2 Leagues,,300.9,0,1,0,0.0,0.01,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
12,,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
13,Barcelona (8 Seasons),Barcelona (8 Seasons),Barcelona (8 Seasons),,1 League,,193.0,0,1,0,0.0,0.01,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
14,M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),M'Gladbach (4 Seasons),,1 League,,107.8,0,,0,,,0.00,,,,,0,0,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,La Liga (8 Seasons),La Liga (8 Seasons),La Liga (8 Seasons),,,,193.0,0,1,0,0.0,0.01,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
17,Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,107.8,0,,0,,,0.00,,,,,0,0,,,,,
