,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-16,22:00,Segunda División,Matchweek 1,Mon,Away,W,3,1,Cartagena,46.0,4770,José Carlos Lazo,4-3-3,Aitor Gorostegui,Match Report,
1,2021-08-20,22:00,Segunda División,Matchweek 2,Fri,Home,W,2,1,Oviedo,60.0,4100,José Carlos Lazo,4-3-3,Francisco Hernández,Match Report,
2,2021-08-29,17:00,Segunda División,Matchweek 3,Sun,Away,L,1,2,SD Amorebieta,50.0,592,José Carlos Lazo,4-3-3,Víctor García Verdura,Match Report,
3,2021-09-04,21:00,Segunda División,Matchweek 4,Sat,Home,W,2,0,Málaga,42.0,6353,César de la Hoz,4-3-3,Jon González,Match Report,
4,2021-09-12,18:15,Segunda División,Matchweek 5,Sun,Away,L,0,1,Ponferradina,59.0,3935,José Carlos Lazo,4-2-3-1,Dámaso Arcediano,Match Report,
5,2021-09-17,21:00,Segunda División,Matchweek 6,Fri,Away,W,4,0,Alcorcón,46.0,1559,César de la Hoz,4-3-3,Raúl González,Match Report,
6,2021-09-24,21:00,Segunda División,Matchweek 7,Fri,Home,W,3,1,Tenerife,64.0,7074,César de la Hoz,4-3-3,Rubén Ávalos,Match Report,
7,2021-10-04,21:00,Segunda División,Matchweek 8,Mon,Away,W,2,1,Girona,50.0,4904,César de la Hoz,4-3-3,Juan Pulido,Match Report,
8,2021-10-09,18:15,Segunda División,Matchweek 9,Sat,Home,D,1,1,Las Palmas,40.0,8734,César de la Hoz,4-1-4-1,Saúl Ais,Match Report,
9,2021-10-15,21:00,Segunda División,Matchweek 10,Fri,Away,L,0,1,Eibar,60.0,3630,César de la Hoz,4-2-3-1,José López,Match Report,
10,2021-10-21,18:45,Segunda División,Matchweek 11,Thu,Home,W,3,1,Real Sociedad B,51.0,7697,César de la Hoz,4-2-3-1,Javier Villanueva,Match Report,
11,2021-10-24,14:00,Segunda División,Matchweek 12,Sun,Away,W,4,1,CD Mirandés,45.0,2365,César de la Hoz,4-2-3-1,Jon González,Match Report,
