,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Roger Martí,9.0,es  ESP,FW,29-345,67,0,0,0,0,0,0,1,0.0,1,18,0,0.0,4,11,3,1,1,0,0,0,0,0,0
1,José Luis Morales,11.0,es  ESP,FW,33-143,23,2,1,0,2,0,0,0,,0,6,2,33.3,0,5,1,0,0,0,0,1,3,0,0
2,Dani Gómez,21.0,es  ESP,FW,22-136,90,1,1,0,1,0,0,0,,0,13,2,15.4,5,4,4,0,0,0,0,0,1,1,0
3,Gonzalo Melero,22.0,es  ESP,LM,26-346,81,0,0,0,0,0,0,2,0.0,2,15,2,13.3,7,7,1,1,0,0,1,1,1,1,0
4,Sergio León,7.0,es  ESP,LM,31-342,9,0,0,0,0,0,0,1,0.0,1,3,2,66.7,0,1,2,0,0,0,0,0,0,0,0
5,Jorge de Frutos,18.0,es  ESP,RM,23-297,81,4,4,1,2,1,2,3,66.7,1,23,10,43.5,12,4,7,1,0,0,1,0,4,1,0
6,Son,2.0,es  ESP,RM,26-258,9,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,1,1,0,0
7,Mickael Malsa,12.0,mq  MTQ,DM,25-062,90,3,1,2,1,0,1,1,100.0,0,18,5,27.8,10,7,1,2,1,0,1,6,9,4,0
8,Nikola Vukčević,17.0,me  MNE,DM,29-000,67,0,0,0,0,0,0,0,,0,10,1,10.0,4,6,0,1,1,0,0,1,1,2,0
9,Nemanja Radoja,5.0,rs  SRB,DM,27-311,23,0,0,0,0,0,0,0,,0,3,1,33.3,2,1,0,1,0,0,1,0,0,1,0
10,Carlos Clerc,19.0,es  ESP,LB,28-296,90,3,2,2,1,0,0,0,,0,13,5,38.5,5,7,1,2,0,0,2,2,5,2,0
11,Rúben Vezo,14.0,pt  POR,CB,26-232,90,2,0,2,0,0,0,0,,0,11,1,9.1,8,3,0,0,0,0,0,1,3,3,0
12,Sergio Postigo,15.0,es  ESP,CB,32-039,90,1,1,1,0,0,0,1,0.0,1,11,1,9.1,9,2,0,0,0,0,0,3,4,10,0
13,Coke,23.0,es  ESP,RB,33-231,67,4,3,3,1,0,2,2,100.0,0,8,2,25.0,2,3,3,3,0,0,3,0,4,1,0
14,Jorge Miramón,20.0,es  ESP,RB,31-194,23,1,0,1,0,0,1,1,100.0,0,5,2,40.0,2,2,1,0,0,0,0,2,3,2,0
15,Aitor Fernández,13.0,es  ESP,GK,29-224,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
16,16 Players,,,,,990,21,13,12,8,1,6,12,50.0,6,159,36,22.6,70,64,25,12,3,0,9,18,39,29,0
