,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,"RW,FW",33-172,90,0,0,0,0,5,0,3,0,0,0,0,0,4,1,0,100.0
1,Martin Braithwaite,9.0,dk  DEN,"LW,FW",29-191,90,1,0,0,2,2,1,1,0,1,0,0,0,4,2,1,66.7
2,Antoine Griezmann,7.0,fr  FRA,"RW,AM",29-267,88,0,0,0,0,1,1,5,1,0,0,0,0,6,1,0,100.0
3,Samuel Umtiti,23.0,fr  FRA,CB,27-029,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
4,Philippe Coutinho,14.0,br  BRA,"AM,LW",28-184,69,0,0,0,0,2,0,2,0,0,0,0,0,3,0,2,0.0
5,Francisco Trincão,17.0,pt  POR,LW,20-350,21,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,
6,Frenkie de Jong,21.0,nl  NED,CM,23-215,90,1,0,0,2,4,0,0,1,0,0,0,0,4,0,1,0.0
7,Sergio Busquets,5.0,es  ESP,CM,32-150,57,0,0,0,0,1,0,0,1,1,0,0,0,9,1,1,50.0
8,Pedri,16.0,es  ESP,CM,18-018,33,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,100.0
9,Jordi Alba,18.0,es  ESP,LB,31-267,90,0,0,0,0,1,0,5,1,3,0,0,0,16,0,1,0.0
10,Clément Lenglet,15.0,fr  FRA,CB,25-179,90,0,0,0,0,2,1,0,1,2,0,0,0,14,3,0,100.0
11,Ronald Araújo,4.0,uy  URU,CB,21-281,90,0,0,0,1,0,0,0,2,0,0,0,0,3,1,0,100.0
12,Sergiño Dest,2.0,us  USA,RB,20-040,90,0,0,0,0,1,0,4,1,0,0,0,0,9,0,0,
13,Marc-André ter Stegen,1.0,de  GER,GK,28-227,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
14,14 Players,,,,,990,2,0,0,6,19,4,22,8,8,0,0,0,83,10,6,62.5
