,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Roger Martí,9.0,es  ESP,FW,29-345,67,23,0,5,13,5,0,22,0,1,0.0,0,0,10,64,25,2,0,0,0,0,28,18,64.3,4
1,José Luis Morales,11.0,es  ESP,FW,33-143,23,19,0,1,8,12,1,16,1,3,33.3,1,1,14,79,50,1,2,1,0,2,13,10,76.9,2
2,Dani Gómez,21.0,es  ESP,FW,22-136,90,34,1,3,21,15,1,34,0,2,0.0,0,0,25,173,103,6,3,0,4,0,47,27,57.4,7
3,Gonzalo Melero,22.0,es  ESP,LM,26-346,81,36,3,5,21,12,1,35,0,1,0.0,0,0,23,118,57,3,1,0,0,0,37,30,81.1,6
4,Sergio León,7.0,es  ESP,LM,31-342,9,8,0,0,5,3,0,8,0,0,,0,0,3,1,0,0,0,0,2,0,11,7,63.6,2
5,Jorge de Frutos,18.0,es  ESP,RM,23-297,81,32,3,8,14,12,3,30,0,1,0.0,0,0,16,106,81,3,0,0,3,0,32,21,65.6,6
6,Son,2.0,es  ESP,RM,26-258,9,15,1,1,6,9,2,15,1,1,100.0,1,0,12,64,30,1,0,0,1,0,11,10,90.9,3
7,Mickael Malsa,12.0,mq  MTQ,DM,25-062,90,65,9,30,33,6,0,65,0,0,,0,0,46,261,116,2,2,0,0,2,42,40,95.2,1
8,Nikola Vukčević,17.0,me  MNE,DM,29-000,67,25,4,13,13,0,0,24,0,0,,0,0,16,82,22,1,0,0,0,0,18,16,88.9,0
9,Nemanja Radoja,5.0,rs  SRB,DM,27-311,23,10,0,2,7,1,0,10,0,0,,0,0,5,13,2,0,0,0,0,0,5,5,100.0,0
10,Carlos Clerc,19.0,es  ESP,LB,28-296,90,44,5,18,20,10,0,38,0,1,0.0,1,0,21,162,101,4,1,0,0,0,31,28,90.3,2
11,Rúben Vezo,14.0,pt  POR,CB,26-232,90,44,14,32,12,0,0,43,0,0,,0,0,25,110,40,0,0,0,0,0,32,32,100.0,0
12,Sergio Postigo,15.0,es  ESP,CB,32-039,90,58,21,41,21,0,0,57,0,0,,0,0,32,202,135,1,0,0,0,0,41,38,92.7,0
13,Coke,23.0,es  ESP,RB,33-231,67,35,5,13,20,2,0,33,1,1,100.0,1,0,16,81,43,3,0,0,0,0,25,21,84.0,0
14,Jorge Miramón,20.0,es  ESP,RB,31-194,23,18,5,11,6,1,0,16,1,1,100.0,1,0,8,26,11,0,0,0,0,0,8,8,100.0,1
15,Aitor Fernández,13.0,es  ESP,GK,29-224,90,50,46,50,1,0,0,35,0,0,,0,0,14,56,46,0,0,0,0,0,14,14,100.0,0
16,16 Players,,,,,990,516,117,233,221,88,8,481,4,12,33.3,5,1,286,1598,862,27,9,1,10,4,395,325,82.3,34
