,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,FW,33-175,90,62,71,87.3,1020,398,35,37,94.6,18,20,90.0,7,10,70.0,0,0.1,2,9,6,0,12
1,Martin Braithwaite,9.0,dk  DEN,LW,29-194,90,28,32,87.5,425,48,18,20,90.0,8,9,88.9,2,3,66.7,0,0.0,0,1,0,0,0
2,Antoine Griezmann,7.0,fr  FRA,RW,29-270,65,26,32,81.3,386,94,18,23,78.3,5,6,83.3,2,2,100.0,0,0.0,1,4,1,0,2
3,Francisco Trincão,17.0,pt  POR,RW,20-353,25,8,11,72.7,89,27,5,7,71.4,2,2,100.0,0,0,,0,0.0,0,0,0,0,0
4,Pedri,16.0,es  ESP,AM,18-021,73,30,38,78.9,410,90,21,24,87.5,5,8,62.5,2,3,66.7,0,0.5,2,1,2,0,3
5,Miralem Pjanić,8.0,ba  BIH,"DM,AM",30-258,17,9,10,90.0,116,47,6,6,100.0,3,4,75.0,0,0,,0,0.0,0,1,0,0,0
6,Frenkie de Jong,21.0,nl  NED,"DM,CM",23-218,90,49,58,84.5,789,248,26,30,86.7,18,19,94.7,4,7,57.1,0,0.4,2,7,3,0,6
7,Sergio Busquets,5.0,es  ESP,DM,32-153,66,38,42,90.5,621,240,17,20,85.0,18,19,94.7,2,2,100.0,0,0.1,1,4,1,0,8
8,Carles Aleñá,6.0,es  ESP,"CM,DM",22-346,24,9,12,75.0,149,32,3,5,60.0,3,4,75.0,1,1,100.0,0,0.0,0,0,0,0,1
9,Jordi Alba,18.0,es  ESP,LB,31-270,90,63,76,82.9,992,385,38,42,90.5,18,22,81.8,5,8,62.5,0,0.9,2,3,3,1,5
10,Óscar Mingueza,28.0,es  ESP,CB,21-217,78,39,43,90.7,636,184,19,20,95.0,18,18,100.0,2,3,66.7,0,0.0,0,1,0,0,1
11,Clément Lenglet,15.0,fr  FRA,CB,25-182,12,5,6,83.3,105,10,2,2,100.0,2,2,100.0,1,2,50.0,0,0.0,0,0,0,0,0
12,Ronald Araújo,4.0,uy  URU,CB,21-284,90,24,31,77.4,525,81,8,9,88.9,10,12,83.3,6,9,66.7,0,0.0,0,1,0,0,0
13,Sergiño Dest,2.0,us  USA,RB,20-043,90,30,37,81.1,396,126,17,20,85.0,8,10,80.0,2,2,100.0,0,0.0,1,0,2,1,1
14,Marc-André ter Stegen,1.0,de  GER,GK,28-230,90,27,37,73.0,1074,833,2,2,100.0,7,7,100.0,18,28,64.3,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,447,536,83.4,7733,2843,235,267,88.0,143,162,88.3,54,80,67.5,0,2.0,11,32,18,2,39
