,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Rafa Mir,9.0,es  ESP,"FW,RW",23-199,90,12,11,1,0,0,7,0,1,0,0,0,0,9,1,2,1,10,0,0,0,7,0,0,0,2
1,Javier Ontiveros,15.0,es  ESP,LW,23-116,90,45,44,1,0,0,10,2,0,0,0,0,0,35,6,4,4,39,1,1,0,41,0,0,0,1
2,Sergio Gómez,10.0,es  ESP,RW,20-121,71,19,17,2,0,0,3,0,2,2,1,0,1,11,3,5,15,3,1,0,0,11,0,0,1,1
3,Shinji Okazaki,12.0,jp  JPN,"FW,RW",34-262,19,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4,Jaime Seoane,20.0,es  ESP,CM,23-347,71,21,21,0,0,0,3,1,0,0,0,0,0,17,3,1,5,15,0,0,1,13,0,1,1,3
5,David Ferreiro,7.0,es  ESP,"RB,CM",32-277,19,8,7,1,1,0,1,0,1,0,0,0,0,5,0,3,0,8,0,0,0,5,0,0,0,0
6,Pedro Mosquera,5.0,es  ESP,CM,32-257,90,49,46,3,3,0,9,4,0,0,0,0,0,34,4,11,44,4,1,0,0,43,0,0,1,0
7,Mikel Rico,17.0,es  ESP,DM,36-060,64,21,20,1,0,0,3,0,0,0,0,0,0,19,1,1,1,20,0,0,0,19,0,0,0,1
8,Idrissa Doumbia,2.0,ci  CIV,DM,22-264,26,11,11,0,0,0,3,0,0,0,0,0,0,10,0,1,4,7,0,0,0,10,0,0,0,0
9,Javi Galán,11.0,es  ESP,LB,26-045,90,59,52,7,1,0,6,2,2,0,0,0,0,38,6,15,45,7,1,6,0,48,1,2,0,4
10,Dimitris Siovas,18.0,gr  GRE,CB,32-109,90,41,37,4,4,0,4,1,0,0,0,0,0,30,3,8,37,3,1,0,0,35,0,1,0,0
11,Pablo Insua,4.0,es  ESP,CB,27-116,90,22,22,0,0,0,7,0,0,0,0,0,0,18,0,4,3,17,0,0,1,20,0,1,1,0
12,Jorge Pulido,14.0,es  ESP,RB,29-270,71,23,22,1,0,0,4,0,0,0,0,0,0,20,1,2,1,20,1,1,0,20,0,0,0,1
13,Juan Carlos,21.0,es  ESP,"CM,RB",29-294,19,5,5,0,0,0,2,0,0,0,0,0,0,4,0,1,0,5,0,0,0,4,0,0,0,1
14,Álvaro Fernández,1.0,es  ESP,GK,22-265,90,38,16,22,5,0,3,0,0,0,0,0,0,25,5,8,6,29,0,0,3,30,0,0,0,0
15,15 Players,,,,,990,375,332,43,14,0,66,10,6,2,1,0,1,276,33,66,166,188,6,8,5,307,1,5,4,14
