,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Lionel Messi,10.0,ar  ARG,FW,33-196,90,68,64,4,1,1,9,1,4,2,0,2,0,55,5,8,54,14,0,0,0,57,1,0,1,3
1,Antoine Griezmann,7.0,fr  FRA,LW,29-291,90,41,39,2,1,1,6,1,0,0,0,0,0,35,4,2,22,17,1,0,0,35,0,1,0,2
2,Ousmane Dembélé,11.0,fr  FRA,RW,23-236,74,50,49,1,0,0,4,0,1,0,0,0,0,42,6,2,32,16,0,1,0,38,1,1,2,4
3,Martin Braithwaite,9.0,dk  DEN,RW,29-215,16,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0
4,Pedri,16.0,es  ESP,CM,18-042,90,61,58,3,0,0,5,3,1,2,0,0,0,52,4,5,9,51,1,0,0,55,0,0,0,1
5,Frenkie de Jong,21.0,nl  NED,CM,23-239,90,67,66,1,0,0,6,1,0,0,0,0,0,58,5,4,6,60,0,1,0,64,1,0,0,0
6,Sergio Busquets,5.0,es  ESP,DM,32-174,90,76,71,5,5,0,8,2,0,0,0,0,0,64,7,5,11,63,1,0,0,69,1,0,1,0
7,Jordi Alba,18.0,es  ESP,LB,31-291,90,101,94,7,0,0,6,1,2,0,0,0,0,72,24,5,80,12,1,7,1,90,0,1,0,2
8,Clément Lenglet,15.0,fr  FRA,CB,25-203,90,65,63,2,2,0,2,3,0,0,0,0,0,57,0,8,53,11,1,0,0,62,0,0,0,0
9,Ronald Araújo,4.0,uy  URU,CB,21-305,90,55,55,0,0,0,3,0,0,0,0,0,0,45,1,9,4,48,1,0,1,50,0,0,0,0
10,Sergiño Dest,2.0,us  USA,RB,20-064,74,61,52,9,1,0,4,0,2,0,0,0,0,48,11,2,7,46,0,8,0,54,0,0,1,1
11,Óscar Mingueza,28.0,es  ESP,RB,21-238,16,9,8,1,0,0,2,0,0,0,0,0,0,5,4,0,0,7,1,1,0,8,0,0,0,0
12,Marc-André ter Stegen,1.0,de  GER,GK,28-251,90,29,25,4,0,0,3,1,0,0,0,0,0,23,2,4,0,21,0,0,8,26,0,1,0,0
13,13 Players,,,,,990,685,646,39,10,2,60,13,10,4,0,2,0,557,73,55,278,367,7,18,10,610,4,4,5,13
