,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Raúl García,22.0,es  ESP,FW,34-179,79,0,1,0,0,1,0,0,0,36,20,1,0,2,0.2,0.2,0.3,2,1,19,25,76.0,4,17,3,0,0
1,Jon Morcillo,2.0,es  ESP,FW,22-113,11,0,0,0,0,0,0,0,0,11,1,0,0,0,0.0,0.0,0.0,1,0,6,9,66.7,2,8,4,1,1
2,Iñaki Williams,9.0,es  ESP,FW,26-205,90,1,0,0,0,2,2,0,0,29,7,0,0,0,0.2,0.2,0.0,1,1,15,20,75.0,1,20,2,1,1
3,Iker Muniain,10.0,es  ESP,LM,28-018,90,1,0,0,0,2,1,0,0,55,8,1,1,0,0.2,0.2,0.1,3,0,41,47,87.2,4,36,6,1,1
4,Óscar de Marcos,18.0,es  ESP,RM,31-267,64,0,0,0,0,0,0,0,0,20,7,0,0,1,0.0,0.0,0.0,1,0,10,16,62.5,1,11,0,0,1
5,Álex Berenguer,12.0,es  ESP,RM,25-186,26,0,1,0,0,1,0,0,0,17,8,1,1,2,0.0,0.0,0.1,2,2,8,11,72.7,1,7,2,0,1
6,Mikel Vesga,6.0,es  ESP,DM,27-230,64,0,0,0,0,0,0,1,0,41,14,0,0,0,0.0,0.0,0.0,0,0,31,38,81.6,6,28,5,0,0
7,Dani García,14.0,es  ESP,DM,30-227,26,0,0,0,0,0,0,1,0,28,4,0,0,0,0.0,0.0,0.0,1,0,25,27,92.6,2,23,3,0,0
8,Unai Vencedor Paris,27.0,es  ESP,DM,20-052,90,0,0,0,0,1,1,0,0,64,17,3,1,1,0.1,0.1,0.0,0,0,53,57,93.0,4,45,1,1,1
9,Yuri Berchiche,17.0,es  ESP,LB,30-331,31,0,0,0,0,1,0,0,0,25,4,1,0,1,0.1,0.1,0.0,0,0,17,18,94.4,0,13,1,0,0
10,Mikel Balenziaga,24.0,es  ESP,LB,32-312,59,0,0,0,0,0,0,0,0,49,15,0,1,2,0.0,0.0,0.0,0,0,32,44,72.7,4,31,4,0,0
11,Iñigo Martínez,4.0,es  ESP,CB,29-234,90,0,0,0,0,0,0,0,0,66,11,6,0,1,0.0,0.0,0.0,0,0,51,54,94.4,5,39,4,0,0
12,Unai Núñez,3.0,es  ESP,CB,23-342,90,0,0,0,0,0,0,0,0,76,5,2,1,1,0.0,0.0,0.0,0,0,60,71,84.5,3,58,3,0,0
13,Ander Capa,21.0,es  ESP,RB,28-333,90,0,0,0,0,0,0,0,0,63,9,1,0,2,0.0,0.0,0.0,1,0,44,52,84.6,5,38,5,0,0
14,Unai Simón,1.0,es  ESP,GK,23-209,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,16,0,0,0
15,15 Players,,,,,990,2,2,0,0,8,4,2,0,612,130,16,5,13,0.8,0.8,0.5,12,4,436,517,84.3,42,390,43,4,6
