,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Iñaki Williams,9.0,es  ESP,FW,26-230,83,10,17,58.8,131,30,8,11,72.7,1,3,33.3,1,1,100.0,0,0.0,0,1,0,0,1
1,Asier Villalibre,20.0,es  ESP,FW,23-123,7,1,1,100.0,9,1,1,1,100.0,0,0,,0,0,,0,0.0,0,0,0,0,0
2,Raúl García,22.0,es  ESP,FW,34-204,90,25,36,69.4,312,70,16,17,94.1,7,10,70.0,1,4,25.0,0,0.1,3,4,0,0,1
3,Iker Muniain,10.0,es  ESP,LM,28-043,90,41,48,85.4,581,133,25,25,100.0,11,13,84.6,2,6,33.3,0,0.1,2,2,3,0,5
4,Óscar de Marcos,18.0,es  ESP,RM,31-292,66,8,11,72.7,100,9,5,6,83.3,3,5,60.0,0,0,,0,0.0,0,0,0,0,0
5,Álex Berenguer,12.0,es  ESP,RM,25-211,24,13,17,76.5,152,22,7,7,100.0,4,6,66.7,0,2,0.0,0,0.0,0,1,0,0,1
6,Unai Vencedor Paris,27.0,es  ESP,DM,20-077,65,15,20,75.0,308,71,4,5,80.0,9,11,81.8,2,3,66.7,0,0.0,0,0,0,0,1
7,Mikel Vesga,6.0,es  ESP,DM,27-255,25,14,15,93.3,245,81,5,5,100.0,5,5,100.0,2,2,100.0,0,0.0,0,1,0,0,1
8,Dani García,14.0,es  ESP,DM,30-252,90,53,62,85.5,1047,293,14,15,93.3,29,31,93.5,8,14,57.1,0,0.0,0,3,0,0,3
9,Yuri Berchiche,17.0,es  ESP,LB,30-356,90,44,55,80.0,760,309,22,26,84.6,17,21,81.0,5,7,71.4,0,0.0,0,3,0,0,5
10,Iñigo Martínez,4.0,es  ESP,CB,29-259,90,47,52,90.4,945,262,11,11,100.0,25,25,100.0,8,13,61.5,0,0.0,0,3,0,0,3
11,Yeray Álvarez,5.0,es  ESP,CB,26-007,90,45,55,81.8,833,326,20,24,83.3,21,26,80.8,4,5,80.0,0,0.1,2,2,1,0,5
12,Ander Capa,21.0,es  ESP,RB,28-358,83,29,38,76.3,467,156,14,16,87.5,13,14,92.9,1,2,50.0,0,0.0,0,1,0,0,2
13,Iñigo Lekue,15.0,es  ESP,RB,27-272,7,7,7,100.0,138,22,3,3,100.0,2,2,100.0,2,2,100.0,0,0.0,0,0,0,0,1
14,Unai Simón,1.0,es  ESP,GK,23-234,90,19,24,79.2,618,387,3,3,100.0,4,4,100.0,12,17,70.6,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,371,458,81.0,6646,2172,158,175,90.3,151,176,85.8,48,78,61.5,0,0.3,7,21,4,0,29
