,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Alexander Isak,19.0,se  SWE,"FW,RW",21-181,82,0,0,0,0,2,2,0,0,41,15,0,1,1,0.4,0.4,0.0,3,0,21,29,72.4,0,31,3,3,6
1,Jon Bautista,25.0,es  ESP,RW,25-261,8,0,0,0,0,2,0,0,0,5,4,0,0,0,0.1,0.1,0.1,1,0,2,2,100.0,0,3,1,0,0
2,Mikel Oyarzabal,10.0,es  ESP,LW,23-334,90,0,0,0,0,1,0,0,0,41,25,1,3,1,0.0,0.0,0.0,3,0,21,28,75.0,1,28,1,2,5
3,Portu,7.0,es  ESP,RW,28-304,60,0,0,0,0,0,0,0,0,14,16,0,1,1,0.0,0.0,0.0,0,0,5,9,55.6,1,10,2,1,1
4,Adnan Januzaj,11.0,be  BEL,"WB,RW",26-044,30,0,0,0,0,2,1,0,0,14,1,0,0,0,0.1,0.1,0.0,2,0,7,7,100.0,1,12,2,0,0
5,Mikel Merino,8.0,es  ESP,DM,24-272,90,0,0,0,0,0,0,0,0,60,37,4,5,2,0.0,0.0,0.1,1,0,37,47,78.7,5,39,2,4,4
6,Ander Guevara,16.0,es  ESP,DM,23-257,90,0,0,0,0,0,0,0,0,55,28,5,0,0,0.0,0.0,0.0,0,0,40,48,83.3,0,47,3,2,2
7,Martín Merquelanz,17.0,es  ESP,WB,25-282,90,0,0,0,0,1,0,0,0,43,11,3,2,1,0.0,0.0,0.1,1,0,26,32,81.3,2,29,2,0,1
8,Andoni Gorosabel,18.0,es  ESP,WB,24-229,60,0,0,0,0,0,0,0,0,26,3,1,3,0,0.0,0.0,0.0,0,0,16,19,84.2,2,15,1,0,0
9,Ander Barrenetxea,22.0,es  ESP,"CB,WB",19-084,30,1,0,0,0,1,1,0,0,17,5,0,0,2,0.1,0.1,0.0,2,1,11,12,91.7,2,12,2,2,3
10,Robin Le Normand,24.0,fr  FRA,CB,24-130,90,0,0,0,0,0,0,0,0,47,20,3,1,0,0.0,0.0,0.0,0,0,32,40,80.0,0,32,1,0,0
11,Martín Zubimendi,36.0,es  ESP,CB,22-047,71,0,0,0,0,0,0,1,0,32,8,0,4,2,0.0,0.0,0.0,0,0,20,22,90.9,1,12,1,0,0
12,Carlos Fernández,9.0,es  ESP,"FW,CB",24-303,19,0,1,0,0,1,1,1,0,5,9,0,0,1,0.1,0.1,0.1,3,1,3,3,100.0,2,3,1,0,0
13,Igor Zubeldia,5.0,es  ESP,CB,23-356,82,0,0,0,0,0,0,1,0,31,14,5,0,1,0.0,0.0,0.0,0,0,21,24,87.5,1,17,0,0,1
14,Modibo Sagnan,15.0,ml  MLI,CB,21-341,8,0,0,0,0,0,0,0,0,4,2,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0
15,Álex Remiro,1.0,es  ESP,GK,25-362,90,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0,0.0,0.0,0,0,16,24,66.7,0,12,0,0,0
16,16 Players,,,,,990,1,1,0,0,10,5,3,0,463,198,22,20,12,0.8,0.8,0.5,16,2,282,350,80.6,18,306,22,14,23
