,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Ousmane Dembélé,11.0,fr  FRA,"FW,LW",23-325,90,1,1,0,0,1,0,0,,0,15,5,33.3,2,3,10,0,0,0,0,0,1,0,0
1,Antoine Griezmann,7.0,fr  FRA,"AM,LM",30-015,62,2,2,1,1,0,1,1,100.0,0,15,6,40.0,4,7,4,2,0,0,2,0,2,0,0
2,Francisco Trincão,17.0,pt  POR,CM,21-097,28,0,0,0,0,0,0,0,,0,6,2,33.3,0,4,2,0,0,0,0,1,1,0,0
3,Lionel Messi,10.0,ar  ARG,"AM,RW,RM",33-285,90,0,0,0,0,0,0,1,0.0,1,5,0,0.0,0,3,2,0,0,0,0,0,0,0,0
4,Pedri,16.0,es  ESP,"DM,CM",18-131,76,1,1,0,1,0,1,7,14.3,6,39,8,20.5,8,21,10,3,0,0,3,3,4,1,0
5,Ilaix,27.0,es  ESP,CM,18-076,14,1,0,0,1,0,0,0,,0,2,1,50.0,0,1,1,0,0,0,0,1,2,0,0
6,Sergio Busquets,5.0,es  ESP,DM,32-263,63,0,0,0,0,0,0,0,,0,21,8,38.1,4,11,6,2,0,0,2,0,0,0,0
7,Martin Braithwaite,9.0,dk  DEN,FW,29-304,27,0,0,0,0,0,0,0,,0,5,2,40.0,0,3,2,0,0,0,0,1,1,0,0
8,Jordi Alba,18.0,es  ESP,"LB,WB",32-015,90,2,1,0,1,1,1,1,100.0,0,22,5,22.7,9,11,2,3,1,0,2,0,2,1,0
9,Sergiño Dest,2.0,us  USA,"WB,RB",20-153,86,1,1,1,0,0,1,1,100.0,0,14,5,35.7,7,5,2,3,0,0,3,0,1,0,0
10,Riqui Puig,12.0,es  ESP,RB,21-235,4,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,1,1,0,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-292,90,3,2,3,0,0,1,1,100.0,0,18,7,38.9,10,8,0,0,0,0,0,1,4,7,0
12,Frenkie de Jong,21.0,nl  NED,"CB,DM,CM",23-328,90,2,2,1,1,0,1,3,33.3,2,12,5,41.7,4,5,3,2,0,0,2,2,4,0,0
13,Óscar Mingueza,28.0,es  ESP,CB,21-327,62,0,0,0,0,0,0,0,,0,11,0,0.0,4,7,0,0,0,0,0,2,2,2,0
14,Ronald Araújo,4.0,uy  URU,CB,22-029,28,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-340,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,13,10,6,5,2,6,15,40.0,9,187,55,29.4,53,89,45,15,1,0,14,12,25,11,0
