,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Luis Suárez,9.0,uy  URU,FW,34-104,90,0,0,0,0,3,2,0,0,27,13,1,0,0,0.1,0.1,0.0,1,0,17,21,81.0,3,16,2,0,2
1,Thomas Lemar,11.0,fr  FRA,LW,25-177,12,0,0,0,0,1,1,0,0,7,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,7,1,1,1
2,Saúl Ñíguez,8.0,es  ESP,LW,26-168,54,0,0,0,0,0,0,1,0,31,10,0,0,0,0.0,0.0,0.0,1,0,22,27,81.5,1,13,3,0,0
3,João Félix,7.0,pt  POR,LW,21-179,24,0,0,0,0,0,0,0,0,17,3,2,1,0,0.0,0.0,0.0,0,0,12,12,100.0,2,14,1,0,1
4,Ángel Correa,10.0,ar  ARG,RW,26-060,72,0,0,0,0,1,0,0,0,32,26,2,0,0,0.1,0.1,0.2,2,0,16,23,69.6,2,20,3,1,2
5,Geoffrey Kondogbia,4.0,cf  CTA,RW,28-082,18,0,0,0,0,0,0,0,0,7,5,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,6,1,0,0
6,Koke,6.0,es  ESP,DM,29-120,90,0,0,0,0,0,0,1,0,70,29,3,3,0,0.0,0.0,0.1,0,0,57,63,90.5,2,49,5,1,1
7,Marcos Llorente,14.0,es  ESP,DM,26-098,90,0,0,0,0,1,1,0,0,46,18,3,1,0,0.1,0.1,0.0,0,0,34,41,82.9,2,33,5,3,3
8,Yannick Carrasco,21.0,be  BEL,WB,27-246,90,0,0,0,0,3,1,0,0,50,20,3,3,3,0.1,0.1,0.1,6,0,16,29,55.2,3,38,9,6,13
9,Kieran Trippier,23.0,eng  ENG,WB,30-231,90,0,0,0,0,0,0,0,0,69,13,2,0,2,0.0,0.0,0.0,1,0,48,62,77.4,4,43,4,0,0
10,Mario Hermoso,22.0,es  ESP,CB,25-324,90,0,0,0,0,0,0,0,0,65,17,4,2,1,0.0,0.0,0.1,3,0,53,56,94.6,2,39,5,0,1
11,Felipe,18.0,br  BRA,CB,31-357,90,0,0,0,0,1,0,1,0,36,9,2,2,0,0.2,0.2,0.0,0,0,27,28,96.4,1,22,0,0,0
12,Stefan Savić,15.0,me  MNE,CB,30-120,90,0,0,0,0,0,0,0,0,58,9,1,6,3,0.0,0.0,0.0,0,0,41,50,82.0,1,39,6,0,0
13,Jan Oblak,13.0,si  SVN,GK,28-121,90,0,0,0,0,0,0,0,0,25,0,0,0,0,0.0,0.0,0.0,0,0,16,22,72.7,0,5,0,0,0
14,14 Players,,,,,990,0,0,0,0,10,5,3,0,540,176,23,18,9,0.6,0.6,0.5,14,0,369,445,82.9,24,344,45,12,24
