,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Ansu Fati,22.0,es  ESP,FW,18-007,45,25,0,2,8,17,4,25,0,1,0.0,1,0,22,111,66,4,2,3,2,3,27,19,70.4,6
1,Lionel Messi,10.0,ar  ARG,FW,33-136,45,58,0,2,19,39,9,51,3,6,50.0,4,0,49,187,113,9,1,1,0,0,62,48,77.4,6
2,Antoine Griezmann,7.0,fr  FRA,FW,29-231,77,47,1,5,23,26,7,45,0,0,,0,0,34,181,98,6,4,1,3,0,45,39,86.7,9
3,Martin Braithwaite,9.0,dk  DEN,FW,29-155,13,2,0,0,1,1,1,2,0,0,,0,0,1,1,1,0,0,0,0,0,7,2,28.6,1
4,Pedri,16.0,es  ESP,LM,17-348,90,67,1,9,33,30,7,66,1,1,100.0,1,1,50,255,96,6,1,1,1,1,65,58,89.2,10
5,Ousmane Dembélé,11.0,fr  FRA,RM,23-176,65,40,1,2,13,27,6,37,3,4,75.0,4,1,33,215,166,10,1,2,2,0,39,33,84.6,6
6,Francisco Trincão,17.0,pt  POR,RM,20-314,25,28,0,3,6,20,4,27,2,2,100.0,2,0,21,99,47,4,0,0,0,3,24,22,91.7,6
7,Frenkie de Jong,21.0,nl  NED,DM,23-179,90,78,2,12,53,24,2,77,0,0,,0,0,65,468,291,10,3,0,0,0,66,61,92.4,2
8,Sergio Busquets,5.0,es  ESP,DM,32-114,85,84,2,14,58,16,0,79,1,1,100.0,1,0,59,184,94,5,0,0,0,1,66,62,93.9,0
9,Miralem Pjanić,8.0,ba  BIH,DM,30-219,5,9,1,2,4,4,0,8,0,0,,0,0,5,34,10,0,0,0,0,0,6,6,100.0,2
10,Jordi Alba,18.0,es  ESP,LB,31-231,90,72,2,10,33,37,6,69,0,1,0.0,0,0,50,162,81,3,1,0,0,2,60,56,93.3,7
11,Clément Lenglet,15.0,fr  FRA,CB,25-143,90,59,10,34,26,0,0,58,0,0,,0,0,46,229,146,2,0,0,0,0,44,43,97.7,0
12,Gerard Piqué,3.0,es  ESP,CB,33-279,90,65,9,39,28,1,1,64,0,0,,0,0,41,193,97,1,0,0,0,0,50,45,90.0,1
13,Sergi Roberto,20.0,es  ESP,RB,28-274,90,70,4,15,41,20,5,67,1,1,100.0,1,0,57,184,106,6,3,2,0,0,61,56,91.8,3
14,Marc-André ter Stegen,1.0,de  GER,GK,28-191,90,41,35,41,0,0,0,35,0,0,,0,0,26,65,40,0,0,0,0,0,23,23,100.0,0
15,15 Players,,,,,990,745,68,190,346,262,52,710,11,17,64.7,14,2,559,2568,1452,66,16,10,8,10,645,573,88.8,59
