player,press,switch,intercepted,blocked
Frenkie de Jong,183,27,26,19
Jordi Alba,93,25,19,53
Lionel Messi,216,24,25,47
Antoine Griezmann,83,15,10,17
Sergio Busquets,122,23,17,7
Pedri,129,21,21,22
Marc-André ter Stegen,53,8,4,0
Clément Lenglet,70,22,14,6
Sergiño Dest,53,1,8,25
Ronald Araújo,58,8,1,5
Martin Braithwaite,47,3,5,5
Ousmane Dembélé,70,13,14,22
Óscar Mingueza,54,4,6,11
Gerard Piqué,42,15,1,2
Philippe Coutinho,59,7,9,4
Sergi Roberto,46,1,4,14
Neto,22,1,0,1
Ansu Fati,35,0,5,7
Miralem Pjanić,67,5,8,9
Samuel Umtiti,13,3,1,1
Junior Firpo,15,0,5,3
Francisco Trincão,30,2,7,14
Carles Aleñá,6,2,1,0
Riqui Puig,6,2,2,0
