,Player,Nation_x,Pos_x,Age_x,MP,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance_x,CrdR_Performance_x,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected_x,npxG_Expected_x,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes,Nation_y,Pos_y,Age_y,90s_x,Gls_Standard,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected_y,npxG_Expected_y,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected,Nation_x,Pos_x,Age_x,90s_y,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Nation_y,Pos_y,Age_y,90s_x,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Sw_Pass Types,Crs_Pass Types,TI_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Nation_x,Pos_x,Age_x,90s_y,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,Nation_y,Pos_y,Age_y,90s_x,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Nation_x,Pos_x,Age_x,90s_y,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving,Nation_y,Pos_y,Age_y,90s,CrdY_Performance_y,CrdR_Performance_y,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Sergio Busquets,es  ESP,MF,33.0,36,36,3198.0,35.5,2.0,0.0,2.0,0.0,0.0,12.0,0.0,0.06,0.0,0.06,0.06,0.06,0.8,0.8,2.4,3.2,0.02,0.07,0.09,0.02,0.09,es  ESP,MF,33.0,35.5,2,14,4,28.6,0.39,0.11,0.14,0.5,21.3,0,0,0,0.8,0.8,0.06,1.2,1.2,es  ESP,MF,33.0,35.5,2430,2793,87.0,42404,12097,1078,1187,90.8,984,1090,90.3,272,355,76.6,0,2.4,2.7,-2.4,33,274,25,1,212,es  ESP,MF,33.0,35.5,2793,2676,99,95,13,18,3,3,0,0,0,0,2430,18,21,es  ESP,MF,33.0,35.5,91,2.56,83,0,0,0,4,4,3,0.08,3,0,0,0,0,0,es  ESP,MF,33.0,35.5,93,49,31,48,14,46,83,55.4,37,44,8,36,45,138,31,0,es  ESP,MF,33.0,35.5,3077,81,545,2050,494,23,3077,21,26,80.8,20,15,2259,31,es  ESP,MF,33.0,35.5,12,0,0,53,67,2,3,45,49,0,0,0,281,57,68,45.6
1,Marc-André ter Stegen,de  GER,GK,29.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,de  GER,GK,29.0,35.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,de  GER,GK,29.0,35.0,1113,1281,86.9,27465,18914,242,245,98.8,564,577,97.7,300,447,67.1,0,0.1,0.0,-0.1,1,10,0,0,2,de  GER,GK,29.0,35.0,1281,1014,263,57,0,2,0,1,0,0,0,0,1113,4,1,de  GER,GK,29.0,35.0,6,0.17,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,de  GER,GK,29.0,35.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,13,5,de  GER,GK,29.0,35.0,1338,1100,1326,12,0,0,1338,2,2,100.0,0,0,802,0,de  GER,GK,29.0,35.0,3,0,0,0,6,0,0,1,0,0,0,0,51,5,0,100.0
2,Jordi Alba,es  ESP,DF,32.0,30,30,2644.0,29.4,2.0,10.0,2.0,0.0,0.0,11.0,0.0,0.07,0.34,0.41,0.07,0.41,1.8,1.8,6.7,8.5,0.06,0.23,0.29,0.06,0.29,es  ESP,DF,32.0,29.4,2,31,6,19.4,1.06,0.2,0.06,0.33,23.2,1,0,0,1.8,1.8,0.06,0.2,0.2,es  ESP,DF,32.0,29.4,2334,2795,83.5,36392,12699,1218,1329,91.6,868,995,87.2,154,273,56.4,10,6.7,5.8,3.3,58,212,60,18,203,es  ESP,DF,32.0,29.4,2795,2416,365,96,13,12,121,268,1,0,0,0,2334,14,38,es  ESP,DF,32.0,29.4,89,3.03,82,3,0,2,2,0,14,0.48,13,0,0,1,0,0,es  ESP,DF,32.0,29.4,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1,es  ESP,DF,32.0,29.4,2997,82,658,1459,896,67,2997,6,22,27.3,25,4,2135,118,es  ESP,DF,32.0,29.4,11,0,0,26,19,11,121,33,34,0,0,0,214,13,23,36.1
3,Frenkie de Jong,nl  NED,MF,24.0,32,30,2476.0,27.5,3.0,3.0,3.0,0.0,0.0,7.0,1.0,0.11,0.11,0.22,0.11,0.22,4.2,4.2,4.1,8.4,0.15,0.15,0.3,0.15,0.3,nl  NED,MF,24.0,27.5,3,17,7,41.2,0.62,0.25,0.18,0.43,14.4,0,0,0,4.2,4.2,0.25,-1.2,-1.2,nl  NED,MF,24.0,27.5,1504,1680,89.5,23427,5811,797,856,93.1,519,568,91.4,112,139,80.6,3,4.1,4.1,-1.1,43,170,36,3,139,nl  NED,MF,24.0,27.5,1680,1643,30,19,9,12,31,4,7,3,3,0,1504,7,20,nl  NED,MF,24.0,27.5,85,3.09,71,2,7,2,1,2,9,0.33,9,0,0,0,0,0,nl  NED,MF,24.0,27.5,35,19,12,18,5,12,23,52.2,11,19,5,14,20,55,16,0,nl  NED,MF,24.0,27.5,1871,36,260,1135,498,63,1871,51,60,85.0,37,28,1478,108,nl  NED,MF,24.0,27.5,7,1,1,24,35,6,31,20,19,0,0,0,154,25,15,62.5
4,Gavi,es  ESP,"MF,FW",16.0,34,28,2316.0,25.7,2.0,5.0,2.0,0.0,0.0,11.0,1.0,0.08,0.19,0.27,0.08,0.27,4.4,4.4,3.0,7.4,0.17,0.12,0.29,0.17,0.29,es  ESP,"MF,FW",16.0,25.7,2,30,8,26.7,1.17,0.31,0.07,0.25,15.3,0,0,0,4.4,4.4,0.15,-2.4,-2.4,es  ESP,"MF,FW",16.0,25.7,1086,1262,86.1,14787,2659,658,697,94.4,300,350,85.7,55,88,62.5,5,3.0,4.1,2.0,20,104,25,6,57,es  ESP,"MF,FW",16.0,25.7,1262,1237,17,5,11,12,48,10,2,0,0,0,1086,8,28,es  ESP,"MF,FW",16.0,25.7,62,2.41,52,1,4,0,3,2,16,0.62,13,0,2,0,1,0,es  ESP,"MF,FW",16.0,25.7,38,18,13,18,7,9,33,27.3,24,36,0,36,25,63,13,0,es  ESP,"MF,FW",16.0,25.7,1567,14,145,820,620,82,1567,53,86,61.6,61,49,1231,113,es  ESP,"MF,FW",16.0,25.7,11,1,1,63,69,12,48,25,18,1,0,0,122,32,35,47.8
5,Ronald Araújo,uy  URU,DF,22.0,30,25,2272.0,25.2,4.0,0.0,4.0,0.0,0.0,6.0,0.0,0.16,0.0,0.16,0.16,0.16,1.8,1.8,1.2,3.0,0.07,0.05,0.12,0.07,0.12,uy  URU,DF,22.0,25.2,4,18,10,55.6,0.71,0.4,0.22,0.4,12.6,0,0,0,1.8,1.8,0.1,2.2,2.2,uy  URU,DF,22.0,25.2,1491,1662,89.7,28250,8839,511,544,93.9,828,876,94.5,133,209,63.6,0,1.2,0.8,-1.2,8,74,4,3,66,uy  URU,DF,22.0,25.2,1662,1566,92,47,0,21,7,44,0,0,0,0,1491,4,6,uy  URU,DF,22.0,25.2,19,0.75,12,0,0,2,1,4,0,0.0,0,0,0,0,0,0,uy  URU,DF,22.0,25.2,41,23,29,12,0,21,25,84.0,4,37,20,17,23,64,66,1,uy  URU,DF,22.0,25.2,1863,176,784,997,94,28,1863,6,8,75.0,17,6,1323,9,uy  URU,DF,22.0,25.2,6,0,0,25,12,1,7,23,23,0,0,0,135,60,24,71.4
6,Gerard Piqué,es  ESP,DF,34.0,27,25,2092.0,23.2,1.0,0.0,1.0,0.0,0.0,10.0,1.0,0.04,0.0,0.04,0.04,0.04,2.1,2.1,0.6,2.7,0.09,0.03,0.12,0.09,0.12,es  ESP,DF,34.0,23.2,1,19,2,10.5,0.82,0.09,0.05,0.5,13.3,1,0,0,2.1,2.1,0.11,-1.1,-1.1,es  ESP,DF,34.0,23.2,1514,1688,89.7,30235,9975,439,486,90.3,871,913,95.4,175,242,72.3,0,0.6,0.6,-0.6,5,114,3,0,93,es  ESP,DF,34.0,23.2,1688,1625,57,47,2,27,0,5,0,0,0,0,1514,6,7,es  ESP,DF,34.0,23.2,24,1.03,18,1,1,4,0,0,6,0.26,3,1,0,2,0,0,es  ESP,DF,34.0,23.2,22,12,18,4,0,11,14,78.6,3,19,16,3,34,56,86,1,es  ESP,DF,34.0,23.2,1902,219,823,1024,59,29,1902,6,6,100.0,8,3,1320,4,es  ESP,DF,34.0,23.2,10,1,1,30,15,1,0,34,12,0,0,0,165,80,42,65.6
7,Eric García,es  ESP,DF,20.0,26,23,2039.0,22.7,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.01,0.02,0.03,0.01,0.03,es  ESP,DF,20.0,22.7,0,6,4,66.7,0.26,0.18,0.0,0.0,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,es  ESP,DF,20.0,22.7,1568,1689,92.8,29467,10517,565,596,94.8,844,885,95.4,139,172,80.8,0,0.4,0.7,-0.4,4,157,3,0,92,es  ESP,DF,20.0,22.7,1689,1630,58,40,2,20,2,14,0,0,0,0,1568,1,7,es  ESP,DF,20.0,22.7,27,1.19,25,1,0,1,0,0,1,0.04,1,0,0,0,0,0,es  ESP,DF,20.0,22.7,27,18,13,13,1,11,26,42.3,15,22,12,10,44,71,53,3,es  ESP,DF,20.0,22.7,1860,133,681,1134,52,10,1860,2,3,66.7,12,1,1444,3,es  ESP,DF,20.0,22.7,5,1,0,34,5,2,2,44,18,0,1,0,95,32,21,60.4
8,Memphis Depay,nl  NED,"FW,MF",27.0,28,20,1851.0,20.6,12.0,2.0,8.0,4.0,5.0,3.0,0.0,0.58,0.1,0.68,0.39,0.49,11.5,7.5,5.1,12.7,0.56,0.25,0.81,0.37,0.62,nl  NED,"FW,MF",27.0,20.6,12,56,29,51.8,2.72,1.41,0.14,0.28,19.4,6,4,5,11.5,7.5,0.13,0.5,0.5,nl  NED,"FW,MF",27.0,20.6,705,945,74.6,9485,2460,454,518,87.6,136,195,69.7,52,119,43.7,2,5.1,5.7,-3.1,45,29,31,9,52,nl  NED,"FW,MF",27.0,20.6,945,784,154,37,2,7,125,4,89,33,24,0,705,7,16,nl  NED,"FW,MF",27.0,20.6,81,3.94,44,20,9,3,5,0,10,0.49,4,1,2,1,2,0,nl  NED,"FW,MF",27.0,20.6,10,4,2,4,4,3,13,23.1,10,9,1,8,3,13,4,0,nl  NED,"FW,MF",27.0,20.6,1166,7,51,434,690,125,1161,45,74,60.8,76,34,916,202,nl  NED,"FW,MF",27.0,20.6,3,0,0,23,44,13,125,3,4,3,0,0,52,10,15,40.0
9,Sergiño Dest,us  USA,"DF,FW",20.0,21,17,1512.0,16.8,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.18,0.18,0.0,0.18,1.4,1.4,2.8,4.2,0.08,0.17,0.25,0.08,0.25,us  USA,"DF,FW",20.0,16.8,0,12,3,25.0,0.71,0.18,0.0,0.0,16.6,0,0,0,1.4,1.4,0.12,-1.4,-1.4,us  USA,"DF,FW",20.0,16.8,876,999,87.7,12393,3470,530,561,94.5,281,327,85.9,29,48,60.4,3,2.8,2.8,0.2,18,63,15,4,50,us  USA,"DF,FW",20.0,16.8,999,863,134,12,1,3,59,122,0,0,0,0,876,2,15,us  USA,"DF,FW",20.0,16.8,42,2.5,31,2,7,0,2,0,3,0.18,3,0,0,0,0,0,us  USA,"DF,FW",20.0,16.8,32,15,21,10,1,13,18,72.2,5,22,4,18,2,34,18,0,us  USA,"DF,FW",20.0,16.8,1160,27,250,522,409,47,1160,37,66,56.1,33,24,840,64,us  USA,"DF,FW",20.0,16.8,2,0,0,17,19,1,59,2,15,0,0,0,93,7,13,35.0
