,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-07-30,17:00,Community Shield,FA Community Shield,Sat,Neutral,W,3,1,Manchester City,,,43.0,,Jordan Henderson,4-3-3,Craig Pawson,Match Report,
1,2022-08-06,12:30,Premier League,Matchweek 1,Sat,Away,D,2,2,Fulham,1.2,1.2,67.0,22207.0,Jordan Henderson,4-3-3,Andy Madley,Match Report,
2,2022-08-15,20:00,Premier League,Matchweek 2,Mon,Home,D,1,1,Crystal Palace,2.0,1.0,72.0,52970.0,James Milner,4-3-3,Paul Tierney,Match Report,
3,2022-08-22,20:00,Premier League,Matchweek 3,Mon,Away,L,1,2,Manchester Utd,1.3,1.8,70.0,74147.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,9,0,Bournemouth,3.3,0.3,69.0,53328.0,Jordan Henderson,4-3-3,Stuart Attwell,Match Report,
5,2022-08-31,20:00,Premier League,Matchweek 5,Wed,Home,W,2,1,Newcastle Utd,1.5,0.7,72.0,53316.0,Jordan Henderson,4-3-3,Andre Marriner,Match Report,
6,2022-09-03,12:30,Premier League,Matchweek 6,Sat,Away,D,0,0,Everton,2.1,1.7,61.0,39240.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,
7,2022-09-07,21:00,Champions Lg,Group stage,Wed,Away,L,1,4,it  Napoli,1.0,4.0,61.0,51793.0,James Milner,4-3-3,Carlos del Cerro,Match Report,
8,2022-09-10,15:00,Premier League,Matchweek 7,Sat,Home,,,,Wolves,,,,,,,,,Match Postponed
9,2022-09-13,20:00,Champions Lg,Group stage,Tue,Home,W,2,1,nl  Ajax,2.2,0.3,57.0,52387.0,Virgil van Dijk,4-3-3,Artur Dias,Match Report,
10,2022-09-18,16:30,Premier League,Matchweek 8,Sun,Away,,,,Chelsea,,,,,,,,,Match Postponed
11,2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,D,3,3,Brighton,1.5,1.4,54.0,53320.0,Jordan Henderson,4-3-3,Andy Madley,Match Report,
12,2022-10-04,20:00,Champions Lg,Group stage,Tue,Home,W,2,0,sct  Rangers,2.9,0.4,64.0,49512.0,Jordan Henderson,4-2-3-1,Clément Turpin,Match Report,
13,2022-10-09,16:30,Premier League,Matchweek 10,Sun,Away,L,2,3,Arsenal,1.1,2.7,57.0,60059.0,Jordan Henderson,4-2-3-1,Michael Oliver,Match Report,
14,2022-10-12,20:00,Champions Lg,Group stage,Wed,Away,W,7,1,sct  Rangers,2.2,0.5,57.0,48820.0,Jordan Henderson,4-4-2,Slavko Vinčič,Match Report,
15,2022-10-16,16:30,Premier League,Matchweek 11,Sun,Home,W,1,0,Manchester City,2.1,1.0,37.0,53286.0,James Milner,4-2-3-1,Anthony Taylor,Match Report,
16,2022-10-19,19:30,Premier League,Matchweek 12,Wed,Home,W,1,0,West Ham,1.7,1.7,54.0,52982.0,Jordan Henderson,4-4-2,Stuart Attwell,Match Report,
17,2022-10-22,12:30,Premier League,Matchweek 13,Sat,Away,L,0,1,Nott'ham Forest,1.6,1.9,75.0,29245.0,James Milner,4-4-2,Paul Tierney,Match Report,
18,2022-10-26,21:00,Champions Lg,Group stage,Wed,Away,W,3,0,nl  Ajax,1.6,1.2,50.0,53327.0,Jordan Henderson,4-1-2-1-2◆,José Sánchez,Match Report,
19,2022-10-29,19:45,Premier League,Matchweek 14,Sat,Home,L,1,2,Leeds United,1.7,1.8,68.0,53274.0,Virgil van Dijk,4-1-2-1-2◆,Michael Oliver,Match Report,
20,2022-11-01,20:00,Champions Lg,Group stage,Tue,Home,W,2,0,it  Napoli,2.4,0.4,52.0,52077.0,James Milner,4-3-3,Tobias Stieler,Match Report,
21,2022-11-06,16:30,Premier League,Matchweek 15,Sun,Away,W,2,1,Tottenham,1.2,1.2,53.0,62008.0,Virgil van Dijk,4-1-2-1-2◆,Andy Madley,Match Report,
22,2022-11-09,20:00,EFL Cup,Third round,Wed,Home,D,0  (3),0  (2),Derby County,,,74.0,52608.0,Joe Gomez,4-3-3,Tony Harrington,Match Report,Liverpool won on penalty kicks following extra time
23,2022-11-12,15:00,Premier League,Matchweek 16,Sat,Home,W,3,1,Southampton,1.9,1.1,60.0,53331.0,Virgil van Dijk,4-3-3,Simon Hooper,Match Report,
24,2022-12-22,20:00,EFL Cup,Fourth round,Thu,Away,L,2,3,Manchester City,,,44.0,,James Milner,4-3-3,David Coote,Match Report,
25,2022-12-26,17:30,Premier League,Matchweek 17,Mon,Away,W,3,1,Aston Villa,2.7,1.4,52.0,42085.0,Jordan Henderson,4-3-3,Paul Tierney,Match Report,
26,2022-12-30,20:00,Premier League,Matchweek 18,Fri,Home,W,2,1,Leicester City,2.2,1.0,57.0,53343.0,Jordan Henderson,4-3-3,Craig Pawson,Match Report,
27,2023-01-02,17:30,Premier League,Matchweek 19,Mon,Away,L,1,3,Brentford,2.0,1.7,72.0,17163.0,Virgil van Dijk,4-3-3,Stuart Attwell,Match Report,
28,2023-01-07,20:00,FA Cup,Third round proper,Sat,Home,D,2,2,Wolves,,,64.0,,Jordan Henderson,4-3-3,Andy Madley,Match Report,
29,2023-01-14,15:00,Premier League,Matchweek 20,Sat,Away,,,,Brighton,,,,,,,,Head-to-Head,
30,2023-01-21,12:30,Premier League,Matchweek 21,Sat,Home,,,,Chelsea,,,,,,,,Head-to-Head,
