team,player,age,position,mplay,min90,xG,xA,npxG,npxG + xA
paris,Keylor Navas,34,GK,"1,845",20.5,0.0,0.3,0.0,0.01
paris,Kylian Mbappé,22,FW,"1,791",19.9,17.7,3.3,13.9,0.86
paris,Marquinhos,26,DF,"1,588",17.6,1.1,0.0,1.1,0.07
paris,Presnel Kimpembe,25,DF,"1,587",17.6,0.2,0.3,0.2,0.03
paris,Ángel Di María,33,"FW,MF","1,408",15.6,3.9,8.0,3.9,0.76
paris,Idrissa Gana Gueye,31,MF,"1,310",14.6,0.6,0.6,0.6,0.08
paris,Moise Kean,21,FW,"1,300",14.4,8.7,0.8,8.7,0.66
paris,Mitchel Bakker,20,DF,"1,370",15.2,0.1,1.5,0.1,0.10
paris,Alessandro Florenzi,30,DF,"1,276",14.2,2.0,2.0,2.0,0.28
paris,Marco Verratti,28,MF,"1,257",14.0,1.0,1.6,1.0,0.18
paris,Layvin Kurzawa,28,DF,"1,161",12.9,0.7,1.7,0.7,0.18
paris,Abdou Diallo,24,DF,"1,121",12.5,0.2,0.5,0.2,0.05
paris,Leandro Paredes,26,MF,"1,018",11.3,0.4,0.7,0.4,0.10
paris,Ander Herrera,31,MF,"1,298",14.4,0.7,1.6,0.7,0.16
paris,Rafinha,28,MF,"1,057",11.7,1.1,2.9,1.1,0.34
paris,Thilo Kehrer,24,DF,"1,121",12.5,0.7,0.6,0.7,0.11
paris,Colin Dagba,22,DF,"1,039",11.5,0.3,0.9,0.3,0.10
paris,Mauro Icardi,28,FW,926,10.3,8.1,3.0,8.1,1.08
paris,Pablo Sarabia,28,"FW,MF","1,027",11.4,3.7,5.2,3.7,0.78
paris,Neymar,29,"FW,MF",866,9.6,8.1,3.7,5.8,0.99
paris,Danilo Pereira,29,"MF,DF",814,9.0,1.0,0.1,1.0,0.12
paris,Julian Draxler,27,"MF,FW",809,9.0,1.7,2.2,1.7,0.43
paris,Sergio Rico,27,GK,675,7.5,0.0,0.0,0.0,0.00
paris,Timothee Pembele,18,DF,378,4.2,1.0,0.2,1.0,0.29
paris,Juan Bernat,28,DF,194,2.2,0.0,0.3,0.0,0.13
paris,Kays Ruiz,18,"FW,MF",186,2.1,0.1,0.0,0.1,0.03
paris,Marcin Bułka,21,GK,90,1.0,0.0,0.0,0.0,0.00
paris,Arnaud Kalimuendo,19,FW,73,0.8,0.4,0.1,0.4,0.58
paris,Bandiougou Fadiga,20,"FW,MF",63,0.7,0.1,0.0,0.1,0.07
paris,Jesé,28,FW,24,0.3,0.0,0.0,0.0,0.00
paris,Edouard Michut,18,MF,2,0.0,0.0,0.0,0.0,0.00
paris,Garissone Innocent,20,GK,,,,,,
paris,Maxen Kapo,20,MF,,,,,,
paris,Alexandre Letellier,30,GK,,,,,,
paris,Mathyas Randriamamy,17,GK,,,,,,
paris,Xavi Simons,17,MF,,,,,,
