,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-10,22:00,Super Cup,UEFA Super Cup,Wed,Home,W,2.0,0.0,de  Eint Frankfurt,,,58.0,31042.0,Karim Benzema,4-3-3,Michael Oliver,Match Report,
1,2022-08-14,22:00,La Liga,Matchweek 1,Sun,Away,W,2.0,1.0,Almería,2.1,0.7,67.0,14386.0,Karim Benzema,4-3-3,Juan Martínez,Match Report,
2,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Away,W,4.0,1.0,Celta Vigo,3.7,1.4,49.0,15681.0,Karim Benzema,4-3-3,Jesús Gil,Match Report,
3,2022-08-28,22:00,La Liga,Matchweek 3,Sun,Away,W,3.0,1.0,Espanyol,2.1,1.3,64.0,25778.0,Karim Benzema,4-3-3,Mario Melero,Match Report,
4,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,Betis,2.9,0.5,49.0,58579.0,Karim Benzema,4-3-3,José Sánchez,Match Report,
5,2022-09-06,20:00,Champions Lg,Group stage,Tue,Away,W,3.0,0.0,sct  Celtic,1.9,1.4,64.0,57057.0,Karim Benzema,4-3-3,Sandro Schärer,Match Report,
6,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Home,W,4.0,1.0,Mallorca,2.3,0.5,68.0,54816.0,Toni Kroos,4-3-3,Jorge Figueroa,Match Report,
7,2022-09-14,21:00,Champions Lg,Group stage,Wed,Home,W,2.0,0.0,de  RB Leipzig,0.9,0.7,52.0,54289.0,Nacho,4-3-3,Maurizio Mariani,Match Report,
8,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Away,W,2.0,1.0,Atlético Madrid,0.9,1.0,46.0,66881.0,Luka Modrić,4-3-3,José Luis Munuera,Match Report,
9,2022-10-02,21:00,La Liga,Matchweek 7,Sun,Home,D,1.0,1.0,Osasuna,2.5,0.5,64.0,55410.0,Karim Benzema,4-3-3,Guillermo Cuadra,Match Report,
10,2022-10-05,21:00,Champions Lg,Group stage,Wed,Home,W,2.0,1.0,ua  Shakhtar,3.4,0.8,59.0,56011.0,Karim Benzema,4-3-3,Ivan Kružliak,Match Report,
11,2022-10-08,21:00,La Liga,Matchweek 8,Sat,Away,W,1.0,0.0,Getafe,1.4,0.3,65.0,14502.0,Luka Modrić,4-3-3,Antonio Matéu Lahoz,Match Report,
12,2022-10-11,22:00,Champions Lg,Group stage,Tue,Away,D,1.0,1.0,ua  Shakhtar,1.1,0.5,58.0,29030.0,Karim Benzema,4-2-3-1,Orel Grinfeeld,Match Report,
