,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-15,21:00,Segunda División,Matchweek 1,Sun,Away,D,1,1,Las Palmas,51.0,7100,Toni Villa,3-4-1-2,Dámaso Arcediano,Match Report,
1,2021-08-20,20:00,Segunda División,Matchweek 2,Fri,Home,W,2,0,Zaragoza,45.0,10080,Toni Villa,3-4-3,Eduardo Prieto,Match Report,
2,2021-08-29,19:30,Segunda División,Matchweek 3,Sun,Away,W,2,0,Lugo,48.0,1856,Toni Villa,3-4-3,Gorka Sagues,Match Report,
3,2021-09-05,16:00,Segunda División,Matchweek 4,Sun,Away,L,0,3,Burgos,66.0,5567,Toni Villa,3-4-3,Álvaro Moreno,Match Report,
4,2021-09-12,16:00,Segunda División,Matchweek 5,Sun,Home,L,0,2,Tenerife,66.0,13699,Toni Villa,3-4-3,David Gálvez,Match Report,
5,2021-09-18,20:30,Segunda División,Matchweek 6,Sat,Away,L,0,1,Girona,51.0,3534,Nacho,3-5-2,Jon González,Match Report,
6,2021-09-26,21:00,Segunda División,Matchweek 7,Sun,Home,W,2,0,Alcorcón,59.0,12395,Toni Villa,4-4-2,Saúl Ais,Match Report,
7,2021-10-01,21:00,Segunda División,Matchweek 8,Fri,Away,D,2,2,Ponferradina,51.0,4979,Nacho,4-4-2,José López,Match Report,
8,2021-10-08,21:00,Segunda División,Matchweek 9,Fri,Home,D,1,1,Málaga,63.0,14408,Nacho,4-4-2,Javier Villanueva,Match Report,
9,2021-10-17,16:00,Segunda División,Matchweek 10,Sun,Away,W,2,0,Leganés,42.0,7436,Nacho,4-4-2,Luis Milla,Match Report,
10,2021-10-20,19:00,Segunda División,Matchweek 11,Wed,Home,D,1,1,UD Ibiza,52.0,12991,Nacho,4-4-2,Gorka Sagues,Match Report,
11,2021-10-23,18:15,Segunda División,Matchweek 12,Sat,Away,W,2,1,Sporting Gijón,42.0,16541,Óscar Plano,4-4-2,Juan Pulido,Match Report,
12,2021-10-31,18:15,Segunda División,Matchweek 13,Sun,Home,W,2,0,Eibar,59.0,13322,Nacho,4-4-2,Francisco Hernández,Match Report,
13,2021-11-03,19:00,Segunda División,Matchweek 14,Wed,Away,L,1,4,SD Amorebieta,73.0,913,Toni Villa,4-4-2,Iván Caparrós,Match Report,
14,2021-11-06,18:15,Segunda División,Matchweek 15,Sat,Home,W,3,1,CD Mirandés,53.0,14267,Nacho,4-4-2,David Gálvez,Match Report,
15,2021-11-13,16:00,Segunda División,Matchweek 16,Sat,Home,W,3,0,Fuenlabrada,60.0,14105,Nacho,4-4-2,Rubén Ávalos,Match Report,
16,2021-11-20,20:30,Segunda División,Matchweek 17,Sat,Away,L,1,3,Almería,40.0,9208,Nacho,4-4-2,Javier Villanueva,Match Report,
17,2021-11-27,20:30,Segunda División,Matchweek 18,Sat,Home,W,2,0,Cartagena,51.0,11314,Nacho,4-4-2,Álvaro Moreno,Match Report,
18,2021-11-30,16:00,Copa del Rey,First round,Tue,Away,W,1,0,CD Marchamalo,,1500,Jordi Masip,4-4-2,David Gálvez,Match Report,
19,2021-12-03,21:00,Segunda División,Matchweek 19,Fri,Away,L,2,3,Huesca,65.0,4218,Nacho,4-4-2,Saúl Ais,Match Report,
