,,,,Nation,Pos,Age,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24.0,3.1,4,1,0,1,0,4.6,0.24,0.6,0.19,32,75,42.7,66,7,69.7,50.2,40,72.5,56.3,43,6,14.0,2,0.65,12.5
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29.0,33.9,60,5,0,10,0,54.3,0.35,-5.7,-0.17,367,742,49.5,718,81,70.6,50.4,308,76.3,53.3,337,28,8.3,24,0.71,14.6
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20.0,1.0,1,0,0,0,0,0.7,0.16,-0.3,-0.35,9,21,42.9,20,2,90.0,60.0,3,100.0,75.0,4,0,0.0,2,2.0,15.7
ESP-La Liga,2122,Alavés,Opponent Total,,,27.6,38.0,31,6,0,6,2,33.0,0.25,4.0,0.11,271,692,39.2,1047,172,50.8,41.6,271,59.0,45.7,389,32,8.2,31,0.82,15.1
ESP-La Liga,2122,Alavés,Squad Total,,,27.9,38.0,65,6,0,11,0,59.5,0.34,-5.5,-0.14,408,838,48.7,804,90,71.0,50.6,351,76.1,53.8,384,34,8.9,28,0.74,14.5
ESP-La Liga,2122,Athletic Club,Julen Agirrezabala,ESP,GK,20.0,4.0,5,0,0,0,0,4.6,0.25,-0.4,-0.1,10,31,32.3,56,10,37.5,36.8,26,38.5,38.3,35,2,5.7,5,1.25,17.3
ESP-La Liga,2122,Athletic Club,Opponent Total,,,27.6,38.0,43,3,1,7,3,45.6,0.27,5.6,0.15,387,862,44.9,1143,166,56.4,44.4,318,68.2,52.5,410,31,7.6,37,0.97,14.5
ESP-La Liga,2122,Athletic Club,Squad Total,,,26.9,38.0,36,3,0,2,1,34.5,0.26,-0.5,-0.01,189,447,42.3,747,191,41.9,37.4,268,50.0,43.5,407,25,6.1,28,0.74,15.4
ESP-La Liga,2122,Athletic Club,Unai Simón,ESP,GK,24.0,34.0,31,3,0,2,1,29.9,0.26,-0.1,0.0,179,416,43.0,691,181,42.3,37.4,242,51.2,44.0,372,23,6.2,23,0.68,15.2
ESP-La Liga,2122,Atlético Madrid,Jan Oblak,SVN,GK,28.0,38.0,43,7,2,4,3,33.9,0.28,-6.1,-0.16,203,647,31.4,812,149,55.9,44.1,283,68.2,51.5,292,20,6.8,16,0.42,14.0
ESP-La Liga,2122,Atlético Madrid,Opponent Total,,,27.6,38.0,65,4,0,8,2,58.0,0.37,-5.0,-0.13,252,594,42.4,932,142,43.9,39.4,330,56.1,45.7,341,24,7.0,23,0.61,13.5
ESP-La Liga,2122,Atlético Madrid,Squad Total,,,28.1,38.0,43,7,2,4,3,33.9,0.28,-6.1,-0.16,203,647,31.4,812,149,55.9,44.1,283,68.2,51.5,292,20,6.8,16,0.42,14.0
ESP-La Liga,2122,Barcelona,Marc-André ter Stegen,GER,GK,29.0,35.0,34,2,0,6,0,33.6,0.29,-0.4,-0.01,211,355,59.4,1076,148,25.9,29.8,204,37.3,34.8,216,14,6.5,10,0.29,13.2
