,minute,team,player,x,y,xG,result,shotType,assist
0,0,Levante,Morales,0.7830000305175782,0.5479999923706055,0.03848108649253845,MissedShots,RightFoot,None
1,4,Levante,José Campaña,0.845999984741211,0.6659999847412109,0.04995281249284744,SavedShot,RightFoot,Morales
2,25,Levante,Morales,0.925,0.4809999847412109,0.4658137559890747,BlockedShot,RightFoot,Pepelu
3,42,Levante,Nemanja Radoja,0.8619999694824219,0.7030000305175781,0.03446111083030701,MissedShots,LeftFoot,José Campaña
4,51,Levante,Morales,0.885,0.5,0.7432776093482971,Goal,RightFoot,None
5,54,Levante,Roger,0.8619999694824219,0.5259999847412109,0.013421709649264812,BlockedShot,Head,José Campaña
6,55,Levante,Roger,0.885,0.5,0.7432776093482971,SavedShot,RightFoot,None
7,74,Levante,Son,0.7809999847412109,0.6580000305175782,0.023733239620923996,SavedShot,RightFoot,Dani Gómez
8,79,Levante,Alejandro Cantero,0.895,0.23899999618530274,0.02859652042388916,MissedShots,RightFoot,Gonzalo Melero
9,82,Levante,Gonzalo Melero,0.885,0.5,0.7432776093482971,Goal,RightFoot,None
10,85,Levante,Alejandro Cantero,0.919000015258789,0.46599998474121096,0.10268840938806534,MissedShots,Head,Morales
11,1,Barcelona,Frenkie de Jong,0.875999984741211,0.779000015258789,0.02180338278412819,MissedShots,RightFoot,None
12,20,Barcelona,Ferrán Torres,0.8730000305175781,0.36700000762939455,0.06105070933699608,SavedShot,RightFoot,Marc-André ter Stegen
13,41,Barcelona,Ferrán Torres,0.8569999694824219,0.7569999694824219,0.026802033185958862,SavedShot,RightFoot,Jordi Alba
14,44,Barcelona,Frenkie de Jong,0.7969999694824219,0.3129999923706055,0.024981187656521797,MissedShots,RightFoot,Ousmane Dembélé
15,48,Barcelona,Ferrán Torres,0.9009999847412109,0.539000015258789,0.04482703283429146,SavedShot,Head,Ousmane Dembélé
16,58,Barcelona,Pierre-Emerick Aubameyang,0.9519999694824218,0.500999984741211,0.49376216530799866,Goal,Head,Ousmane Dembélé
17,61,Barcelona,Pierre-Emerick Aubameyang,0.904000015258789,0.5870000076293945,0.052663929760456085,MissedShots,Head,Jordi Alba
18,62,Barcelona,Pedri,0.8519999694824218,0.38799999237060545,0.07677601277828217,Goal,RightFoot,Gavi
19,67,Barcelona,Ferrán Torres,0.725,0.43599998474121093,0.053881678730249405,MissedShots,RightFoot,None
20,72,Barcelona,Gavi,0.779000015258789,0.5459999847412109,0.043684765696525574,BlockedShot,RightFoot,Jordi Alba
21,87,Barcelona,Gavi,0.8,0.5820000076293945,0.27598506212234497,SavedShot,RightFoot,None
22,90,Barcelona,Ronald Araújo,0.7369999694824219,0.3659999847412109,0.012611165642738342,BlockedShot,RightFoot,None
23,90,Barcelona,Luuk de Jong,0.8590000152587891,0.47299999237060547,0.05656278505921364,BlockedShot,LeftFoot,Jordi Alba
24,91,Barcelona,Luuk de Jong,0.9069999694824219,0.5459999847412109,0.11534550040960312,Goal,Head,Jordi Alba
