,minute,team,player,x,y,xG,result,shotType,assist
0,8,Espanyol,Adrián Embarba,0.7659999847412109,0.649000015258789,0.041972819715738297,SavedShot,RightFoot,Óscar Melendo
1,16,Espanyol,Raúl de Tomás,0.955,0.4640000152587891,0.5572479367256165,Goal,LeftFoot,Adrián Embarba
2,38,Espanyol,Raúl de Tomás,0.825,0.4370000076293945,0.0768217146396637,MissedShots,LeftFoot,Adrián Embarba
3,44,Espanyol,Óscar Gil,0.74,0.34700000762939454,0.024273615330457687,MissedShots,RightFoot,Keidi Bare
4,45,Espanyol,Raúl de Tomás,0.8180000305175781,0.33099998474121095,0.045586034655570984,MissedShots,RightFoot,Adrián Embarba
5,59,Espanyol,Aleix Vidal,0.865999984741211,0.3220000076293945,0.27057862281799316,Goal,RightFoot,Keidi Bare
6,63,Espanyol,Sergi Darder,0.8419999694824218,0.46599998474121096,0.25849997997283936,MissedShots,RightFoot,Adrián Embarba
7,69,Espanyol,Sergi Darder,0.7,0.48200000762939454,0.016205936670303345,SavedShot,RightFoot,Raúl de Tomás
8,3,Real Madrid,Karim Benzema,0.8540000152587891,0.42400001525878905,0.08303999155759811,SavedShot,LeftFoot,Vinícius Júnior
9,13,Real Madrid,Karim Benzema,0.8719999694824219,0.54,0.1159486398100853,SavedShot,RightFoot,None
10,18,Real Madrid,Eder Militão,0.4809999847412109,0.3509999847412109,0.007449386175721884,MissedShots,RightFoot,Nacho
11,20,Real Madrid,Karim Benzema,0.7980000305175782,0.605,0.03476954624056816,SavedShot,RightFoot,None
12,31,Real Madrid,Luka Modric,0.8580000305175781,0.3890000152587891,0.06079192832112312,BlockedShot,LeftFoot,Lucas Vázquez
13,39,Real Madrid,Lucas Vázquez,0.909000015258789,0.24299999237060546,0.03245522081851959,BlockedShot,RightFoot,Karim Benzema
14,41,Real Madrid,Eder Militão,0.924000015258789,0.5220000076293946,0.12633290886878967,MissedShots,Head,David Alaba
15,49,Real Madrid,Karim Benzema,0.9290000152587891,0.59,0.11430390924215317,BlockedShot,LeftFoot,David Alaba
16,49,Real Madrid,Eder Militão,0.9340000152587891,0.53,0.1260264664888382,MissedShots,Head,Toni Kroos
17,61,Real Madrid,David Alaba,0.8440000152587891,0.675,0.04473964124917984,BlockedShot,RightFoot,Karim Benzema
18,62,Real Madrid,Casemiro,0.725,0.664000015258789,0.011887181550264359,BlockedShot,RightFoot,Karim Benzema
19,68,Real Madrid,Karim Benzema,0.9390000152587891,0.5070000076293946,0.43635454773902893,MissedShots,Head,David Alaba
20,70,Real Madrid,Karim Benzema,0.85,0.43599998474121093,0.13751806318759918,Goal,RightFoot,Luka Jovic
21,73,Real Madrid,David Alaba,0.7969999694824219,0.3390000152587891,0.08771099895238876,MissedShots,LeftFoot,None
22,79,Real Madrid,Karim Benzema,0.89,0.605999984741211,0.012833734974265099,MissedShots,Head,Lucas Vázquez
23,85,Real Madrid,Karim Benzema,0.9490000152587891,0.5129999923706055,0.10194224119186401,MissedShots,Head,Lucas Vázquez
24,87,Real Madrid,David Alaba,0.7919999694824219,0.3240000152587891,0.07866186648607254,BlockedShot,LeftFoot,None
25,94,Real Madrid,Eder Militão,0.9309999847412109,0.3,0.011070912703871727,MissedShots,Head,Karim Benzema
