,player,player_id,situation,shot_type,x,y,xG,result,season,match_id
0,Aridane Hernández,7856,FromCorner,RightFoot,89.28000183105469,36.560000610351565,0.0273318998515605,MissedShots,2019,12090
1,Aridane Hernández,7856,FromCorner,Head,117.6,50.87999877929687,0.0256002992391586,ShotOnPost,2019,12199
2,Aridane Hernández,7856,SetPiece,Head,114.48000183105471,42.400000000000006,0.4989709854125976,Goal,2019,12199
3,Aridane Hernández,7856,SetPiece,Head,104.16000366210938,27.760000610351558,0.0232743993401527,MissedShots,2019,12199
4,Aridane Hernández,7856,FromCorner,Head,113.16000366210936,36.47999877929687,0.0706204995512962,MissedShots,2019,12220
5,Aridane Hernández,7856,FromCorner,Head,110.4,41.52000122070312,0.1102010011672973,MissedShots,2019,12220
6,Aridane Hernández,7856,SetPiece,Head,106.68000183105468,31.200000000000003,0.0094793401658535,MissedShots,2019,12241
7,Aridane Hernández,7856,FromCorner,Head,116.39999999999999,35.679998779296874,0.4639149904251098,Goal,2019,12241
8,Aridane Hernández,7856,SetPiece,Head,113.8800018310547,37.279998779296875,0.5266079902648926,Goal,2019,12281
9,Aridane Hernández,7856,FromCorner,Head,111.96000366210936,37.52000122070312,0.0646513998508453,MissedShots,2019,12292
10,Aridane Hernández,7856,FromCorner,Head,111.83999633789064,38.8,0.1257980018854141,MissedShots,2019,12311
11,Aridane Hernández,7856,SetPiece,RightFoot,115.0800018310547,40.0,0.5765720009803772,MissedShots,2019,12323
12,Aridane Hernández,7856,FromCorner,Head,111.1199981689453,38.56000061035156,0.0630242973566055,MissedShots,2020,14936
13,Aridane Hernández,7856,FromCorner,Head,104.28000183105469,46.8,0.0126424999907612,MissedShots,2020,15085
14,Aridane Hernández,7856,SetPiece,RightFoot,101.16000366210938,36.63999938964843,0.0721902996301651,MissedShots,2021,17155
15,Aridane Hernández,7856,FromCorner,Head,109.43999633789065,30.4,0.0272365994751453,MissedShots,2021,17172
16,Aridane Hernández,7856,OpenPlay,RightFoot,9.480000114440916,25.43999938964843,0.0,OwnGoal,2021,17172
17,Aridane Hernández,7856,FromCorner,Head,106.91999816894531,32.47999877929687,0.0134067116305232,BlockedShot,2022,19171
18,Aridane Hernández,7856,FromCorner,Head,109.80000000000001,32.8,0.0166066437959671,MissedShots,2022,19198
