,player,player_id,situation,shot_type,x,y,xG,result,season,match_id
0,Eric Garcia,8045,FromCorner,RightFoot,115.31999816894532,39.92000122070312,0.5280939936637878,MissedShots,2019,11985
1,Eric Garcia,8045,FromCorner,Head,109.80000000000001,36.320001220703126,0.0758538022637367,SavedShot,2019,11985
2,Eric Garcia,8045,OpenPlay,RightFoot,83.28000183105469,42.87999877929687,0.0135682001709938,MissedShots,2020,14493
3,Eric Garcia,8045,OpenPlay,RightFoot,108.60000000000001,28.639999389648438,0.0610685013234615,MissedShots,2020,14795
4,Eric Garcia,8045,OpenPlay,RightFoot,89.63999633789062,32.56000061035156,0.0216799993067979,BlockedShot,2021,17234
5,Eric Garcia,8045,FromCorner,Head,109.56000366210938,42.0,0.3057869970798492,SavedShot,2021,17252
6,Eric Garcia,8045,FromCorner,Head,108.7199981689453,42.23999938964844,0.0548514984548091,SavedShot,2021,17259
7,Eric Garcia,8045,OpenPlay,RightFoot,81.60000000000001,43.2,0.0135294003412127,BlockedShot,2021,17327
8,Eric Garcia,8045,OpenPlay,RightFoot,81.4800018310547,28.0,0.0125967003405094,SavedShot,2021,17449
9,Eric Garcia,8045,OpenPlay,RightFoot,92.5199981689453,31.039999389648433,0.0231352001428604,SavedShot,2021,17449
10,Eric Garcia,8045,FromCorner,Head,112.56000366210935,40.4,0.0749182999134063,MissedShots,2022,18979
11,Eric Garcia,8045,FromCorner,RightFoot,107.4,38.23999938964844,0.118827998638153,BlockedShot,2022,18988
12,Eric Garcia,8045,FromCorner,RightFoot,116.2800018310547,38.4,0.5559809803962708,Goal,2022,18995
